   Ticker  currentPrice  idealPriceCeiling  currentValuation      divGR  currentDiv  currentYield
4    GCOW       35.6200          54.068697         16.469788   8.493262    2.162748      6.071723
16   DIVO       39.7900          45.082676         22.065017   0.905686    1.803307      4.532061
0    SPYD       43.8800          46.638501         23.521339   1.764241    1.865540      4.251459
13    DEW       53.0075          55.672854         23.803118  -5.996531    2.226914      4.201130
10    DHS       91.2700          85.385369         26.722962  -2.341135    3.415415      3.742100
5     DVY      130.3900         114.725908         28.413373   3.712068    4.589036      3.519470
17   SCHD       82.4400          70.683725         29.158056  10.346286    2.827349      3.429584
3     HDV      116.0000          96.591128         30.023461   4.991795    3.863645      3.330729
9    DIVB       46.7700          31.556662         37.052398   8.715010    1.262266      2.698881
1    SMDV       67.9800          45.725831         37.167176  14.239105    1.829033      2.690546
14    DES       33.3900          21.480118         38.861519  -6.566167    0.859205      2.573240
2     SDY      136.3700          84.252768         40.464546   6.778793    3.370111      2.471299
19    VTV      168.7900          99.193500         42.540590   5.306614    3.967740      2.350696
7     DON       49.2800          28.196741         43.692992  -1.765181    1.127870      2.288697
15   DGRO       60.8800          34.402890         44.240470   1.410456    1.376116      2.260374
6     DTD       74.3500          40.190645         46.248325  -1.496916    1.607626      2.162240
8     DLN       76.3300          40.255166         47.403854  -1.724653    1.610207      2.109533
12   DGRS       49.9300          25.342757         49.254704  -1.732838    1.013710      2.030263
18    VIG      191.9400          84.924600         56.503063   8.004499    3.396984      1.769816
11   DGRW       81.0000          31.396002         64.498659   2.359795    1.255840      1.550420
   Ticker  CurrentPrice  ExpectedMinReturnAtThisPrice  5%TargetPrice  10%TargetPrice  15%TargetPrice  20%TargetPrice  30%TargetPrice  40%TargetPrice  50%TargetPrice
4    GCOW       35.6200                            15     -72.875296      168.955970       39.124435       22.123773       11.836870        8.079937        6.133280
1    SMDV       67.9800                            15     -25.835763      -56.308901      313.708421       41.434412       15.145035        9.265956        6.674870
9    DIVB       46.7700                            10     -40.157820      116.099453       23.736979       13.219921        7.009009        4.768635        3.613582
18    VIG      191.9400                            10    -131.887973      198.575261       56.644577       33.033819       18.015376       12.384779        9.435706
17   SCHD       82.4400                            10     -64.393600     -994.169564       73.976730       35.661566       17.516616       11.609560        8.681824
0    SPYD       43.8800                             5      59.706113       23.458019       14.596412       10.594272        6.842196        5.052720        4.005215
16   DIVO       39.7900                             5      44.845599       20.189754       13.027378        9.616054        6.310922        4.696641        3.739984
19    VTV      168.7900                             5   -1435.037256       93.749332       45.391964       29.945571       17.818611       12.682586        9.844898
5     DVY      130.3900                             5     383.254365       78.500467       43.728612       30.304989       18.776890       13.602473       10.663808
3     HDV      116.0000                             5   51904.621913       85.040502       42.555112       28.377830       17.030422       12.165728        9.462726
2     SDY      136.3700                             5    -216.017395      119.287677       46.738914       29.063177       16.547386       11.566415        8.890318
8     DLN       76.3300                             0      23.126020       13.263886        9.298516        7.158432        4.902007        3.727160        3.006583
7     DON       49.2800                             0      16.088309        9.251054        6.492046        5.000662        3.426403        2.606006        2.102578
6     DTD       74.3500                             0      24.009181       13.567607        9.455442        7.256187        4.952410        3.758969        3.029029
11   DGRW       81.0000                             0      49.837417       17.222181       10.409720        7.459153        4.760493        3.495756        2.761974
12   DGRS       49.9300                             0      14.538932        8.343103        5.850070        4.504164        3.084763        2.345594        1.892188
13    DEW       53.0075                             0      17.895158       12.301708        9.372246        7.569651        5.466767        4.278250        3.514229
14    DES       33.3900                             0       6.485082        4.527755        3.478019        2.823424        2.051283        1.610774        1.326014
15   DGRO       60.8800                             0      39.425856       16.475943       10.413950        7.612927        4.950091        3.667336        2.912578
10    DHS       91.2700                             0      44.371448       26.394394       18.784052       14.580136       10.071903        7.693152        6.223342
