   Ticker  currentPrice  idealPriceCeiling  currentValuation      divGR  currentDiv  currentYield
2    CONY       12.4500         402.335670          0.773608 -11.475909   16.093427    129.264472
23   FIAT       20.2300         561.300000          0.901033  -1.658745   22.452000    110.983688
11   MSTY       21.8500         556.200000          0.982111 -28.062050   22.248000    101.821510
22   CRSH       13.8011         296.400000          1.164060   6.925313   11.856000     85.906196
28   ULTY       11.1700         234.000000          1.193376 -14.930140    9.360000     83.795882
24   DIPS       17.4610         365.100000          1.195631        NaN   14.604000     83.637821
7    TSLY       13.1400         274.198399          1.198038 -10.832848   10.967936     83.469832
6    NVDY       23.1400         397.201073          1.456441  10.835593   15.888043     68.660514
13   YBIT       13.3200         216.600000          1.537396 -24.595110    8.664000     65.045045
5     FBY       18.7000         232.172719          2.013587  15.395445    9.286909     49.662614
12   NFLY       16.7000         202.676928          2.059929   1.213027    8.107077     48.545372
26   BITO       18.1200         217.470000          2.083046  31.122666    8.698800     48.006623
9    YMAX       17.5100         177.300000          2.468979   4.078620    7.092000     40.502570
25   GDXY       17.9600         180.300000          2.490294 -13.724447    7.212000     40.155902
1    AMZY       19.3700         190.038947          2.548162   5.624236    7.601558     39.243975
10   YMAG       19.0800         172.800000          2.760417   9.993614    6.912000     36.226415
4    GOOY       14.8800         116.924740          3.181534  -0.565899    4.676990     31.431382
0    MSFO       19.8400         148.274214          3.345153   7.600576    5.930969     29.893995
8    FEPI       50.4700         323.700000          3.897899  -1.350717   12.948000     25.654844
3    APLY       17.4400         102.733515          4.243990  -1.585301    4.109341     23.562733
14   SVOL       22.2400          88.993200          6.247668   1.323920    3.559728     16.005971
16   IWMI       50.6400         197.400000          6.413374  18.931162    7.896000     15.592417
15   QQQI       50.6700         193.200000          6.556677   3.494196    7.728000     15.251628
17   SPYI       50.8100         149.013814          8.524377   1.965770    5.960553     11.731062
20   GPIQ       46.7300         123.300000          9.474858   2.866799    4.932000     10.554248
19   JEPQ       53.7500         123.674220         10.865239   3.795956    4.946969      9.203663
21   GPIX       48.0800         102.600000         11.715400   3.539914    4.104000      8.535774
18   JEPI       58.8300         103.232780         14.246928   0.573626    4.129311      7.019057
27   USFR       50.3500          67.951683         18.524192   7.918426    2.718067      5.398346
   Ticker  CurrentPrice  ExpectedMinReturnAtThisPrice  5%TargetPrice  10%TargetPrice  15%TargetPrice  20%TargetPrice  30%TargetPrice  40%TargetPrice  50%TargetPrice
12   NFLY       16.7000                            50     219.303207       94.514375       60.237679       44.205910       28.849689       21.411705       17.022889
2    CONY       12.4500                            50      76.545928       58.724581       47.634389       40.067588       30.407140       24.500077       20.514764
26   BITO       18.1200                            50     -57.252887      -70.805364      -92.763694     -134.463992    -1332.184670      168.473776       79.227184
23   FIAT       20.2300                            50     326.087490      186.240753      130.341959      100.252044       68.585582       52.121912       42.032253
5     FBY       18.7000                            50    -118.961228     -229.203511    -3127.251313      268.572049       84.675968       50.261216       35.736765
6    NVDY       23.1400                            50    -334.459802    -2335.792526      468.679222      212.972985      101.843545       66.923053       49.835330
7    TSLY       13.1400                            50      55.077683       41.858731       33.756889       28.282713       21.356252       17.154982       14.334962
22   CRSH       13.8011                            50    -704.040900      440.857620      167.870181      103.673546       58.743989       40.982978       31.468578
10   YMAG       19.0800                            50    -167.464856   130957.262150      167.037649       83.572123       41.799399       27.869231       20.903035
0    MSFO       19.8400                            40    -264.049440      286.185636       92.801908       55.380045       30.656175       21.194224       16.195519
16   IWMI       50.6400                            40     -80.169861     -125.051964     -284.104147     1044.928023      100.901218       53.010008       35.947893
1    AMZY       19.3700                            40   -1358.567497      193.809845       90.453022       58.992774       34.791369       24.670469       19.111022
28   ULTY       11.1700                            40      33.987322       27.170809       22.631771       19.392195       15.076118       12.331519       10.432321
9    YMAX       17.5100                            40     833.783256      129.738501       70.341929       48.251529       29.636961       21.386454       16.729265
4    GOOY       14.8800                            30      83.081019       43.765377       29.707282       22.484820       15.128642       11.399243        9.144909
11   MSTY       21.8500                            20      34.823892       30.249271       26.736982       23.955476       19.829635       16.916171       14.749155
8    FEPI       50.4700                            20     198.411930      111.011316       77.064391       59.017130       40.192320       30.472460       24.538276
3    APLY       17.4400                            20      60.438886       34.354589       23.997650       18.438856       12.601059        9.570888        7.715536
15   QQQI       50.6700                            15     549.706289      127.232523       71.941939       50.149017       31.229003       22.674472       17.798850
25   GDXY       17.9600                            15      28.669639       22.627425       18.688720       15.917923       12.277414        9.992157        8.424132
14   SVOL       22.2400                            15      99.415890       42.122799       26.722627       19.568388       12.744447        9.449272        7.508016
13   YBIT       13.3200                            10      16.645525       14.239763       12.441591       11.046641        9.023265        7.626369        6.604001
17   SPYI       50.8100                            10     204.242814       77.134923       47.545557       34.363526       22.105823       16.293737       12.901627
19   JEPQ       53.7500                            10     442.647020       85.906325       47.569131       32.890965       20.339099       14.721191       11.535065
20   GPIQ       46.7300                            10     244.648069       73.162590       43.012842       30.460359       19.234128       14.054362       11.072523
21   GPIX       48.0800                            10     301.331459       68.105885       38.391499       26.729501       16.627682       12.067165        9.469847
27   USFR       50.3500                            10    -108.468290      152.075572       44.701447       26.201604       14.335782        9.867241        7.522452
18   JEPI       58.8300                             5      94.362124       44.309939       28.952671       21.500773       14.194140       10.593976        8.450591
24   DIPS       17.4610                             0            NaN             NaN             NaN             NaN             NaN             NaN             NaN
