id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
3751,DFS,F,4,5,5,5,5,5,1,5,5,5,3,0,1,5,-5,1,0,-1,235
3809,KNSL,F,4,4,5,5,5,5,1,4,2,5,5,5,4,5,3,3,5,-5,265
3814,MKTX,F,4,5,5,5,4,5,1,4,5,5,5,0,3,5,5,5,4,-1,277
3818,PRI,F,4,5,5,5,5,5,1,5,5,4,3,0,5,5,4,4,4,-5,257
3846,ESNT,F,4,4,5,5,5,5,1,4,5,5,5,0,3,5,5,5,4,-5,257
3899,SFBS,F,4,4,5,5,5,5,1,4,5,5,5,0,1,4,5,5,0,-5,230
3942,VCTR,F,4,5,5,5,5,5,1,4,5,5,5,5,3,5,5,3,5,-1,300
4104,MCBS,F,4,5,5,5,5,5,1,4,3,5,5,0,1,5,1,-5,0,-1,200
4134,DHIL,F,5,5,5,3,3,5,1,4,2,5,5,0,3,5,5,5,3,3,279
4230,BSVN,F,4,5,5,5,5,5,1,5,5,5,5,0,1,5,5,5,0,3,285
3709,MCO,F,5,5,5,5,5,4,1,5,5,5,5,3,3,5,5,5,4,-1,302
3812,HLI,F,4,4,5,5,5,4,1,4,5,4,4,0,1,5,5,5,4,1,262
