id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
6338,ECL,B,4,4,5,5,4,3,1,5,5,4,3,5,3,4,3,4,3,-1,236
6336,SHW,B,5,4,5,5,5,3,1,5,5,3,2,3,3,2,4,4,3,1,232
6391,CMC,B,3,3,5,5,5,1,1,4,2,4,4,5,3,5,5,5,4,1,231
6349,MLM,B,2,2,5,5,4,2,1,5,5,4,4,4,2,5,5,5,4,-1,221
6405,BCPC,B,3,3,5,5,5,3,1,4,5,5,5,5,1,4,4,5,4,-5,219
6436,SCL,B,3,3,5,5,5,3,1,4,3,4,3,4,3,5,4,5,1,-1,219
6404,SID,B,5,5,5,5,4,2,1,5,2,4,4,4,4,5,3,-5,3,4,218
6366,CE,B,5,3,5,5,5,4,1,5,0,5,5,5,1,3,1,3,3,-1,214
6340,FCX,B,3,3,5,5,5,-5,1,4,3,5,5,5,4,5,2,5,2,1,213
6385,UFPI,B,3,3,5,5,5,3,1,4,5,5,5,1,-2,4,5,5,4,-1,212
6604,FSI,B,3,3,5,-1,-1,-1,1,4,5,5,4,5,4,5,1,5,3,1,211
6379,EXP,B,3,3,5,5,5,5,1,5,2,5,4,4,1,4,3,5,4,-5,209
6472,METC,B,2,3,5,5,4,5,-1,4,2,5,5,3,3,5,1,-3,5,3,206
6428,SXT,B,3,3,5,5,3,2,1,5,5,3,2,5,3,4,4,5,-1,-1,201
6341,CRH,B,3,3,5,5,5,2,1,5,5,4,3,3,-1,1,2,5,3,1,200
6546,NTIC,B,2,3,5,5,4,5,1,4,5,4,4,5,3,5,-5,-5,4,-1,196
6432,TGLS,B,4,3,5,5,5,5,1,3,1,5,5,3,0,5,3,3,4,-5,195
6394,NEU,B,5,5,5,5,4,4,1,5,2,5,4,5,-1,1,4,4,-2,-1,194
6483,RDUS,B,1,1,5,5,5,5,1,4,5,3,3,5,-2,4,3,5,-1,1,193
6489,HDSN,B,2,3,5,-1,0,-1,-1,4,5,4,5,5,4,5,3,3,4,0,191
6378,EMN,B,4,3,5,5,4,3,1,5,5,4,3,5,2,2,-2,-2,1,1,190
6370,RPM,B,4,4,5,5,3,2,1,4,0,4,3,5,1,3,2,3,3,1,188
6416,KWR,B,3,3,5,5,4,2,1,4,4,3,4,5,-1,1,5,5,4,-1,188
6364,RS,B,3,3,5,5,5,5,1,5,3,4,4,5,4,-5,3,2,3,-1,186
6414,WDFC,B,5,5,5,5,3,3,1,5,2,2,-3,5,4,4,2,2,3,-1,185
6389,FMC,B,4,3,5,5,5,3,1,5,3,5,3,3,-1,2,2,2,3,-1,183
6449,HWKN,B,3,3,5,5,3,2,1,4,2,4,4,5,-2,1,4,3,4,3,181
6386,AXTA,B,3,5,5,-1,0,-1,-1,4,5,4,4,3,3,4,1,3,2,0,179
6410,FUL,B,3,2,5,5,5,2,1,4,5,4,4,5,1,4,2,-3,3,-1,178
6365,JHX,B,-5,5,5,5,3,-2,1,4,3,3,3,3,3,5,5,5,4,3,177
6412,KNF,B,3,3,5,-1,0,-1,-1,4,5,5,5,-5,3,5,5,5,4,0,174
6335,RIO,B,-1,-1,5,-1,1,3,1,5,5,3,3,5,3,2,1,4,1,3,172
6345,NEM,B,1,1,5,5,5,5,1,4,4,-2,1,5,4,5,-4,3,-3,-1,172
6396,BCC,B,-1,-1,5,-1,0,5,1,4,5,3,3,3,3,5,3,3,4,0,172
6400,AMR,B,5,5,5,5,5,5,1,4,0,5,5,5,-1,-5,2,5,5,-5,172
6444,USLM,B,3,3,5,5,5,1,1,4,5,5,5,5,-1,1,5,3,3,-5,171
6620,GURE,B,2,2,5,-1,0,-1,-1,4,2,3,4,5,4,5,5,5,3,0,170
6348,PPG,B,4,4,5,5,4,2,1,5,2,4,4,3,3,3,-5,-5,1,1,169
6361,STLD,B,3,3,5,5,5,3,1,5,3,5,4,5,-1,-5,3,3,3,1,169
6347,CTVA,B,1,1,5,5,4,2,1,5,3,3,2,5,4,5,-5,3,3,-5,168
6363,WLK,B,4,3,5,5,5,3,1,4,5,5,5,4,0,-5,3,1,3,-1,168
6351,LYB,B,5,5,5,5,4,3,1,5,2,3,2,5,-1,-5,2,5,-3,3,165
6357,MT,B,-1,-1,5,-1,2,5,1,5,0,4,3,5,3,5,1,5,1,-1,165
6346,DOW,B,2,3,5,4,4,-1,1,5,0,3,1,5,4,5,3,3,-5,3,164
6677,ALMMF,B,-1,-1,5,-1,2,5,1,5,3,4,2,3,1,4,1,5,1,1,164
6367,AVTR,B,1,1,5,-1,0,-1,-1,4,3,3,4,5,4,5,4,5,2,0,162
6406,ASH,B,3,3,5,5,4,3,1,5,2,2,0,5,4,3,1,3,-5,-1,161
6455,KOP,B,5,3,5,5,5,2,1,4,5,5,5,3,-2,-5,5,2,3,-1,160
6371,ALB,B,4,3,5,5,5,2,1,5,2,5,3,5,0,4,-5,-5,3,-1,159
6424,IOSP,B,4,3,5,5,5,3,1,4,-1,5,5,5,-1,-5,1,5,4,-1,159
6491,CLW,B,3,3,5,-1,0,-1,-1,4,4,5,4,5,1,3,5,5,-1,0,159
6643,BASA,B,5,5,5,-1,0,-1,-1,-2,5,5,0,5,0,5,5,3,5,0,159
6334,BHP,B,-1,-1,5,-1,1,5,1,4,2,3,3,1,1,3,1,5,3,3,158
6577,MULG,B,4,4,5,-1,0,-1,-1,5,5,3,5,5,-2,3,5,5,-2,0,158
6516,MSB,B,5,5,5,-1,1,-2,1,5,2,5,5,0,1,1,1,3,-5,3,155
6356,AEM,B,-4,5,5,5,2,3,1,4,0,5,4,3,4,5,5,3,4,-5,153
6527,CMCL,B,-1,-1,5,-1,1,5,1,4,0,5,5,5,2,-1,1,2,5,3,152
6387,SUM,B,2,1,5,-1,0,-1,-1,5,5,5,5,3,3,5,5,3,4,-5,151
6384,RGLD,B,1,3,5,5,1,3,1,4,3,3,3,5,1,1,4,2,3,-1,150
6610,HLP,B,4,4,5,-1,0,-1,-1,5,-3,5,5,5,3,5,5,5,-5,0,150
6418,SMG,B,5,3,5,5,3,3,1,5,-3,4,4,-1,3,-3,2,4,-2,3,148
6344,NUE,B,3,3,5,5,4,1,1,5,2,4,4,3,-1,-5,3,5,2,1,147
6402,PAAS,B,-1,-1,5,-1,2,5,1,4,5,3,1,5,4,5,1,2,2,-5,147
6358,FNV,B,-1,-1,5,-1,2,3,1,4,5,4,4,5,3,2,1,3,4,-5,146
6380,SSD,B,3,3,5,5,4,2,1,5,1,3,3,5,-1,-4,5,5,4,-1,146
6478,PRM,B,3,1,5,-1,0,-1,-1,5,3,3,2,5,0,5,3,5,2,0,145
6506,GDRZF,B,1,5,5,-1,0,-1,-1,4,0,4,3,5,1,5,-3,5,0,0,144
6522,TSE,B,4,3,5,5,5,4,1,5,0,3,4,5,1,3,-5,-5,-5,1,144
6438,SSRM,B,2,2,5,5,5,-1,-1,4,2,3,4,5,-1,1,3,3,4,0,143
6498,ARMN,B,-1,-1,5,-1,0,5,1,1,0,1,4,5,4,5,1,3,4,-1,143
6569,STCB,B,5,5,5,-1,0,-1,-1,1,1,5,-1,5,0,5,3,3,5,0,143
6350,VMC,B,2,2,5,5,4,3,1,4,3,4,4,3,-1,-5,3,5,3,-1,142
6440,NGVT,B,5,5,5,-1,0,-1,-1,5,2,5,5,5,-1,5,2,-5,4,0,142
6376,MOS,B,3,3,5,5,5,1,1,5,-1,4,3,5,-1,2,-5,1,1,-1,140
6446,OEC,B,5,3,5,5,4,2,1,4,-1,5,5,5,-1,-5,-3,3,-1,1,139
6590,GLGI,B,3,3,5,5,5,-2,1,4,3,5,3,3,-2,-5,5,3,4,3,138
6408,CBT,B,3,3,5,5,4,2,1,5,2,3,2,5,-2,-5,-3,3,4,1,136
6652,IMII,B,5,5,5,-1,0,-1,-1,4,0,5,-5,5,2,5,-5,3,4,0,134
6377,CLF,B,4,3,5,5,5,3,-1,3,2,5,5,5,-1,-5,5,3,-2,-1,133
6690,GNVR,B,5,5,5,-1,0,-1,-1,5,-3,5,5,0,1,1,3,5,0,0,130
6541,CMT,B,2,3,5,5,0,-2,-1,4,5,5,5,5,3,5,3,-3,4,-5,129
6417,AVNT,B,4,3,5,5,4,5,1,5,0,5,3,3,-2,-5,-4,1,3,-1,128
6686,SHVLF,B,-1,-1,5,-1,0,-1,-1,5,3,3,0,5,4,5,1,5,3,0,128
6515,FF,B,3,3,5,5,3,-5,1,4,1,4,4,0,4,5,-4,-5,4,1,126
6337,SCCO,B,5,4,5,4,1,5,1,5,0,4,4,5,0,-5,-5,-5,1,3,125
6343,APD,B,4,3,5,5,1,3,1,4,0,4,4,3,-1,-5,3,3,1,1,121
6469,CMP,B,4,3,5,5,3,2,1,4,-2,3,1,4,-2,-1,2,2,1,3,121
6553,PLG,B,-1,-1,5,-1,0,-1,-1,5,3,5,4,5,1,5,1,3,0,0,120
6555,YCQH,B,5,5,5,-1,0,-1,-1,3,-3,5,0,5,1,1,1,3,5,0,119
6355,NTR,B,-1,-1,5,-1,1,2,1,5,2,4,2,3,2,5,1,-5,4,3,118
6333,LIN,B,2,2,5,5,3,3,1,5,0,-2,-5,3,1,4,3,5,3,-1,117
6574,HUDI,B,3,4,5,-1,0,-1,-1,4,5,5,5,5,0,5,-5,-5,-5,0,117
6368,CF,B,4,3,5,5,5,2,1,5,2,4,3,5,2,-5,-3,-5,-2,1,116
6526,GAU,B,-1,-1,5,-1,0,-1,-1,4,2,3,3,5,0,4,1,5,5,0,116
6437,SLVM,B,4,3,5,5,5,5,1,4,0,5,3,-5,0,-5,2,5,2,-5,113
6570,BLGO,B,5,5,5,-1,0,-1,-1,1,3,5,5,5,0,-3,-5,-3,5,0,113
6502,TGB,B,-1,-1,5,-1,0,-1,-1,4,3,1,1,3,4,5,1,5,1,0,112
6420,HCC,B,4,5,5,5,4,-5,1,4,2,5,5,5,0,-4,-5,-5,1,3,110
