id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
6009,CMCSA,C,3,3,5,5,5,4,1,5,5,4,2,5,3,5,4,5,3,1,272
6117,DLX,C,5,5,5,5,4,1,1,5,5,5,3,5,2,2,3,5,3,3,270
6275,FULO,C,-3,3,5,3,3,3,1,4,5,5,5,5,4,5,5,5,3,4,261
6094,SSTK,C,3,3,5,5,4,5,1,4,3,5,5,5,4,5,5,5,4,-5,256
6084,WB,C,3,3,5,4,3,-1,1,4,3,5,5,5,4,5,3,5,4,1,251
6008,VZ,C,3,5,5,5,3,1,1,4,3,4,4,4,4,5,-3,1,3,3,243
6045,MTCH,C,2,3,5,5,5,5,-1,5,5,3,2,3,2,5,5,5,4,-1,239
6077,CABO,C,4,5,5,5,5,3,1,5,5,4,4,5,1,5,3,2,3,-5,237
6017,BIDU,C,4,5,5,-1,0,-1,-1,4,5,5,5,5,1,5,5,5,5,0,236
6016,EA,C,3,3,5,5,5,5,1,5,5,4,3,1,3,5,2,5,3,-5,232
6056,YNDX,C,3,3,5,-1,0,5,-1,4,5,5,5,3,4,5,5,5,5,-5,231
6090,CNK,C,3,2,5,5,3,2,-1,4,5,2,3,4,2,2,3,5,3,3,217
6086,YY,C,3,4,5,5,4,-5,1,3,5,5,5,5,-1,5,5,3,5,0,212
6071,ATHM,C,4,4,5,5,5,-5,1,4,5,5,5,5,0,5,5,5,4,-5,211
6113,SHEN,C,2,2,5,5,4,2,1,4,5,4,4,4,-1,2,5,5,4,-1,208
6011,NTES,C,4,5,5,5,5,2,1,4,5,5,5,-5,1,4,5,5,5,-5,206
6193,NUVR,C,2,1,5,5,3,2,1,4,5,3,3,5,3,2,2,2,1,3,205
6074,ZD,C,4,3,5,5,4,3,-1,4,1,4,4,5,1,2,4,3,4,-1,203
6032,WMG,C,-1,-1,5,-1,0,5,1,4,5,3,5,3,2,5,5,5,3,0,200
6046,TIMB,C,-1,-1,5,-1,2,5,1,4,5,4,4,3,5,4,1,5,-2,1,198
6004,META,C,4,4,5,-1,0,-1,-1,4,5,5,5,-3,4,5,3,3,5,0,196
6042,IPG,C,4,3,5,5,3,5,1,5,3,3,3,5,1,1,2,-4,3,1,189
6007,TMUS,C,2,1,5,-1,5,-2,1,4,5,4,4,3,3,5,5,3,4,-5,188
6010,T,C,3,3,5,5,3,1,1,4,2,4,3,5,1,1,1,2,1,3,188
6126,HUYA,C,1,1,5,-1,0,-1,-1,4,3,4,5,5,3,5,3,3,5,0,188
6125,GTN,C,3,2,5,5,4,-2,1,4,3,5,5,3,2,3,3,5,4,-5,186
6003,GOOGL,C,4,4,5,-1,0,-5,-1,5,2,5,5,5,3,5,4,5,5,-5,185
6216,SJ,C,5,5,5,-1,0,-1,-1,1,4,3,0,5,4,1,5,5,4,0,183
6243,EDUC,C,3,3,5,5,4,1,1,4,-1,4,4,4,-1,1,5,3,3,3,183
6171,SGA,C,3,3,5,5,3,1,1,4,2,3,3,5,0,2,-2,1,1,3,180
6035,OMC,C,5,5,5,5,4,3,1,5,4,3,0,5,-1,-5,1,2,1,3,179
6022,PINS,C,1,2,5,-1,0,-1,-1,4,0,4,3,5,3,5,5,5,5,0,178
6108,MOMO,C,4,4,5,5,3,-3,1,4,5,5,4,5,1,-5,5,5,3,-1,176
6109,FVRR,C,-5,-1,5,-1,0,-1,-1,3,5,5,5,5,4,5,5,5,5,0,172
6123,AMCX,C,-5,3,5,-1,0,-1,-1,4,4,5,5,5,4,5,1,3,3,0,171
6141,MCS,C,2,1,5,5,4,-5,1,4,5,3,2,5,-1,2,5,5,4,1,170
6047,PARA,C,4,4,5,5,5,2,1,5,0,4,3,5,0,-5,-3,5,1,-1,167
6053,NYT,C,2,3,5,5,4,4,1,4,-1,5,5,5,3,5,2,-3,1,-5,166
6027,WBD,C,3,4,5,-1,0,-1,-1,-1,2,3,2,5,1,5,3,5,4,0,165
6082,PLAY,C,5,2,5,5,5,-5,-1,4,5,3,2,5,-2,5,4,5,4,-5,165
6134,CNSL,C,2,1,5,5,-1,-1,-1,1,5,2,0,5,4,4,2,5,1,4,165
6139,GDEV,C,-1,-1,5,-1,0,5,-1,5,3,3,5,5,0,1,1,3,5,0,164
6278,VYBE,C,5,5,5,-1,0,-1,-1,2,3,5,4,5,0,5,-5,-5,5,0,163
6149,GCI,C,-4,1,5,3,4,2,-1,2,5,3,5,5,2,-5,5,5,3,4,162
6133,ATNI,C,-1,1,5,5,4,2,1,4,3,3,2,5,3,5,2,-5,3,1,160
6021,TTWO,C,-1,1,5,-1,0,-1,-1,4,5,5,5,-1,2,5,3,3,5,0,156
6259,LCFY,C,-1,-1,5,-1,0,-1,-1,4,3,5,0,5,4,5,1,3,5,0,151
6068,IIJIY,C,2,3,5,5,5,2,1,4,-3,4,4,5,-2,-5,3,5,4,0,148
6157,CCG,C,2,3,5,-1,0,-1,-1,-1,4,5,5,5,2,5,-5,-5,5,0,146
6331,PTNRF,C,-1,-1,5,-1,0,-1,-1,4,3,5,5,5,3,3,1,3,2,0,146
6075,TGNA,C,4,3,5,5,5,1,1,4,2,5,5,5,-1,-5,-5,-3,1,1,141
6085,TDS,C,1,1,5,5,4,2,1,4,-2,3,2,5,1,1,-2,2,1,1,140
6105,PERI,C,3,3,5,-5,-2,-1,-1,4,2,3,4,5,-1,-1,3,5,4,0,140
6073,YELP,C,1,1,5,-1,0,-1,-1,4,3,4,4,5,3,4,-3,-5,5,0,138
6055,KT,C,-1,-1,5,-1,2,5,1,4,5,2,2,4,3,3,1,-2,-2,1,137
6201,ZDGE,C,1,1,5,-1,0,-1,-1,4,5,-3,3,5,-1,3,-5,5,3,0,137
6249,XESP,C,5,5,5,-1,0,-1,-1,4,2,3,-2,0,1,1,1,4,5,0,135
6036,TME,C,-1,-1,5,-1,0,-1,-1,4,2,4,5,1,2,3,1,5,4,0,133
6293,COMS,C,-1,-1,5,-1,0,-1,-1,1,2,3,5,5,0,5,-3,3,5,0,133
6089,WLY,C,3,3,5,5,4,1,1,5,3,4,3,5,-1,-5,2,-2,1,1,132
6156,OOMA,C,-4,-5,5,-1,0,-1,-1,3,3,5,4,5,3,5,-3,5,4,0,132
6052,EDR,C,-1,-1,5,5,4,5,1,4,5,5,0,5,2,-5,-4,3,4,-5,131
