id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
4776,TPL,E,5,5,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,3,330
4748,VLO,E,3,3,5,5,5,4,1,5,3,4,2,5,3,5,2,4,5,3,267
4743,MPC,E,4,4,5,5,5,5,1,5,0,5,2,5,3,5,4,3,5,3,265
4759,IMO,E,4,3,5,5,5,3,1,5,4,4,3,3,4,5,3,5,4,-1,254
4841,ARLP,E,5,5,5,5,2,5,-1,4,3,4,4,5,-1,3,5,5,3,5,252
4800,VNOM,E,1,4,5,-1,2,5,1,4,5,5,5,0,2,5,1,3,5,3,241
4797,CIVI,E,2,2,5,5,4,5,1,2,5,4,5,5,4,4,3,5,5,-5,235
4948,DLNG,E,1,1,5,-5,0,3,1,4,5,4,4,5,5,5,2,4,2,3,234
4768,TRGP,E,1,-1,5,5,3,5,1,4,3,3,3,5,3,5,5,5,4,3,232
4837,CEIX,E,3,3,5,5,5,3,1,5,5,5,4,5,4,3,4,-3,4,1,232
4746,OXY,E,3,3,5,5,4,4,1,5,2,4,3,3,3,5,4,3,3,1,231
4914,REPX,E,1,5,5,-1,2,3,1,4,5,4,4,5,3,5,5,5,-5,1,228
4771,CTRA,E,2,3,5,5,5,5,1,5,3,3,3,5,3,5,3,3,5,-5,224
4827,NOG,E,4,4,5,5,5,5,1,2,2,5,5,5,0,5,3,3,5,-5,223
4738,ENB,E,2,3,5,4,-1,4,1,4,5,-1,2,5,2,5,5,5,4,3,220
4745,PXD,E,2,2,5,5,5,1,1,4,5,3,3,5,4,5,5,5,4,-5,217
4894,GRNT,E,4,4,5,-1,2,5,1,4,0,5,4,5,1,1,1,3,5,1,216
4801,CHX,E,2,2,5,5,4,4,1,5,5,-4,3,5,4,5,3,5,5,-5,213
4925,SOI,E,1,1,5,5,5,1,1,5,3,2,2,5,3,5,5,3,5,1,211
4912,GPRK,E,-1,-1,5,-1,0,5,1,4,2,3,5,5,4,5,1,5,5,0,205
5010,PCCYF,E,-1,-1,5,-1,2,5,1,5,3,2,1,5,4,5,1,4,3,3,205
4918,SGU,E,3,3,5,5,4,3,1,4,5,3,1,3,3,2,2,1,1,3,203
4741,EOG,E,3,3,5,5,5,4,1,4,5,5,3,5,1,5,5,-2,5,-5,201
4803,VVV,E,-5,5,5,5,4,5,1,5,5,5,5,3,-1,2,5,5,3,-1,199
4828,ERF,E,3,3,5,-1,5,-2,1,4,1,4,4,5,-1,3,1,5,2,3,199
4849,OII,E,4,4,5,5,3,5,-1,4,-1,4,3,5,3,5,1,5,2,-5,199
4791,MTDR,E,2,3,5,5,2,5,1,3,3,5,5,5,-1,5,3,3,5,-5,197
4817,HP,E,2,3,5,5,4,2,1,4,1,3,3,5,4,5,3,-2,4,1,197
4782,APA,E,5,5,5,5,2,5,1,5,-3,5,3,3,1,1,5,5,0,1,195
4793,PBF,E,2,2,5,5,4,1,1,4,3,5,5,3,1,5,5,3,-2,1,195
4835,WHD,E,1,4,5,5,2,3,1,5,5,5,5,5,1,1,5,3,5,-5,195
4971,RSRV,E,2,3,5,5,3,5,1,4,3,1,1,0,2,5,2,3,5,1,194
4775,OVV,E,4,3,5,5,5,5,1,4,3,5,5,5,-1,-5,3,3,4,-1,193
4781,YPF,E,-1,-1,5,-1,2,5,-1,4,3,5,5,-3,3,5,1,5,5,3,186
4747,E,E,-1,-1,5,5,-1,3,1,5,5,4,2,4,4,5,-4,3,4,1,184
4769,TS,E,-1,-1,5,-1,2,1,1,5,5,3,2,5,4,5,1,3,5,-1,184
5017,ALPSQ,E,5,5,5,5,2,-1,1,-3,2,5,5,3,1,1,3,3,5,3,183
4744,EPD,E,4,3,5,3,-2,5,-1,2,1,4,3,3,-2,5,4,5,4,3,182
4758,KMI,E,1,1,5,4,-1,2,1,5,0,1,1,5,4,5,-2,5,3,3,182
4798,MUR,E,3,3,5,5,2,2,1,4,0,4,3,5,-2,5,5,3,3,1,182
4802,ENLC,E,1,1,5,-5,0,5,-1,4,3,3,-2,3,4,5,5,3,5,3,180
4812,MGY,E,4,4,5,5,2,5,1,4,4,5,4,4,1,1,3,3,-2,-5,180
4860,DHT,E,-1,-1,5,-1,2,5,1,4,0,3,3,3,4,5,1,3,5,1,180
