id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
3833,WAL,F,3,3,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,-1,305
3709,MCO,F,5,5,5,5,5,4,1,5,5,5,5,3,3,5,5,5,4,-1,302
3942,VCTR,F,4,5,5,5,5,5,1,4,5,5,5,5,3,5,5,3,5,-1,300
3754,TROW,F,4,5,5,5,3,3,1,5,5,5,5,0,5,5,5,5,4,1,287
4230,BSVN,F,4,5,5,5,5,5,1,5,5,5,5,0,1,5,5,5,0,3,285
3769,CBOE,F,5,5,5,5,4,5,1,5,5,3,3,5,4,5,3,3,3,-1,284
3808,EWBC,F,3,3,5,5,5,5,1,4,5,5,4,0,5,5,4,5,3,1,279
4134,DHIL,F,5,5,5,3,3,5,1,4,2,5,5,0,3,5,5,5,3,3,279
3814,MKTX,F,4,5,5,5,4,5,1,4,5,5,5,0,3,5,5,5,4,-1,277
3970,BFH,F,5,5,5,5,5,2,1,5,5,5,3,5,4,5,5,5,4,-5,277
3791,FNF,F,3,3,5,5,4,4,1,4,5,5,5,0,4,5,4,5,1,3,273
3797,MORN,F,4,3,5,5,5,3,1,5,5,4,4,5,2,5,4,4,4,-1,272
4042,HCI,F,4,4,5,5,4,2,1,5,5,5,4,0,4,5,-5,3,4,3,272
4246,RM,F,3,3,5,5,5,5,1,5,5,5,4,0,2,5,5,5,4,1,272
3938,QFIN,F,5,5,5,5,5,-5,1,4,5,5,5,5,4,5,5,5,5,-1,270
4027,WT,F,4,5,5,5,4,1,1,4,5,5,4,5,2,5,3,3,3,1,269
3809,KNSL,F,4,4,5,5,5,5,1,4,2,5,5,5,4,5,3,3,5,-5,265
4062,NOAH,F,4,4,5,5,5,1,1,4,5,5,5,5,5,5,3,3,5,-5,265
3684,V,F,4,4,5,5,5,5,1,1,2,3,3,5,4,5,5,5,4,0,262
3812,HLI,F,4,4,5,5,5,4,1,4,5,4,4,0,1,5,5,5,4,1,262
3854,MTG,F,3,3,5,5,5,5,1,4,5,5,5,5,5,5,5,4,-1,-5,262
4141,GCBC,F,3,3,5,-1,5,1,1,4,5,5,5,0,4,3,1,5,4,3,262
3830,EVR,F,3,3,5,5,4,4,1,4,5,3,4,1,3,5,5,5,5,1,260
4161,SMMF,F,2,3,5,5,5,4,1,4,2,5,4,5,3,2,5,5,5,1,260
