id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
1764,BBSI,I,4,5,5,5,5,3,1,4,5,5,5,5,3,5,4,5,4,-1,291
1481,GGG,I,5,5,5,5,4,3,1,4,5,5,3,5,3,3,5,5,3,3,287
1435,ODFL,I,4,4,5,5,5,5,1,5,5,5,5,1,4,5,5,5,4,-1,286
1442,FAST,I,5,5,5,4,1,4,1,5,5,4,3,3,4,5,4,4,4,3,283
1557,MLI,I,4,3,5,5,5,3,1,4,5,5,5,4,4,5,4,4,3,1,282
1746,ULH,I,5,3,5,5,5,3,1,5,5,5,5,3,2,5,3,5,3,1,282
1495,WMS,I,4,3,5,5,5,3,1,3,5,5,5,5,4,5,5,5,4,-1,281
1490,LECO,I,4,5,5,5,4,3,1,5,5,5,4,5,2,3,5,5,3,1,277
1540,AIT,I,4,3,5,5,4,2,1,5,3,5,5,5,3,5,5,5,3,1,272
1554,TKR,I,3,3,5,5,5,2,1,5,3,5,4,3,4,5,5,4,4,3,271
1484,SNA,I,4,4,5,5,4,4,1,5,5,4,4,4,3,5,5,5,2,-1,270
1436,GWW,I,5,4,5,5,4,3,1,5,5,4,3,3,2,5,5,5,3,1,269
1451,ROK,I,5,5,5,5,4,3,1,5,2,4,3,5,3,4,4,5,3,1,269
1593,EXPO,I,4,4,5,5,4,5,1,5,2,4,4,5,4,5,4,4,3,-1,269
1409,ETN,I,3,4,5,5,3,3,1,5,5,3,3,5,4,5,2,2,3,3,266
1475,WSO,I,3,3,5,3,2,5,1,4,5,3,3,5,3,4,5,5,3,3,266
1483,OC,I,3,3,5,5,5,3,1,5,5,4,3,4,4,5,2,5,3,-1,264
1485,ZTO,I,3,3,5,5,4,5,1,4,5,4,5,5,3,5,5,5,5,-5,262
1468,BAH,I,5,3,5,5,4,5,1,5,3,5,5,3,0,3,4,5,4,1,261
1696,DAC,I,2,1,5,5,5,5,1,4,5,3,5,5,5,5,-3,3,-2,3,261
1466,HUBB,I,4,3,5,5,4,3,1,5,2,4,4,5,3,5,4,4,3,1,259
1533,DLB,I,3,3,5,5,4,5,1,5,5,4,4,5,3,5,3,2,3,-1,259
1412,ADP,I,5,5,5,4,3,3,1,5,3,4,3,4,2,4,4,4,4,1,258
1452,EFX,I,4,3,5,5,4,3,1,4,3,5,5,5,4,4,3,4,3,-1,257
1694,SCS,I,2,2,5,5,3,3,1,5,5,3,3,5,3,5,5,5,2,3,257
1408,RTX,I,4,4,5,5,4,3,1,5,4,3,3,5,2,2,4,4,3,3,256
1525,FIX,I,4,4,5,5,5,3,1,5,5,5,5,5,0,1,5,5,4,-1,256
1415,CP,I,4,5,5,5,4,3,1,5,0,2,3,5,3,3,5,5,3,3,253
1514,KNX,I,4,3,5,5,5,4,1,5,3,5,5,5,3,5,4,5,2,-5,253
2054,SKAS,I,3,3,5,-1,0,5,-1,4,5,5,4,5,4,5,5,3,2,3,253
1472,IEX,I,4,3,5,5,4,4,1,5,5,5,4,3,3,3,5,4,3,-1,252
1413,CNI,I,4,5,5,5,4,4,1,5,5,4,2,5,2,3,3,3,1,1,251
1425,CTAS,I,4,3,5,5,5,5,1,5,2,3,1,4,4,5,4,5,3,-1,251
1437,PAYX,I,5,5,5,3,2,2,1,4,5,4,4,5,1,2,3,3,3,3,249
1404,UNP,I,5,5,5,5,3,5,1,5,5,3,2,5,3,-1,3,3,3,1,246
1479,POOL,I,5,5,5,5,4,5,1,5,5,3,3,3,-1,3,5,5,3,-1,246
1438,URI,I,5,5,5,5,4,-1,1,5,5,5,5,3,4,5,5,3,5,-5,245
1583,TEX,I,2,5,5,5,5,5,1,5,5,1,2,5,3,5,-5,5,3,-5,245
1469,EXPD,I,4,5,5,5,5,3,1,5,5,4,2,5,-1,5,3,3,3,-1,244
1455,DAL,I,5,3,5,5,5,5,1,5,3,5,0,5,3,5,3,5,3,-5,242
1768,OFLX,I,5,5,5,4,3,2,1,-5,5,5,5,5,3,5,5,5,3,1,242
1707,APOG,I,3,3,5,5,5,3,1,5,2,3,2,5,3,5,5,5,3,-1,241
1531,ARMK,I,3,3,5,5,5,2,1,4,5,4,3,5,2,4,4,5,2,-1,240
1541,WTS,I,2,2,5,5,5,3,1,5,2,4,3,5,4,5,3,5,2,-1,240
1423,PH,I,4,3,5,5,4,4,1,5,3,5,4,3,3,5,2,3,1,-1,239
1430,PCAR,I,4,5,5,5,3,3,1,4,2,4,3,0,3,5,5,3,4,3,238
1621,KFY,I,2,3,5,5,5,2,1,4,5,4,4,5,-1,5,5,5,4,-1,238
1781,SWBI,I,5,5,5,5,5,5,1,4,3,5,5,5,2,-3,-5,1,3,1,237
1419,GD,I,4,4,5,5,4,3,1,5,5,5,3,5,2,2,1,1,1,1,234
1454,XYL,I,3,3,5,5,4,3,1,4,2,4,4,4,3,4,1,5,3,-1,234
1709,HY,I,4,3,5,5,5,1,1,4,5,4,4,5,3,5,-3,-2,3,1,234
1789,CASS,I,3,3,5,5,4,3,1,4,5,4,4,0,4,5,3,2,3,1,234
1422,NOC,I,5,4,5,5,4,3,1,5,3,5,4,5,2,3,3,1,2,-1,233
1576,AL,I,2,3,5,5,5,5,1,4,2,4,5,0,3,5,5,4,4,-1,233
1774,CVLG,I,3,2,5,5,2,5,1,4,5,5,5,3,0,5,4,5,2,-1,233
1501,ALLE,I,5,4,5,5,5,5,1,5,3,5,5,5,1,-1,5,5,3,-5,232
1527,WWD,I,3,3,5,5,5,3,1,5,5,5,5,5,2,1,3,5,3,-5,232
1433,CPRT,I,5,5,5,-1,0,-1,-1,4,2,5,5,5,3,5,5,5,4,0,231
1443,AME,I,4,3,5,5,5,4,1,4,2,5,5,3,1,5,5,5,4,-5,231
1461,HEI,I,3,3,5,5,5,3,1,4,3,5,5,5,3,2,5,5,4,-5,231
1897,CRAWA,I,4,4,5,-1,0,-1,-1,4,5,5,5,5,4,5,-5,3,4,0,231
2044,MWG,I,3,4,5,-1,3,5,1,4,2,5,0,5,1,5,-5,3,4,1,231
1467,LUV,I,2,3,5,5,5,5,1,5,5,4,2,5,4,5,4,1,3,-5,229
1561,ATKR,I,5,3,5,-1,0,-1,-1,5,5,5,5,5,4,5,5,5,-1,0,226
2162,RELT,I,5,5,5,-1,0,-1,-1,4,3,5,5,5,1,5,3,5,4,0,226
1428,EMR,I,4,3,5,5,3,1,1,5,4,4,2,5,1,2,3,4,2,3,225
1608,CXT,I,4,3,5,5,4,2,1,4,1,4,3,5,3,3,4,4,-1,3,223
1703,FWRD,I,4,3,5,5,5,3,1,5,5,4,3,5,-1,3,2,1,4,-1,223
1494,BLD,I,4,3,5,-1,0,-1,-1,5,5,5,4,3,4,5,5,5,3,0,222
1505,FBIN,I,4,3,5,5,5,3,1,5,5,5,4,3,2,-3,4,5,3,-1,222
1558,MSM,I,4,4,5,5,4,3,1,5,3,5,5,5,0,3,1,-2,3,1,222
1406,HON,I,5,5,5,5,4,3,1,5,2,3,1,-1,3,3,1,5,3,1,221
1431,RSG,I,3,3,5,5,3,3,1,5,5,3,2,5,3,5,2,-2,3,1,221
1439,WCN,I,2,2,5,5,4,3,1,4,5,3,3,1,3,5,5,5,3,-1,221
1940,RSKIA,I,2,3,5,4,3,2,1,5,5,3,3,0,4,3,3,3,3,3,221
1761,KELYA,I,2,2,5,5,5,4,1,4,3,3,4,5,3,5,3,3,-1,-1,220
1771,VVI,I,2,2,5,5,5,-3,1,4,5,3,3,5,3,5,5,5,4,-1,220
1775,EUBG,I,5,5,5,-1,0,-1,-1,5,5,5,4,5,-3,5,5,5,5,0,220
1502,EME,I,3,3,5,5,5,2,1,5,3,4,4,3,3,5,4,4,3,-5,219
1711,RYI,I,3,1,5,5,2,5,1,4,2,5,5,5,-2,5,3,3,1,3,219
1457,WAB,I,3,3,5,5,5,3,1,5,3,4,4,5,0,3,5,5,4,-5,218
1486,XPO,I,2,1,5,-1,5,5,-1,4,3,4,5,3,3,5,3,5,4,-5,218
1508,ITT,I,4,4,5,5,5,3,1,5,3,5,4,5,3,4,2,-5,3,-1,217
1591,MDU,I,3,2,5,5,4,1,1,4,2,3,3,5,3,5,-3,1,2,3,217
1620,HI,I,4,3,5,5,4,1,1,4,5,5,4,5,1,1,2,1,3,1,217
1429,NSC,I,4,4,5,5,3,3,1,5,3,3,0,5,0,2,1,5,3,1,216
1460,BLDR,I,3,5,5,-1,0,-1,-1,4,3,5,5,3,3,5,5,5,4,0,216
1622,BRC,I,3,3,5,5,4,1,1,5,0,3,1,5,4,3,5,5,3,1,216
1697,LNN,I,3,3,5,5,5,2,1,4,5,4,4,3,-1,4,5,5,1,-1,216
1720,HTLD,I,4,4,5,5,2,5,1,5,4,4,4,5,1,4,1,2,2,-5,215
1783,AGX,I,3,3,5,5,4,1,1,4,5,5,4,-5,2,5,4,5,5,1,215
1741,NMM,I,3,2,5,5,5,-1,1,5,5,4,4,5,1,5,-4,5,3,-5,214
1879,SFWL,I,2,3,5,-1,0,-1,-1,5,5,4,4,5,2,5,5,5,4,0,213
1405,BA,I,5,5,5,5,4,4,-1,4,0,5,-1,5,4,5,-4,1,3,-1,212
1506,TTC,I,5,5,5,5,5,4,1,5,1,5,3,5,1,-5,5,5,3,-1,212
1510,WCC,I,3,3,5,5,2,5,1,4,3,5,5,5,2,4,2,2,3,-5,212
1411,LMT,I,5,5,5,5,4,3,1,5,5,-1,-5,5,3,4,2,3,1,1,211
1522,CHRW,I,5,5,5,5,4,2,1,5,2,5,4,5,-1,-3,3,3,4,1,211
1663,KMT,I,2,3,5,5,4,1,1,4,3,4,3,5,-1,5,3,5,1,1,211
1855,DLHC,I,1,3,5,-1,0,-1,-1,4,5,5,5,5,4,5,5,3,4,0,211
1706,KAMN,I,2,2,5,5,4,1,1,4,4,4,3,3,3,5,4,4,2,-1,210
1407,UPS,I,5,5,5,4,3,3,1,5,2,4,3,3,3,5,-5,-5,3,1,209
1434,MMM,I,5,5,5,5,3,2,1,5,2,3,2,3,2,1,2,2,1,3,208
1556,TNET,I,5,5,5,5,0,-1,-1,5,5,5,5,3,-1,3,5,5,4,-1,206
1511,AAL,I,5,5,5,5,2,-1,-1,4,5,5,1,5,1,3,5,5,2,-1,203
1516,TTEK,I,3,3,5,5,5,5,1,4,5,4,3,-3,2,4,5,5,4,-5,203
1453,PWR,I,2,3,5,5,5,5,1,4,3,4,4,3,-2,5,4,3,5,-5,202
1515,ASR,I,-1,-1,5,-1,2,5,1,5,2,4,4,5,4,5,1,5,5,-5,202
1521,CW,I,3,3,5,5,5,2,1,5,3,5,4,3,0,3,5,5,3,-5,202
1798,KE,I,2,3,5,-1,0,-1,-1,5,3,5,4,5,3,5,3,4,3,0,202
1424,TDG,I,-5,2,5,5,3,5,1,4,5,5,5,-1,1,5,5,5,4,1,201
1463,JBHT,I,5,4,5,5,4,2,1,5,5,5,5,3,-2,-5,3,5,4,-1,201
1518,AGCO,I,3,3,5,5,5,3,1,5,5,5,4,5,2,4,1,-4,4,-5,201
