id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
136,INTU,K,4,5,5,5,4,4,1,5,5,5,5,5,5,5,4,5,4,-1,300
155,KLAC,K,5,4,5,5,4,5,1,5,5,5,5,3,4,5,5,5,4,1,300
133,ACN,K,5,5,5,5,4,3,1,5,5,5,5,5,2,4,5,5,3,1,285
186,CDW,K,5,3,5,5,5,5,1,5,5,5,5,5,3,5,5,5,4,-5,275
287,AMKR,K,3,3,5,5,5,5,1,4,5,5,5,4,3,5,4,5,2,-1,267
123,MSFT,K,5,5,5,5,4,3,1,5,3,5,5,1,2,5,5,5,4,1,265
147,LRCX,K,5,4,5,5,5,5,1,5,5,5,5,-3,1,5,5,5,5,1,265
246,JKHY,K,4,5,5,5,4,3,1,5,3,4,4,5,3,4,4,5,4,-1,262
273,SNX,K,3,3,5,5,5,5,1,4,2,5,5,5,3,5,5,4,4,-1,262
297,G,K,4,3,5,5,5,4,1,5,5,4,3,5,3,3,4,5,4,-1,262
124,AAPL,K,5,5,5,5,5,3,1,5,5,4,0,3,1,5,4,3,4,3,257
125,NVDA,K,4,4,5,5,5,3,1,4,5,5,5,-1,4,5,5,5,4,-1,257
128,ASML,K,4,5,5,5,5,3,1,5,2,5,5,5,-1,5,5,5,4,-1,255
160,APH,K,4,5,5,5,5,3,1,5,2,5,5,1,4,5,4,4,4,-1,255
143,AMAT,K,4,5,5,5,5,3,1,5,5,3,3,4,1,4,5,5,4,-1,254
164,ROP,K,3,3,5,5,5,5,1,4,2,5,5,5,3,5,5,5,4,-5,247
251,PAYC,K,4,5,5,5,2,5,1,4,5,5,5,3,3,5,5,3,5,-5,247
127,AVGO,K,5,3,5,4,3,5,1,4,5,-2,0,5,3,5,3,3,4,3,246
135,CSCO,K,4,4,5,4,3,3,1,5,4,4,4,5,3,2,2,2,2,3,242
222,SWKS,K,4,4,5,5,5,4,1,5,2,5,5,5,4,5,2,-3,4,-1,240
233,SSNC,K,2,1,5,5,5,5,1,4,5,4,5,5,2,5,4,5,4,-5,239
680,CSPI,K,2,2,5,5,5,3,1,4,2,2,3,5,3,5,5,3,3,4,238
448,SPNS,K,3,3,5,5,3,2,1,4,5,3,4,5,3,3,5,5,4,-1,236
393,EVTC,K,5,3,5,5,5,1,1,5,5,5,5,5,2,3,5,5,3,-5,235
254,OTEX,K,2,3,5,5,4,4,1,4,5,4,4,-1,4,5,5,5,4,-1,234
551,MGIC,K,2,3,5,5,3,3,1,4,5,4,4,3,3,4,3,3,4,1,234
388,INTA,K,4,5,5,-1,0,-1,-1,1,5,5,5,5,3,5,5,5,5,0,233
360,CAMT,K,3,3,5,5,4,3,-1,4,3,5,5,3,4,5,5,3,4,-1,232
284,UI,K,5,5,5,5,5,5,1,5,5,5,5,-4,0,5,5,5,5,-5,230
142,TXN,K,5,5,5,5,3,4,1,5,5,3,2,3,3,4,1,3,-1,1,229
229,BSY,K,5,4,5,5,5,5,1,4,5,5,5,3,0,2,4,3,4,-5,227
554,ITRN,K,5,5,5,4,2,4,1,4,4,3,3,5,-1,-1,5,5,4,1,221
131,ADBE,K,4,4,5,-1,0,-1,-1,5,5,5,4,5,1,4,4,5,5,0,220
228,LDOS,K,4,3,5,5,4,1,1,5,2,5,1,5,2,5,-5,5,1,1,220
231,MANH,K,5,5,5,-1,0,-1,-1,5,5,3,0,5,4,5,5,5,4,0,219
342,SEDG,K,4,4,5,-1,0,-1,-1,3,5,5,5,1,4,5,5,5,5,0,219
633,III,K,2,2,5,5,0,5,1,4,3,4,4,5,3,5,2,4,1,1,219
153,ANET,K,4,5,5,-1,0,-1,-1,4,5,5,5,5,0,5,3,3,5,0,217
175,SMCI,K,2,3,5,-1,0,-1,-1,4,5,5,5,5,2,5,5,5,5,0,217
232,TER,K,4,4,5,5,5,2,1,5,2,4,3,3,3,2,-3,5,2,-1,217
306,LFUS,K,3,3,5,5,5,4,1,4,2,5,5,3,0,5,5,5,4,-5,217
170,MCHP,K,3,3,5,4,2,1,1,4,3,3,2,5,3,5,3,1,4,3,216
657,EACO,K,4,3,5,-1,0,-1,-1,5,5,5,5,5,3,5,3,3,3,0,215
241,LOGI,K,4,4,5,5,4,4,1,4,5,4,4,-3,2,5,2,3,1,1,214
348,AVT,K,3,3,5,5,4,2,1,5,5,3,3,3,3,5,-4,3,1,-1,214
272,WEX,K,3,3,5,-1,0,-1,-1,4,2,5,5,5,4,5,4,4,5,0,212
303,QLYS,K,3,3,5,-1,0,-1,-1,4,2,5,5,5,3,5,5,5,5,0,212
470,DQ,K,3,3,5,-1,0,-1,-1,4,3,5,5,5,4,5,3,3,5,0,212
174,STM,K,2,3,5,5,5,1,1,4,2,3,3,3,4,5,5,3,2,1,211
176,CTSH,K,4,4,5,5,5,3,1,5,2,5,5,5,-1,1,3,5,4,-5,210
