id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
5058,CHD,P,4,3,5,5,4,3,1,5,5,4,4,5,3,4,4,5,4,1,269
5042,EL,P,5,5,5,5,4,5,1,5,3,5,4,5,0,4,5,5,4,-1,262
5040,TGT,P,4,5,5,5,4,4,1,5,5,3,0,3,3,5,3,5,2,3,260
5051,GIS,P,5,5,5,5,3,2,1,5,2,4,4,5,3,3,2,3,3,3,251
5168,TPB,P,5,3,5,5,5,3,1,2,3,5,5,5,4,5,3,5,3,-5,242
5045,KDP,P,4,3,5,5,4,3,1,5,2,3,3,5,3,5,4,3,3,1,238
5049,SYY,P,5,5,5,5,3,2,1,5,0,3,3,5,3,5,5,4,3,1,238
5063,MKC,P,4,3,5,5,4,3,1,4,5,4,4,3,3,3,2,1,3,3,237
5089,FLO,P,4,3,5,5,3,2,1,4,3,3,3,3,4,5,2,3,2,3,231
5175,NGVC,P,3,3,5,5,4,-1,1,4,3,5,4,5,3,5,4,5,4,-1,228
5103,JJSF,P,3,3,5,5,4,3,1,4,5,4,3,3,3,5,4,3,3,-1,227
5081,COKE,P,4,3,5,5,5,1,-1,4,5,5,5,5,2,5,4,5,3,-5,225
5140,COCO,P,4,4,5,-1,0,-1,-1,4,5,5,5,5,4,5,5,3,4,0,223
5061,CLX,P,5,5,5,4,3,3,1,5,4,3,3,5,1,1,2,3,1,1,222
5038,MO,P,5,5,5,3,1,3,1,5,5,4,-1,4,4,3,1,1,1,3,220
5152,NUS,P,4,4,5,5,4,1,1,5,4,4,3,3,2,4,3,3,1,1,220
5111,PSMT,P,3,3,5,5,4,1,1,4,5,5,5,4,3,5,4,3,4,-5,218
5200,FTLF,P,4,5,5,5,5,-5,-1,4,5,5,5,5,4,5,5,5,4,-5,218
5052,KR,P,5,3,5,5,4,4,1,5,5,4,4,4,-1,2,3,2,3,-1,216
5031,PEP,P,5,4,5,5,3,2,1,5,4,4,3,3,0,3,3,3,2,1,213
5065,LW,P,5,5,5,5,4,3,1,4,3,5,5,5,0,1,1,4,4,-5,213
5041,MNST,P,5,5,5,-1,0,-1,-1,5,2,3,3,5,3,5,5,5,4,0,211
5064,HRL,P,4,4,5,5,3,3,1,4,5,4,3,5,0,-1,4,4,2,1,209
5121,LAUR,P,3,3,5,5,1,-1,-1,5,5,5,3,5,4,5,5,3,1,1,208
5127,ANDE,P,2,2,5,5,5,2,1,4,0,4,5,5,3,5,5,5,-5,1,208
5087,LANC,P,4,4,5,5,3,3,1,4,4,4,3,5,1,1,3,3,3,-1,207
5093,FIZZ,P,5,5,5,-5,-5,-5,-1,4,5,5,5,5,4,5,4,4,3,3,205
5026,WMT,P,4,3,5,5,4,2,1,5,4,3,2,5,0,1,-2,1,3,3,203
5262,SBEV,P,5,5,5,-1,0,-1,-1,2,2,5,5,5,0,5,3,5,5,0,203
5035,MDLZ,P,3,3,5,5,3,3,1,5,1,2,3,3,3,3,4,4,2,1,202
5054,DLTR,P,4,3,5,-1,0,-1,-1,5,5,5,5,5,2,1,5,5,3,0,199
5029,KO,P,5,3,5,4,3,2,1,5,5,3,2,3,3,2,-2,-3,3,3,198
5106,CALM,P,3,3,5,5,4,1,1,4,5,4,4,5,4,5,4,-5,3,-1,197
5138,PRDO,P,3,3,5,5,5,-1,1,4,2,4,4,5,2,4,-4,5,-2,-1,197
5066,EDU,P,4,4,5,5,5,-4,-1,4,2,5,5,5,2,5,5,5,5,-5,196
5074,USFD,P,3,3,5,-1,0,-1,-1,4,5,4,4,5,3,5,5,3,2,0,194
5043,KHC,P,1,2,5,4,3,1,1,4,3,3,1,3,4,5,3,3,1,3,193
5088,SFM,P,4,3,5,-1,0,-1,-1,4,2,5,4,3,3,5,5,5,4,0,193
5135,HLF,P,3,5,5,5,5,2,-1,5,3,4,5,5,-1,1,5,5,3,-5,191
5072,BG,P,4,4,5,5,2,4,1,4,-1,5,3,5,-4,5,-5,4,1,1,189
5132,CHEF,P,2,1,5,5,5,5,-1,3,2,4,5,3,2,5,5,3,5,-5,189
5126,MGPI,P,4,4,5,5,5,1,1,4,2,5,5,5,-2,2,3,4,4,-5,188
5048,KMB,P,5,5,5,4,3,2,1,5,-1,3,-2,5,3,3,1,1,1,3,187
5165,CVGW,P,2,3,5,5,3,2,1,4,2,3,4,5,-2,2,4,4,4,1,187
5196,IH,P,2,3,5,-1,0,-1,-1,1,5,4,5,5,2,5,3,3,5,0,186
5046,HSY,P,5,5,5,5,3,3,-1,-5,5,5,5,4,1,3,4,5,3,-5,184
5053,CCEP,P,-1,-1,5,-1,2,2,1,4,5,3,3,3,4,3,1,5,3,1,184
5075,PFGC,P,2,2,5,-1,0,-1,-1,3,3,5,5,5,3,5,5,3,4,0,184
5206,LFVN,P,5,5,5,5,4,5,1,5,4,5,5,5,1,1,-4,-5,1,-5,183
5166,DAO,P,5,5,5,-1,0,-1,-1,2,5,3,-1,5,0,5,5,5,5,0,182
5197,DIT,P,3,3,5,5,5,5,1,4,5,4,3,5,-2,-2,-2,1,3,-1,182
5027,PG,P,4,4,5,4,3,3,1,5,3,1,-3,3,3,3,-2,1,1,3,181
5133,TR,P,2,3,5,5,4,1,1,4,5,2,3,5,0,1,3,4,1,-1,180
5060,TSN,P,3,3,5,5,5,-1,-1,5,1,3,3,5,0,2,4,5,3,0,178
5169,VLGEA,P,2,3,5,5,3,-1,-1,5,2,4,3,5,1,3,3,2,2,3,178
5044,STZ,P,3,3,5,5,2,-1,-1,1,5,3,4,3,3,4,3,3,3,0,177
5227,COE,P,5,5,5,-1,0,-1,-1,4,2,5,4,5,-2,1,5,5,5,0,176
5247,EOSS,P,5,5,5,-1,0,-1,-1,1,3,5,5,5,1,1,3,3,4,0,176
5100,GHC,P,2,3,5,5,5,2,1,5,2,5,3,3,-1,-1,5,5,3,-1,174
5188,LWAY,P,2,2,5,5,2,4,-1,5,5,4,3,5,2,3,-5,1,4,-5,174
5198,STG,P,5,5,5,5,0,5,1,4,5,3,-2,5,0,-5,5,4,1,3,173
5124,ATGE,P,2,3,5,5,5,4,-1,5,3,3,1,3,4,2,-5,5,-1,-5,171
5123,EPC,P,3,2,5,5,4,-2,1,5,5,4,3,5,2,1,3,5,1,-5,170
5104,HELE,P,3,3,5,-1,0,-1,-1,5,5,5,4,3,-1,2,5,5,3,0,169
5028,COST,P,4,3,5,5,4,-5,1,4,4,5,5,5,-2,-1,5,5,4,-1,168
5034,UL,P,-1,-1,5,-1,1,2,1,5,2,3,3,4,4,3,1,2,2,3,165
5102,RLX,P,-1,-1,5,-1,0,-5,1,5,5,3,5,5,4,5,3,3,5,0,164
5056,ADM,P,3,3,5,5,4,3,1,5,3,3,3,4,2,2,-3,-4,-2,1,163
5189,ACU,P,3,2,5,5,5,2,1,4,5,4,4,1,-2,-5,5,5,3,1,162
5099,NWL,P,3,2,5,5,4,2,1,5,2,3,0,5,2,-5,4,5,-1,3,161
5091,IPAR,P,2,3,5,5,3,5,1,4,1,4,3,5,-1,-5,5,5,4,-1,160
5137,JBSS,P,3,3,5,4,3,2,1,4,2,3,3,5,-2,-5,4,5,1,3,158
5071,CPB,P,5,5,5,5,3,1,1,5,3,5,4,5,-1,-5,-4,-5,4,3,157
5203,BRID,P,3,3,5,5,2,1,-1,5,0,5,3,5,0,5,-5,3,3,-5,154
5062,K,P,5,5,5,5,3,2,1,5,-1,3,0,5,-1,-5,1,4,1,3,152
5080,TAL,P,3,3,5,-5,0,-5,-1,4,5,5,5,5,0,5,3,3,5,-5,151
5108,LRN,P,1,1,5,-1,0,-1,-1,4,2,3,3,5,4,4,5,2,3,0,149
5287,INBP,P,1,3,5,-1,0,-1,-1,4,5,5,5,5,-2,2,5,3,1,0,149
5070,TAP,P,2,2,5,5,4,3,1,4,2,3,3,5,1,1,-5,-5,2,1,146
5143,DOLE,P,2,2,5,5,5,-4,1,2,4,4,4,5,3,3,-3,-5,5,-1,145
5098,SMPL,P,2,2,5,-1,0,-1,-1,3,5,5,5,5,-1,4,1,-3,5,0,142
5186,APEI,P,4,4,5,-5,-5,-1,-1,5,2,5,5,5,-1,-5,-2,4,4,5,142
5324,RTON,P,5,5,5,-1,0,-1,-1,-2,1,5,4,0,0,5,3,3,5,0,142
5328,MFLTY,P,5,5,5,-1,0,-1,-1,-5,3,5,0,5,0,5,5,3,4,0,142
5030,FMX,P,-1,-1,5,-1,2,3,1,5,5,3,3,5,1,1,1,3,4,-5,141
5083,INGR,P,4,3,5,5,4,2,1,4,3,4,4,4,-1,-5,1,1,1,-1,141
5092,OLLI,P,3,3,5,-5,-5,-5,-1,4,5,5,5,5,3,5,5,3,5,-5,141
5114,PRMW,P,1,1,5,5,3,2,1,4,5,2,3,5,-2,4,4,-5,3,1,141
5176,VSTA,P,-1,-1,5,-1,0,-1,-1,5,5,4,3,5,3,5,1,3,-2,0,141
5079,BJ,P,3,3,5,-1,0,1,1,5,2,5,3,5,-2,-5,4,5,3,0,139
5057,BF-B,P,5,5,5,5,3,-5,1,5,-1,3,3,3,1,-1,2,2,3,1,138
5112,THS,P,2,2,5,-1,0,-1,-1,4,5,3,2,3,-1,3,5,5,1,0,138
5313,EAST,P,-1,-1,5,-1,0,-1,-1,1,3,3,5,5,0,5,5,5,5,0,138
5037,BTI,P,-1,-1,5,-1,2,3,1,5,4,3,3,5,1,2,1,-3,2,1,135
5116,SOVO,P,1,1,5,-5,-5,-1,-1,4,5,-2,2,5,4,5,3,3,5,0,135
5142,AGRO,P,-1,-1,5,-1,2,-5,1,5,5,5,4,3,4,5,1,3,3,-5,134
5298,CYAN,P,1,1,5,-1,0,-1,-1,4,1,3,3,3,2,5,5,3,3,0,134
5173,NATR,P,-1,-1,5,-1,0,-5,-1,4,5,3,2,5,3,5,4,5,2,0,131
5334,TDNT,P,5,5,5,-1,0,-1,-1,4,3,5,-1,0,0,5,5,5,-5,0,131
5226,UG,P,5,5,5,-5,-5,-5,1,5,3,3,0,0,3,5,2,5,-2,1,128
5237,RMCF,P,3,3,5,4,3,1,-1,4,3,3,0,5,4,3,-5,-5,-4,1,128
5130,IMKTA,P,3,1,5,5,5,-1,-1,1,5,3,5,5,-2,-5,3,3,3,0,127
5134,UVV,P,2,2,5,5,4,1,1,5,2,3,3,5,-2,-5,-2,1,-1,3,126
5067,SJM,P,2,3,5,5,4,3,1,5,0,3,0,5,0,-2,-2,-2,2,1,125
5250,MSS,P,5,1,5,-1,0,-1,-1,5,2,5,5,5,-2,-5,3,3,5,0,125
5141,KLG,P,-1,-1,5,-1,0,-1,-1,1,3,3,3,5,3,5,-5,3,2,0,124
5182,SDSYA,P,4,5,5,-5,-5,-1,-1,4,2,5,5,4,3,-5,5,3,2,0,122
5101,NOMD,P,-1,-1,5,-1,0,-5,1,5,5,4,2,3,0,5,1,4,3,0,121
5161,VTRU,P,-1,-1,5,-1,0,-1,-1,1,3,4,5,-1,4,4,1,5,3,0,120
5217,BEDU,P,2,1,5,5,2,-5,-1,4,5,3,-2,5,1,5,5,5,5,-5,120
5073,ACI,P,5,3,5,5,5,2,1,3,2,3,2,5,-2,-5,5,3,1,-5,119
5144,NAPA,P,2,2,5,-5,-5,-5,-1,4,5,5,4,5,0,5,5,5,4,-5,118
5146,UNFI,P,2,3,5,-1,0,-1,-1,4,1,5,5,5,-2,-5,5,5,4,0,118
5148,EWCZ,P,1,1,5,-5,-5,-1,1,1,5,3,0,5,1,5,2,5,0,0,118
5151,CHGG,P,-4,-4,5,-1,0,-1,-1,2,5,1,3,3,5,5,3,5,4,0,118
5190,BIG,P,4,5,5,5,5,3,1,5,0,4,-1,1,-2,-5,2,1,1,1,115
5113,STRA,P,4,4,5,5,3,5,1,4,-2,3,2,5,-1,-4,-4,-5,3,1,114
5204,VFF,P,-3,-1,5,-1,0,-1,-1,-1,5,5,5,5,0,5,-4,4,-1,0,113
5312,NGTF,P,5,5,5,-1,0,-1,1,-1,2,4,-2,0,1,1,5,5,-5,4,113
5069,CAG,P,3,2,5,5,3,1,1,5,2,3,1,5,0,-5,-3,-5,4,3,111
5231,AACG,P,-1,-1,5,-1,0,-1,-1,1,3,3,-3,5,3,5,-5,5,4,0,110
5305,TANH,P,1,1,5,-1,0,-1,-1,5,2,5,4,5,4,5,-5,-5,-5,0,110
5163,LND,P,-1,-1,5,-1,1,-5,1,5,5,3,4,-3,-1,4,1,5,5,1,109
5249,BRFH,P,-5,-5,5,-1,0,-1,-1,1,5,5,5,5,0,4,5,5,5,0,109
5348,GLUC,P,5,5,5,-1,0,-1,-1,1,5,5,-5,0,1,1,4,5,0,0,109
5039,CL,P,5,5,5,4,3,2,1,5,0,-5,-3,3,1,1,1,-2,1,1,108
5117,CCU,P,-1,-1,5,-1,2,2,-1,5,5,3,3,3,4,5,1,-5,3,-5,108
5119,AKO-A,P,-1,-1,5,-1,1,4,-1,5,5,3,3,1,-1,1,1,2,-2,1,108
5110,CENT,P,2,2,5,-1,0,-1,-1,4,3,4,2,3,-1,1,4,1,3,0,107
5084,DAR,P,3,3,5,-1,0,-1,-1,4,2,5,5,5,-1,-5,-5,5,-5,0,106
5131,UTZ,P,-2,-1,5,5,0,5,1,5,-1,2,3,5,1,-2,3,3,3,-1,105
5289,BON,P,4,4,5,-1,0,-1,-1,-1,0,5,5,5,-2,-5,5,5,3,0,105
5295,SNBH,P,5,5,5,-1,0,-1,-1,4,3,1,-2,0,0,5,4,3,-5,0,104
5184,ALCO,P,2,1,5,5,5,4,1,4,2,4,4,5,-2,-5,3,3,-5,-5,103
5335,PCNT,P,5,5,5,-1,0,-1,-1,4,5,-1,-3,0,1,1,3,3,0,0,103
5107,SPB,P,1,1,5,5,5,1,1,4,3,3,0,3,1,-5,5,3,-1,-1,102
5266,AIXN,P,5,5,5,-1,0,-1,-1,5,3,3,0,-1,-5,5,3,4,-5,0,99
5294,BTTR,P,5,5,5,-1,0,-1,-1,-4,3,5,-2,5,0,5,4,-5,5,0,99
5349,LMDCF,P,-1,-1,5,-1,0,-1,-1,5,5,-2,-1,5,5,4,1,3,-5,0,99
5139,FDP,P,1,1,5,5,5,4,1,5,0,3,2,3,-2,1,-5,-5,1,-1,97
5178,LMNR,P,1,1,5,5,2,3,1,4,4,3,2,3,-5,-5,5,3,4,-1,97
5097,ASAI,P,-1,-1,5,-1,2,-5,1,4,3,5,5,3,3,5,1,-3,5,-5,96
5136,GOTU,P,-2,1,5,-1,0,-1,-1,4,3,5,0,5,2,5,5,-5,5,0,96
5308,TLCC,P,3,3,5,-1,0,-1,-1,4,5,3,0,3,0,5,-4,-3,-5,0,95
5059,KOF,P,-1,-1,5,-1,2,5,1,5,0,3,1,5,0,3,1,-2,3,-5,93
5160,VITL,P,2,3,5,-1,0,-1,-1,4,5,5,5,5,-2,-5,-5,-5,5,0,91
5269,TCTM,P,4,4,5,5,4,-4,-1,4,1,-5,1,5,-4,3,-4,5,3,-5,90
5238,WVVI,P,2,2,5,-1,0,-1,-1,5,0,4,4,3,-3,-5,5,5,4,0,89
5281,WAFU,P,2,3,5,-1,0,-1,-1,4,3,4,4,5,4,-3,-5,-5,-3,0,89
5291,JVA,P,-1,1,5,5,0,-5,-1,4,3,1,3,5,2,5,-5,3,-5,-1,89
5339,ICNB,P,5,5,5,-1,0,-1,-1,3,3,4,-2,5,-5,-5,-5,3,5,0,89
5078,ELF,P,2,3,5,-5,-3,-1,-1,4,2,5,5,5,-1,-5,5,5,4,-5,88
5221,GCEH,P,5,5,5,-1,0,-1,-1,4,-3,4,2,5,0,5,-3,-5,-5,0,88
5341,TBBB,P,-1,-1,5,-1,0,-1,-1,1,2,3,-2,5,-2,5,1,5,5,0,88
5082,BRBR,P,-2,5,5,-1,0,-1,-1,-2,5,5,-5,5,-1,2,3,3,5,0,87
5120,HIMS,P,-5,-1,5,-1,0,-1,-1,4,5,-2,2,5,1,1,3,3,5,0,85
5268,SLGD,P,1,1,5,-1,0,-1,-1,4,1,4,5,5,-2,-5,-5,2,4,0,85
5095,FRPT,P,-3,-3,5,-1,0,-1,-1,4,5,4,3,5,0,5,-5,-5,5,0,83
5274,SHMP,P,5,5,5,-1,0,-1,-1,2,1,5,-3,5,-2,-2,2,5,-5,0,83
5320,SHRG,P,5,5,5,-1,0,-1,-1,-1,2,5,5,5,0,-1,-5,-5,-5,0,81
5218,AAGR,P,5,5,5,-1,0,-1,-1,1,5,5,0,-5,1,5,-5,-5,0,0,79
5233,IVFH,P,3,-1,5,-1,0,-1,-1,1,4,5,5,3,-2,1,-5,-5,5,0,79
