id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
1104,EQIX,RE,2,1,5,4,-3,3,1,4,5,4,5,3,1,5,5,5,4,1,231
1142,EGP,RE,2,3,5,3,-2,2,1,4,5,5,5,0,3,3,5,5,4,3,227
1137,CPT,RE,2,3,5,4,-3,2,1,4,5,3,4,0,5,5,5,5,3,3,226
1112,EXR,RE,2,4,5,3,-1,5,1,4,3,3,4,0,3,5,4,3,5,3,222
1280,RMR,RE,3,5,5,1,2,1,1,4,5,5,5,5,-1,1,5,3,4,3,222
1103,AMT,RE,3,3,5,5,1,5,1,4,5,3,0,3,3,5,5,5,4,-1,221
1127,HST,RE,2,3,5,5,3,4,1,5,2,3,2,4,1,2,5,5,2,3,221
1135,LAMR,RE,4,2,5,3,-1,3,1,4,0,3,3,5,4,4,3,5,3,3,218
1113,VICI,RE,2,3,5,3,2,3,1,-1,5,4,5,0,0,5,5,5,5,3,212
1130,ELS,RE,4,4,5,4,1,3,1,4,3,3,3,0,3,3,4,5,3,3,212
1158,TRNO,RE,1,1,5,3,-3,4,1,-1,5,5,5,0,5,5,5,3,5,1,212
1132,GLPI,RE,4,5,5,-1,-2,2,1,4,3,3,3,3,3,3,5,5,4,3,208
1244,AHH,RE,1,1,5,3,0,2,1,2,2,4,5,0,4,5,5,4,5,3,207
1225,GTY,RE,2,3,5,1,-2,3,1,4,5,3,3,0,5,5,4,5,3,3,206
1102,PLD,RE,2,2,5,3,0,3,1,3,3,3,4,0,1,5,5,3,5,3,202
1198,NHI,RE,3,3,5,3,-3,2,1,4,5,3,3,0,5,5,2,3,4,3,201
1144,FRT,RE,3,3,5,3,-1,1,1,4,5,3,4,0,3,4,3,5,3,3,200
1161,RITM,RE,3,3,5,5,1,3,1,1,2,4,5,0,1,1,5,5,-1,4,200
1391,MAA,RE,2,3,5,4,-2,2,1,4,3,3,3,0,3,3,4,5,3,3,198
1149,FR,RE,2,3,5,4,1,3,1,4,5,4,4,0,1,1,5,3,3,1,196
1277,LAND,RE,-1,2,5,4,-1,1,1,-1,5,5,5,0,4,5,3,3,5,3,196
1138,CUBE,RE,1,1,5,3,-2,5,1,3,0,2,3,0,5,5,5,5,4,1,192
1115,AVB,RE,2,3,5,3,0,2,1,4,5,3,3,0,1,5,4,1,4,3,190
1120,INVH,RE,1,1,5,4,-1,5,1,4,3,3,2,0,4,5,5,3,4,-1,190
1260,INN,RE,1,1,5,5,4,5,1,4,0,-2,3,0,4,5,5,4,4,3,189
1125,ESS,RE,2,2,5,4,-1,2,1,4,5,1,2,0,2,5,5,3,3,3,188
1129,WPC,RE,2,3,5,1,-3,2,1,3,5,2,2,0,3,4,5,5,4,3,187
1199,ABR,RE,2,3,5,1,2,3,1,1,3,3,5,0,5,5,5,5,-5,4,187
1235,BFS,RE,3,3,5,5,-1,2,1,4,3,3,3,0,2,5,2,1,3,3,187
1156,CIGI,RE,3,3,5,5,5,-3,1,4,5,5,5,1,3,5,5,5,4,-5,186
1255,RWT,RE,2,3,5,4,1,1,1,3,5,4,4,0,1,1,5,3,0,3,184
1275,CLDT,RE,1,1,5,4,2,4,1,3,2,-1,3,0,4,5,5,4,3,3,184
1323,AJX,RE,2,3,5,4,1,4,1,-1,5,3,4,0,1,5,2,4,0,3,182
1290,CTO,RE,1,3,5,5,2,5,1,5,5,4,4,5,0,-5,3,3,5,-5,181
1114,CBRE,RE,4,3,5,-1,0,-1,-1,4,5,5,5,5,-2,2,5,5,4,0,180
1212,ROIC,RE,1,1,5,3,-5,3,1,4,5,1,3,0,2,5,3,3,4,3,180
1111,CSGP,RE,1,1,5,-1,0,-1,-1,4,5,5,4,5,2,5,4,5,5,0,179
1133,REXR,RE,1,1,5,4,-3,4,1,-1,3,5,5,0,1,5,3,3,5,-1,179
1147,FSV,RE,3,3,5,5,4,3,1,4,5,5,5,3,-2,-5,5,3,5,-5,178
1236,PMT,RE,2,3,5,3,0,1,1,3,0,3,3,0,1,1,5,5,4,4,177
1343,LOAN,RE,3,3,5,-1,-1,3,1,2,3,-1,3,0,3,5,5,5,5,4,177
1167,EPRT,RE,1,1,5,1,-1,2,1,-1,5,3,5,0,3,5,3,3,5,3,176
1357,XIN,RE,2,1,5,5,5,3,-1,5,5,5,5,3,-1,2,3,5,3,-5,176
1164,PECO,RE,-2,-1,5,1,-3,1,1,3,0,5,3,5,3,5,5,3,4,1,175
1159,NSA,RE,1,1,5,4,-1,3,1,1,5,-5,4,0,3,5,5,5,5,3,173
1217,NXRT,RE,1,1,5,3,-1,3,1,4,0,5,4,0,2,-4,5,3,4,3,173
1148,NNN,RE,2,2,5,3,-3,1,1,4,0,2,4,0,1,1,5,5,4,3,172
1131,UDR,RE,2,2,5,3,-3,2,1,4,5,3,3,0,0,2,3,2,3,3,170
1107,WELL,RE,1,1,5,-1,0,1,1,3,5,3,4,0,0,4,5,5,4,3,169
1121,IRM,RE,4,1,5,3,-3,2,1,4,5,3,-2,3,3,5,3,-3,4,3,169
1172,PCH,RE,4,3,5,3,-2,1,1,4,5,4,3,5,-1,2,-4,3,3,3,169
1211,PEB,RE,1,1,5,5,3,3,1,4,0,-3,2,0,4,5,5,3,5,3,169
1193,IIPR,RE,2,2,5,-1,-2,5,1,-4,2,5,4,0,1,5,3,3,5,3,168
1299,REFI,RE,3,2,5,-1,-1,5,1,4,5,-1,2,5,1,1,1,5,0,5,168
1136,BXP,RE,2,2,5,4,-2,2,1,4,5,2,2,0,3,3,1,2,3,3,167
1155,ADC,RE,1,2,5,-1,-3,2,1,-2,0,5,5,0,0,4,5,5,5,3,165
1126,AMH,RE,-2,-1,5,5,4,2,1,2,0,2,4,0,5,5,5,5,4,-1,164
1382,PW,RE,2,1,5,5,3,-5,-1,4,5,4,3,5,4,2,5,3,2,-1,164
1146,OHI,RE,2,3,5,1,-3,2,1,3,5,-2,3,0,2,5,5,2,4,3,163
1210,AKR,RE,1,1,5,4,-3,-2,1,3,3,3,3,0,1,3,4,5,4,3,163
1110,O,RE,1,1,5,3,-3,1,1,2,5,3,5,0,-2,-1,4,4,4,3,162
1153,STWD,RE,2,3,5,-5,-3,1,1,3,5,4,4,0,1,1,5,5,4,4,162
1246,PLYM,RE,-5,-1,5,3,0,2,1,-5,5,5,4,0,3,5,5,2,5,3,162
1377,CORR,RE,1,1,5,4,2,3,-1,4,2,-2,2,5,3,3,4,5,3,0,161
1173,CUZ,RE,1,4,5,5,3,2,1,4,3,-1,3,0,3,5,2,3,2,1,160
1134,REG,RE,2,2,5,3,-3,2,1,4,5,3,2,0,3,-4,1,5,4,3,158
1118,EQR,RE,2,3,5,3,-2,2,1,4,3,2,2,0,4,5,3,-5,3,3,157
1124,SUI,RE,1,1,5,3,-3,3,1,1,3,5,5,0,-5,-5,5,3,5,3,157
1170,RLJ,RE,1,3,5,4,2,3,1,4,0,-2,-1,0,4,5,5,3,4,3,157
1189,CDP,RE,2,2,5,4,-3,-2,1,4,5,1,3,0,0,5,3,5,1,3,157
