id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
55,OTTR,U,2,2,5,5,3,1,1,4,5,3,4,4,3,5,3,4,1,3,228
49,CWEN,U,1,1,5,4,-1,5,-1,4,5,5,5,3,5,5,5,3,3,3,225
29,VST,U,1,1,5,5,5,5,1,5,2,3,3,5,4,2,3,5,1,1,222
60,ALE,U,2,2,5,5,1,2,1,4,5,3,4,3,2,5,4,4,4,3,222
15,WEC,U,3,2,5,5,4,3,1,5,3,3,3,3,2,5,3,3,3,1,218
27,CMS,U,3,2,5,5,1,3,1,4,3,4,4,3,2,5,3,4,1,3,216
46,UGI,U,3,3,5,5,4,2,1,4,0,3,4,3,4,5,4,3,2,1,211
11,XEL,U,3,3,5,5,1,2,1,4,1,3,3,5,0,5,4,5,3,3,209
5,SRE,U,2,3,5,5,1,2,1,4,3,4,3,3,0,4,5,5,3,3,202
8,AEP,U,3,2,5,5,4,2,1,4,4,3,3,3,4,2,3,2,-1,3,202
39,WTRG,U,3,1,5,5,3,3,1,4,0,4,4,3,0,5,4,5,3,1,197
12,ED,U,2,1,5,4,1,1,1,4,3,3,3,3,3,5,3,4,1,3,193
59,BKH,U,2,1,5,5,1,2,1,4,5,3,4,3,0,4,3,4,1,3,193
52,NJR,U,3,3,5,5,3,2,1,4,3,4,4,1,4,5,1,-3,1,3,191
1,NEE,U,3,2,5,4,1,3,1,4,1,5,5,1,1,1,4,5,3,3,190
19,FE,U,2,3,5,5,2,1,1,4,5,5,4,5,3,5,3,-4,-2,3,190
17,DTE,U,3,2,5,5,1,2,1,4,0,3,4,5,1,1,4,5,3,3,189
71,MGEE,U,3,2,5,-1,3,2,1,5,2,3,3,3,1,5,1,3,0,1,189
88,YORW,U,3,2,5,5,3,2,1,4,5,3,4,3,3,-3,4,4,3,1,189
78,HE,U,2,3,5,5,1,1,1,4,-1,3,3,5,3,5,3,3,1,3,188
36,SBS,U,-1,-1,5,-1,2,5,1,5,5,4,4,3,3,-1,1,4,1,3,185
7,PCG,U,2,1,5,-1,1,2,1,4,3,3,4,3,0,5,1,2,3,3,184
43,OGE,U,3,2,5,5,1,2,1,4,0,4,4,3,2,5,3,4,-4,3,181
