id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
2215,WST,V,3,3,5,5,5,2,1,4,5,5,4,5,4,5,2,5,3,-1,274
2172,UNH,V,4,3,5,5,5,5,1,5,2,5,4,3,2,5,5,5,4,-1,267
2684,SMLR,V,5,5,5,-1,0,-1,-1,4,5,5,4,5,5,5,5,5,5,0,260
2509,NRC,V,5,5,5,4,3,5,1,4,5,4,4,5,1,4,2,2,3,-1,259
2216,RMD,V,4,4,5,5,4,2,1,4,5,4,4,3,3,5,4,4,4,-1,257
2283,EHC,V,4,5,5,5,4,2,1,4,5,5,5,5,2,1,3,2,4,1,257
2179,ABT,V,4,3,5,5,3,3,1,5,5,3,2,3,3,3,2,5,3,3,254
2192,CVS,V,3,3,5,5,5,5,1,5,2,3,3,5,1,5,5,5,4,-1,252
2261,UTHR,V,4,4,5,-1,0,-1,-1,5,5,5,5,5,4,5,5,5,4,0,252
2195,ZTS,V,5,3,5,5,5,5,1,5,5,5,5,3,1,2,4,5,3,-5,249
2228,BAX,V,4,5,5,5,4,4,1,5,2,4,3,5,2,2,3,3,3,1,249
2271,ATR,V,3,3,5,5,4,2,1,5,5,4,3,5,3,4,2,3,3,-1,244
2527,SLP,V,4,4,5,5,3,-2,1,4,2,5,5,5,3,5,1,5,4,-1,242
2223,ICLR,V,4,3,5,-1,0,-1,-1,4,5,5,5,5,4,5,4,5,3,0,239
2255,UHS,V,4,3,5,5,5,2,1,5,5,5,3,3,3,5,3,4,3,-5,239
2180,DHR,V,3,3,5,5,5,5,1,4,4,4,4,5,3,2,5,4,4,-5,237
2264,MEDP,V,4,5,5,-1,0,-1,-1,4,5,5,5,5,4,4,5,3,4,0,237
2183,ISRG,V,4,4,5,-1,0,-1,-1,4,5,5,5,5,1,5,5,5,5,0,235
2181,AMGN,V,5,3,5,5,4,5,1,5,5,4,2,3,1,2,4,1,3,1,234
2191,CI,V,3,3,5,5,5,5,1,5,5,4,3,5,-1,3,5,5,3,-5,229
