id,Ticker,Sector,roce,roic,roc,ffopo,po,divgr,divpay,shares,cf,bv,equity,debt,fcfm,fcf,ffo,ni,rev,divyield,score
5506,PII,Y,5,5,5,5,4,2,1,5,5,5,4,5,4,5,5,5,4,1,300
5482,THO,Y,4,4,5,5,5,3,1,5,5,5,5,5,3,5,5,5,5,-1,295
5670,MED,Y,5,5,5,4,3,5,1,5,2,5,4,5,2,5,5,5,4,3,295
5404,ROL,Y,5,5,5,4,3,5,1,5,5,5,5,-2,4,5,4,5,4,3,290
5680,KRT,Y,4,5,5,5,4,5,1,4,5,4,5,5,4,5,5,5,5,-5,283
5591,WGO,Y,4,4,5,5,5,3,1,4,5,5,5,3,3,5,1,4,5,-1,276
5794,NOBH,Y,2,3,5,4,4,3,1,5,5,4,3,5,4,5,3,3,4,3,272
5706,MPX,Y,4,5,5,4,3,5,1,4,2,4,4,5,0,4,5,5,4,3,268
5380,ROST,Y,5,5,5,5,5,5,1,5,3,5,3,4,4,4,5,5,4,-5,265
5459,LEA,Y,4,5,5,5,5,5,1,5,5,4,3,5,2,4,5,5,4,-5,262
5424,LKQ,Y,3,3,5,5,5,5,1,4,5,5,3,4,1,5,5,5,4,-1,261
5433,CASY,Y,4,3,5,5,5,3,1,4,5,5,5,3,2,5,5,5,3,-1,261
5492,BC,Y,4,3,5,5,5,4,1,5,5,5,4,5,3,3,5,3,3,-1,260
5494,IBP,Y,4,3,5,5,5,5,1,5,5,5,5,-1,3,5,3,3,5,-1,260
5552,CRI,Y,5,4,5,5,5,5,1,5,2,5,3,5,1,5,2,4,2,-1,255
5384,GM,Y,4,4,5,5,5,4,1,5,3,4,4,5,3,5,-3,1,1,1,252
5417,PKG,Y,5,3,5,5,3,3,1,5,3,5,4,4,4,5,2,1,3,1,250
5401,EBAY,Y,4,3,5,5,5,4,1,5,5,3,4,5,4,1,1,3,3,-1,249
5368,TJX,Y,5,5,5,5,5,5,1,5,3,4,3,3,0,2,3,5,4,-1,247
5508,ASO,Y,5,4,5,5,5,5,1,4,2,5,5,5,3,4,3,3,3,-5,246
5732,NATH,Y,-4,5,5,5,4,5,1,5,5,5,5,5,2,3,5,5,4,-1,245
5642,MNRO,Y,3,3,5,5,5,4,1,4,3,4,4,5,2,4,4,4,3,-1,243
5825,CRWS,Y,3,4,5,3,3,3,1,4,5,4,3,5,3,2,1,2,3,3,243
5877,BFX,Y,4,4,5,-1,0,-1,-1,5,5,5,5,5,4,5,5,4,4,0,240
5573,ATAT,Y,3,5,5,5,5,-1,1,1,5,5,5,5,5,5,5,3,5,-5,239
5549,SHOO,Y,3,4,5,-1,2,5,1,5,5,4,3,5,1,3,3,4,3,-1,237
5590,MLKN,Y,5,3,5,5,5,2,1,4,0,5,5,5,3,4,-2,3,3,-1,236
5710,MCFT,Y,4,5,5,-5,-5,4,-1,4,2,5,5,5,2,5,5,3,5,4,236
5374,CMG,Y,4,4,5,-1,0,-1,-1,5,5,5,5,3,4,5,5,5,4,0,235
5532,GPI,Y,3,3,5,5,5,4,1,5,2,5,3,5,-2,5,5,5,4,-1,235
5756,RCKY,Y,2,2,5,5,5,2,1,4,3,4,4,5,3,5,4,4,1,1,233
5632,CAL,Y,2,3,5,5,5,5,1,5,0,4,3,5,3,5,3,3,1,1,232
5534,KTB,Y,5,3,5,5,3,1,1,4,5,5,5,5,0,5,5,5,-2,1,231
5576,GRBK,Y,4,3,5,-1,2,2,1,4,5,5,5,5,2,5,5,3,5,-5,231
5386,LVS,Y,5,5,5,-5,-2,2,1,5,0,1,1,5,4,5,4,5,4,3,228
5666,MOV,Y,3,3,5,5,5,5,1,4,5,4,4,5,4,5,-5,-5,3,-1,228
5848,TLF,Y,3,3,5,5,2,-1,-1,5,5,4,2,5,3,5,4,5,2,3,227
5499,ALSN,Y,5,4,5,5,5,3,1,5,2,2,0,5,2,2,5,5,4,-1,226
5566,CARG,Y,4,3,5,-1,0,-1,-1,4,5,5,5,5,3,5,3,3,5,0,226
5579,PATK,Y,5,3,5,5,5,5,1,4,1,5,5,-5,2,5,5,5,5,-1,226
5770,CANG,Y,-1,1,5,5,5,5,-1,4,5,5,-1,5,4,5,2,1,4,4,226
5471,HAS,Y,4,3,5,5,3,3,1,4,5,3,2,5,4,5,-5,-2,1,3,225
5709,ZUMZ,Y,3,3,5,-1,0,-1,-1,5,5,5,4,5,4,5,5,5,3,0,225
5411,AVY,Y,4,5,5,5,3,3,1,5,4,3,-1,5,3,2,-3,5,1,1,224
5598,CAKE,Y,4,4,5,5,4,5,1,5,3,3,3,3,-1,5,4,3,3,-1,224
5432,WRK,Y,2,1,5,5,4,3,1,4,0,4,2,5,2,4,3,5,4,3,223
