Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
BBSI,4,5,5,3,4,5,4,5,5,3,5,5,291
GGG,5,5,4,3,4,5,3,5,3,3,5,3,287
MLI,4,3,5,3,4,4,3,4,5,4,5,5,282
ULH,5,3,5,3,5,3,3,5,5,2,5,5,282
WMS,4,3,5,3,3,5,4,5,5,4,5,5,281
LECO,4,5,4,3,5,5,3,5,3,2,5,4,277
AIT,4,3,4,2,5,5,3,5,5,3,3,5,272
TKR,3,3,5,2,5,3,4,4,5,4,3,4,271
SNA,4,4,4,4,5,4,2,5,5,3,5,4,270
GWW,5,4,4,3,5,3,3,5,5,2,5,3,269
ROK,5,5,4,3,5,5,3,5,4,3,2,3,269
EXPO,4,4,4,5,5,5,3,4,5,4,2,4,269
ETN,3,4,3,3,5,5,3,2,5,4,5,3,266
WSO,3,3,2,5,4,5,3,5,4,3,5,3,266
OC,3,3,5,3,5,4,3,5,5,4,5,3,264
ZTO,3,3,4,5,4,5,5,5,5,3,5,5,262
HUBB,4,3,4,3,5,5,3,4,5,3,2,4,259
DLB,3,3,4,5,5,5,3,2,5,3,5,4,259
ADP,5,5,3,3,5,4,4,4,4,2,3,3,258
EFX,4,3,4,3,4,5,3,4,4,4,3,5,257
SCS,2,2,3,3,5,5,2,5,5,3,5,3,257
RTX,4,4,4,3,5,5,3,4,2,2,4,3,256
KNX,4,3,5,4,5,5,2,5,5,3,3,5,253
IEX,4,3,4,4,5,3,3,4,3,3,5,4,252
TEX,2,5,5,5,5,5,3,5,5,3,5,2,245
APOG,3,3,5,3,5,5,3,5,5,3,2,2,241
ARMK,3,3,5,2,4,5,2,5,4,2,5,3,240
WTS,2,2,5,3,5,5,2,5,5,4,2,3,240
XYL,3,3,4,3,4,4,3,5,4,3,2,4,234
HEI,3,3,5,3,4,5,4,5,2,3,3,5,231
EME,3,3,5,2,5,3,3,4,5,3,3,4,219
WCC,3,3,2,5,4,5,3,2,4,2,3,5,212
UNF,2,3,5,2,4,5,3,3,3,2,2,4,194
