Ticker,roce,roic,po,divgr,shares,debt,rev,ni,fcf,fcfm,cf,equity,score
INTU,4,5,4,4,5,5,4,5,5,5,5,5,300
KLAC,5,4,4,5,5,3,4,5,5,4,5,5,300
ACN,5,5,4,3,5,5,3,5,4,2,5,5,285
CDW,5,3,5,5,5,5,4,5,5,3,5,5,275
AMKR,3,3,5,5,4,4,2,5,5,3,5,5,267
JKHY,4,5,4,3,5,5,4,5,4,3,3,4,262
G,4,3,5,4,5,5,4,5,3,3,5,3,262
AMAT,4,5,5,3,5,4,4,5,4,1,5,3,254
PAYC,4,5,2,5,4,3,5,3,5,3,5,5,247
CSCO,4,4,3,3,5,5,2,2,2,3,4,4,242
SSNC,2,1,5,5,4,5,4,5,5,2,5,5,239
SPNS,3,3,3,2,4,5,4,5,3,3,5,4,236
EVTC,5,3,5,1,5,5,3,5,3,2,5,5,235
MGIC,2,3,3,3,4,3,4,3,4,3,5,4,234
CAMT,3,3,4,3,4,3,4,3,5,4,3,5,232
BSY,5,4,5,5,4,3,4,3,2,0,5,5,227
MCHP,3,3,2,1,4,5,4,1,5,3,3,2,216
DOX,3,3,5,4,5,5,2,2,2,2,3,2,204
SODI,2,3,1,5,4,5,3,3,3,3,3,4,204
