Ticker,Company Name,CIK,Sector,Industry
LIN,LINDE PLC,0001707925,Basic Materials,Specialty Chemicals
BHP,BHP Group Ltd,0000811809,Basic Materials,Other Industrial Metals & Mining
RTNTF,RIO TINTO LTD,0000887028,Basic Materials,Other Industrial Metals & Mining
RIO,RIO TINTO PLC,0000863064,Basic Materials,Other Industrial Metals & Mining
SHW,SHERWIN WILLIAMS CO,0000089800,Basic Materials,Specialty Chemicals
SHECY,"Shin-Etsu Chemical Co., Ltd.",0001442651,Basic Materials,Chemicals
SCCO,SOUTHERN COPPER CORP/,0001001838,Basic Materials,Copper
GLNCY,Glencore plc/ADR,0001524684,Basic Materials,Other Industrial Metals & Mining
ECL,ECOLAB INC.,0000031462,Basic Materials,Specialty Chemicals
VALE,Vale S.A.,0000917851,Basic Materials,Other Industrial Metals & Mining
FCX,FREEPORT-MCMORAN INC,0000831259,Basic Materials,Copper
CRH,CRH PUBLIC LTD CO,0000849395,Basic Materials,Building Materials
CTA-PA,"EIDP, Inc.",0000030554,Basic Materials,Agricultural Inputs
APD,"Air Products & Chemicals, Inc.",0000002969,Basic Materials,Specialty Chemicals
NUE,NUCOR CORP,0000073309,Basic Materials,Steel
NEM,NEWMONT Corp /DE/,0001164727,Basic Materials,Gold
DOW,DOW INC.,0001751788,Basic Materials,Chemicals
CTVA,"Corteva, Inc.",0001755672,Basic Materials,Agricultural Inputs
PTCAY,PT Chandra Asri Petrochemical Tbk/ADR,0001547873,Basic Materials,Specialty Chemicals
PPG,PPG INDUSTRIES INC,0000079879,Basic Materials,Specialty Chemicals
MLM,MARTIN MARIETTA MATERIALS INC,0000916076,Basic Materials,Building Materials
VMC,Vulcan Materials CO,0001396009,Basic Materials,Building Materials
LYB,LyondellBasell Industries N.V.,0001489393,Basic Materials,Specialty Chemicals
DD,"DuPont de Nemours, Inc.",0001666700,Basic Materials,Specialty Chemicals
GOLD,BARRICK GOLD CORP,0000756894,Basic Materials,Gold
PKX,POSCO HOLDINGS INC.,0000889132,Basic Materials,Steel
NTR,Nutrien Ltd.,0001725964,Basic Materials,Agricultural Inputs
AEM,AGNICO EAGLE MINES LTD,0000002809,Basic Materials,Gold
MT,ArcelorMittal,0001243429,Basic Materials,Steel
FNV,FRANCO NEVADA Corp,0001456346,Basic Materials,Gold
WPM,Wheaton Precious Metals Corp.,0001323404,Basic Materials,Gold
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,Basic Materials,Specialty Chemicals
STLD,STEEL DYNAMICS INC,0001022671,Basic Materials,Steel
TECK,TECK RESOURCES LTD,0000886986,Basic Materials,Other Industrial Metals & Mining
WLK,WESTLAKE CORP,0001262823,Basic Materials,Specialty Chemicals
RS,RELIANCE STEEL & ALUMINUM CO,0000861884,Basic Materials,Steel
HDELY,HeidelbergCement AG,0001400691,Basic Materials,Building Materials
JHX,James Hardie Industries plc,0001159152,Basic Materials,Building Materials
CE,Celanese Corp,0001306830,Basic Materials,Chemicals
AVTR,"Avantor, Inc.",0001722482,Basic Materials,Specialty Chemicals
CF,"CF Industries Holdings, Inc.",0001324404,Basic Materials,Agricultural Inputs
SUZ,Suzano S.A.,0000909327,Basic Materials,Paper & Paper Products
RPM,RPM INTERNATIONAL INC/DE/,0000110621,Basic Materials,Specialty Chemicals
ALB,ALBEMARLE CORP,0000915913,Basic Materials,Specialty Chemicals
GFI,GOLD FIELDS LTD,0001172724,Basic Materials,Gold
SQM,CHEMICAL & MINING CO OF CHILE INC,0000909037,Basic Materials,Specialty Chemicals
CX,CEMEX SAB DE CV,0001076378,Basic Materials,Building Materials
X,UNITED STATES STEEL CORP,0001163302,Basic Materials,Steel
MOS,MOSAIC CO,0001285785,Basic Materials,Agricultural Inputs
CLF,CLEVELAND-CLIFFS INC.,0000764065,Basic Materials,Steel
EMN,EASTMAN CHEMICAL CO,0000915389,Basic Materials,Specialty Chemicals
EXP,EAGLE MATERIALS INC,0000918646,Basic Materials,Building Materials
SSD,"Simpson Manufacturing Co., Inc.",0000920371,Basic Materials,Lumber & Wood Production
MTLHY,Mitsubishi Chemical Holdings Corp,0001446418,Basic Materials,Specialty Chemicals
GGB,GERDAU S.A.,0001073404,Basic Materials,Steel
AU,AngloGold Ashanti PLC,0001973832,Basic Materials,Gold
TX,Ternium S.A.,0001342874,Basic Materials,Steel
BDNNY,Boliden AB,0001446457,Basic Materials,Other Industrial Metals & Mining
RGLD,ROYAL GOLD INC,0000085535,Basic Materials,Gold
UFPI,UFP INDUSTRIES INC,0000912767,Basic Materials,Lumber & Wood Production
AXTA,Axalta Coating Systems Ltd.,0001616862,Basic Materials,Specialty Chemicals
SUM,"Summit Materials, Inc.",0001621563,Basic Materials,Building Materials
KGC,KINROSS GOLD CORP,0000701818,Basic Materials,Gold
FMC,FMC CORP,0000037785,Basic Materials,Agricultural Inputs
WFG,"WEST FRASER TIMBER CO., LTD",0001402388,Basic Materials,Lumber & Wood Production
BZZUY,BUZZI UNICEM S.p.A.,0001437774,Basic Materials,Building Materials
CMC,COMMERCIAL METALS Co,0000022444,Basic Materials,Steel
OLN,OLIN Corp,0000074303,Basic Materials,Specialty Chemicals
ICL,ICL Group Ltd.,0000941221,Basic Materials,Agricultural Inputs
FUPBY,Fuchs Petrolub SE/ADR,0001534043,Basic Materials,Specialty Chemicals
NEU,NEWMARKET CORP,0001282637,Basic Materials,Specialty Chemicals
JSCPY,JSR Corp.,0001449005,Basic Materials,Specialty Chemicals
ESI,Element Solutions Inc,0001590714,Basic Materials,Specialty Chemicals
BCC,BOISE CASCADE Co,0001328581,Basic Materials,Building Materials
PUTKY,PT United Tractors Tbk / ADR,0001455955,Basic Materials,Other Industrial Metals & Mining
SSL,SASOL LTD,0000314590,Basic Materials,Specialty Chemicals
ALTM,Arcadium Lithium plc,0001977303,Basic Materials,Specialty Chemicals
AA,Alcoa Corp,0001675149,Basic Materials,Aluminum
AMR,"Alpha Metallurgical Resources, Inc.",0001704715,Basic Materials,Coking Coal
SIM,"GRUPO SIMEC, S.A.B. de C.V.",0000887153,Basic Materials,Steel
PAAS,PAN AMERICAN SILVER CORP,0000771992,Basic Materials,Gold
AGI,ALAMOS GOLD INC,0001178819,Basic Materials,Gold
SID,NATIONAL STEEL CO,0001049659,Basic Materials,Steel
BCPC,BALCHEM CORP,0000009326,Basic Materials,Specialty Chemicals
ASH,ASHLAND INC.,0001674862,Basic Materials,Specialty Chemicals
CC,Chemours Co,0001627223,Basic Materials,Specialty Chemicals
