Ticker,Company Name,CIK,Sector,Industry
GOOGL,Alphabet Inc.,0001652044,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",0001326801,Communication Services,Internet Content & Information
NFLX,NETFLIX INC,0001065280,Communication Services,Entertainment
DIS,Walt Disney Co,0001744489,Communication Services,Entertainment
TMUS,"T-Mobile US, Inc.",0001283699,Communication Services,Telecom Services
VZ,VERIZON COMMUNICATIONS INC,0000732712,Communication Services,Telecom Services
CMCSA,COMCAST CORP,0001166691,Communication Services,Telecom Services
T,AT&T INC.,0000732717,Communication Services,Telecom Services
NTES,"NetEase, Inc.",0001110646,Communication Services,Electronic Gaming & Multimedia
AMX,AMERICA MOVIL SAB DE CV/,0001129137,Communication Services,Telecom Services
SPOT,Spotify Technology S.A.,0001639920,Communication Services,Internet Content & Information
DASH,"DoorDash, Inc.",0001792789,Communication Services,Internet Content & Information
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,Communication Services,Telecom Services
EA,ELECTRONIC ARTS INC.,0000712515,Communication Services,Electronic Gaming & Multimedia
BIDU,"Baidu, Inc.",0001329099,Communication Services,Internet Content & Information
BCE,BCE INC,0000718940,Communication Services,Telecom Services
ORAN,ORANGE,0001038143,Communication Services,Telecom Services
TLGPY,Telstra Group Ltd,0001947542,Communication Services,Telecom Services
CHT,CHUNGHWA TELECOM CO LTD,0001132924,Communication Services,Telecom Services
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,Communication Services,Electronic Gaming & Multimedia
PINS,"PINTEREST, INC.",0001506293,Communication Services,Internet Content & Information
RBLX,Roblox Corp,0001315098,Communication Services,Electronic Gaming & Multimedia
PUBGY,PUBLICIS GROUPE SA,0001050952,Communication Services,Advertising Agencies
TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,0001001807,Communication Services,Telecom Services
TU,TELUS CORP,0000868675,Communication Services,Telecom Services
RCI,ROGERS COMMUNICATIONS INC,0000733099,Communication Services,Telecom Services
WBD,"Warner Bros. Discovery, Inc.",0001437107,Communication Services,Entertainment
VOD,VODAFONE GROUP PUBLIC LTD CO,0000839923,Communication Services,Telecom Services
TEF,TELEFONICA S A,0000814052,Communication Services,Telecom Services
LYV,"Live Nation Entertainment, Inc.",0001335258,Communication Services,Entertainment
SIRI,SIRIUS XM HOLDINGS INC.,0000908937,Communication Services,Entertainment
WMG,Warner Music Group Corp.,0001319161,Communication Services,Entertainment
SNAP,Snap Inc,0001564408,Communication Services,Internet Content & Information
VIV,TELEFONICA BRASIL S.A.,0001066119,Communication Services,Telecom Services
OMC,OMNICOM GROUP INC.,0000029989,Communication Services,Advertising Agencies
TME,Tencent Music Entertainment Group,0001744676,Communication Services,Internet Content & Information
NWSA,NEWS CORP,0001564708,Communication Services,Entertainment
KKPNY,KONINKLIJKE KPN N V,0001001474,Communication Services,Telecom Services
ROKU,"ROKU, INC",0001428439,Communication Services,Entertainment
ZG,"ZILLOW GROUP, INC.",0001617640,Communication Services,Internet Content & Information
FOXA,Fox Corp,0001754301,Communication Services,Entertainment
TWLO,TWILIO INC,0001447669,Communication Services,Internet Content & Information
IPG,"INTERPUBLIC GROUP OF COMPANIES, INC.",0000051644,Communication Services,Advertising Agencies
VIVHY,VIVENDI,0001127055,Communication Services,Entertainment
WPP,WPP plc,0000806968,Communication Services,Advertising Agencies
LSXMA,Liberty Media Corp,0001560385,Communication Services,Broadcasting
MTCH,"Match Group, Inc.",0000891103,Communication Services,Internet Content & Information
VDMCY,Vodacom Group Ltd / ADR,0001468608,Communication Services,Telecom Services
TIMB,TIM S.A.,0001826168,Communication Services,Telecom Services
PARA,Paramount Global,0000813828,Communication Services,Entertainment
LBRDA,Liberty Broadband Corp,0001611983,Communication Services,Telecom Services
CSXXY,carsales.com Limited/ADR,0001541309,Communication Services,Internet Content & Information
PSO,PEARSON PLC,0000938323,Communication Services,Publishing
SKM,SK TELECOM CO LTD,0001015650,Communication Services,Telecom Services
LBTYA,Liberty Global Ltd.,0001570585,Communication Services,Telecom Services
EDR,"Endeavor Group Holdings, Inc.",0001766363,Communication Services,Entertainment
NYT,NEW YORK TIMES CO,0000071691,Communication Services,Publishing
TKO,"TKO Group Holdings, Inc.",0001973266,Communication Services,Entertainment
KT,KT CORP,0000892450,Communication Services,Telecom Services
YNDX,Yandex N.V.,0001513845,Communication Services,Internet Content & Information
FYBR,"Frontier Communications Parent, Inc.",0000020520,Communication Services,Telecom Services
NXST,"NEXSTAR MEDIA GROUP, INC.",0001142417,Communication Services,Entertainment
PHI,PLDT Inc.,0000078150,Communication Services,Telecom Services
TKC,TURKCELL ILETISIM HIZMETLERI A S,0001071321,Communication Services,Telecom Services
MSGS,Madison Square Garden Sports Corp.,0001636519,Communication Services,Entertainment
IAC,IAC Inc.,0001800227,Communication Services,Internet Content & Information
IRDM,Iridium Communications Inc.,0001418819,Communication Services,Telecom Services
BILI,Bilibili Inc.,0001723690,Communication Services,Electronic Gaming & Multimedia
CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC.",0001158324,Communication Services,Telecom Services
USM,UNITED STATES CELLULAR CORP,0000821130,Communication Services,Telecom Services
MANU,Manchester United plc,0001549107,Communication Services,Entertainment
IIJIY,INTERNET INITIATIVE JAPAN INC,0001090633,Communication Services,Telecom Services
TEO,TELECOM ARGENTINA SA,0000932470,Communication Services,Telecom Services
IQ,"iQIYI, Inc.",0001722608,Communication Services,Entertainment
ATHM,Autohome Inc.,0001527636,Communication Services,Internet Content & Information
GSAT,"Globalstar, Inc.",0001366868,Communication Services,Telecom Services
YELP,YELP INC,0001345016,Communication Services,Internet Content & Information
ZD,"ZIFF DAVIS, INC.",0001084048,Communication Services,Advertising Agencies
TGNA,TEGNA INC,0000039899,Communication Services,Broadcasting
TIGO,MILLICOM INTERNATIONAL CELLULAR SA,0000912958,Communication Services,Telecom Services
HMNTY,Hemnet Group AB/ADR,0001915760,Communication Services,Internet Content & Information
CABO,"Cable One, Inc.",0001632127,Communication Services,Telecom Services
PLTK,Playtika Holding Corp.,0001828016,Communication Services,Electronic Gaming & Multimedia
BATRA,"Atlanta Braves Holdings, Inc.",0001958140,Communication Services,Entertainment
IAS,INTEGRAL AD SCIENCE HOLDING CORP.,0001842718,Communication Services,Advertising Agencies
LGF-A,LIONS GATE ENTERTAINMENT CORP /CN/,0000929351,Communication Services,Entertainment
PLAY,"Dave & Buster's Entertainment, Inc.",0001525769,Communication Services,Entertainment
CMPR,CIMPRESS plc,0001262976,Communication Services,Advertising Agencies
WB,WEIBO Corp,0001595761,Communication Services,Internet Content & Information
TDS,TELEPHONE & DATA SYSTEMS INC /DE/,0001051512,Communication Services,Telecom Services
YY,JOYY Inc.,0001530238,Communication Services,Internet Content & Information
ROVR,"ROVER GROUP, INC.",0001826018,Communication Services,Internet Content & Information
GETY,"Getty Images Holdings, Inc.",0001898496,Communication Services,Internet Content & Information
WLY,"JOHN WILEY & SONS, INC.",0000107140,Communication Services,Publishing
CNK,"Cinemark Holdings, Inc.",0001385280,Communication Services,Entertainment
CRTO,Criteo S.A.,0001576427,Communication Services,Advertising Agencies
STGW,Stagwell Inc,0000876883,Communication Services,Advertising Agencies
TV,"GRUPO TELEVISA, S.A.B.",0000912892,Communication Services,Telecom Services
SSTK,"Shutterstock, Inc.",0001549346,Communication Services,Internet Content & Information
VEON,VEON Ltd.,0001468091,Communication Services,Telecom Services
