Ticker,Company Name,CIK,Sector,Industry
AMZN,AMAZON COM INC,0001018724,Consumer Cyclical,Internet Retail
TSLA,"Tesla, Inc.",0001318605,Consumer Cyclical,Auto Manufacturers
HD,"HOME DEPOT, INC.",0000354950,Consumer Cyclical,Home Improvement Retail
TM,TOYOTA MOTOR CORP/,0001094517,Consumer Cyclical,Auto Manufacturers
MCD,MCDONALDS CORP,0000063908,Consumer Cyclical,Restaurants
BABA,Alibaba Group Holding Ltd,0001577552,Consumer Cyclical,Internet Retail
PDD,PDD Holdings Inc.,0001737806,Consumer Cyclical,Internet Retail
NKE,"NIKE, Inc.",0000320187,Consumer Cyclical,Footwear & Accessories
BKNG,Booking Holdings Inc.,0001075531,Consumer Cyclical,Travel Services
LOW,LOWES COMPANIES INC,0000060667,Consumer Cyclical,Home Improvement Retail
TJX,TJX COMPANIES INC /DE/,0000109198,Consumer Cyclical,Apparel Retail
SBUX,STARBUCKS CORP,0000829224,Consumer Cyclical,Restaurants
ABNB,"Airbnb, Inc.",0001559720,Consumer Cyclical,Travel Services
CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI,0000948401,Consumer Cyclical,Luxury Goods
MELI,MERCADOLIBRE INC,0001099590,Consumer Cyclical,Internet Retail
MBGYY,DAIMLER AG,0001067318,Consumer Cyclical,Auto Manufacturers
MAR,MARRIOTT INTERNATIONAL INC /MD/,0001048286,Consumer Cyclical,Lodging
STLA,Stellantis N.V.,0001605484,Consumer Cyclical,Auto Manufacturers
CMG,CHIPOTLE MEXICAN GRILL INC,0001058090,Consumer Cyclical,Restaurants
RACE,Ferrari N.V.,0001648416,Consumer Cyclical,Auto Manufacturers
ORLY,O REILLY AUTOMOTIVE INC,0000898173,Consumer Cyclical,Specialty Retail
LULU,lululemon athletica inc.,0001397187,Consumer Cyclical,Apparel Retail
HMC,HONDA MOTOR CO LTD,0000715153,Consumer Cyclical,Auto Manufacturers
OLCLY,"Oriental Land Co., Ltd./ADR",0001545460,Consumer Cyclical,Leisure
DNZOY,Denso Corp,0001446598,Consumer Cyclical,Auto Parts
F,FORD MOTOR CO,0000037996,Consumer Cyclical,Auto Manufacturers
ROST,"ROSS STORES, INC.",0000745732,Consumer Cyclical,Apparel Retail
HLT,Hilton Worldwide Holdings Inc.,0001585689,Consumer Cyclical,Lodging
DHI,HORTON D R INC /DE/,0000882184,Consumer Cyclical,Residential Construction
AZO,AUTOZONE INC,0000866787,Consumer Cyclical,Specialty Retail
GM,General Motors Co,0001467858,Consumer Cyclical,Auto Manufacturers
LEN,LENNAR CORP /NEW/,0000920760,Consumer Cyclical,Residential Construction
LVS,LAS VEGAS SANDS CORP,0001300514,Consumer Cyclical,Resorts & Casinos
YUM,YUM BRANDS INC,0001041061,Consumer Cyclical,Restaurants
JD,"JD.com, Inc.",0001549802,Consumer Cyclical,Internet Retail
QSR,Restaurant Brands International Inc.,0001618756,Consumer Cyclical,Restaurants
RCL,ROYAL CARIBBEAN CRUISES LTD,0000884887,Consumer Cyclical,Travel Services
LI,Li Auto Inc.,0001791706,Consumer Cyclical,Auto Manufacturers
CPNG,"Coupang, Inc.",0001834584,Consumer Cyclical,Internet Retail
ULTA,"Ulta Beauty, Inc.",0001403568,Consumer Cyclical,Specialty Retail
TCOM,Trip.com Group Ltd,0001269238,Consumer Cyclical,Travel Services
TSCO,TRACTOR SUPPLY CO /DE/,0000916365,Consumer Cyclical,Specialty Retail
SE,Sea Ltd,0001703399,Consumer Cyclical,Internet Retail
NVR,NVR INC,0000906163,Consumer Cyclical,Residential Construction
APTV,Aptiv PLC,0001521332,Consumer Cyclical,Auto Parts
YAHOY,Yahoo! Japan Corp,0001446437,Consumer Cyclical,Internet Retail
EXPE,"Expedia Group, Inc.",0001324424,Consumer Cyclical,Travel Services
PHM,PULTEGROUP INC/MI/,0000822416,Consumer Cyclical,Residential Construction
EBAY,EBAY INC,0001065088,Consumer Cyclical,Internet Retail
DECK,DECKERS OUTDOOR CORP,0000910521,Consumer Cyclical,Footwear & Accessories
MBLY,Mobileye Global Inc.,0001910139,Consumer Cyclical,Auto Parts
ROL,ROLLINS INC,0000084839,Consumer Cyclical,Personal Services
CCL,CARNIVAL CORP,0000815097,Consumer Cyclical,Travel Services
DRI,DARDEN RESTAURANTS INC,0000940944,Consumer Cyclical,Restaurants
DKNG,DraftKings Inc.,0001883685,Consumer Cyclical,Gambling
GPC,GENUINE PARTS CO,0000040987,Consumer Cyclical,Specialty Retail
BALL,BALL Corp,0000009389,Consumer Cyclical,Packaging & Containers
CUK,CARNIVAL PLC,0001125259,Consumer Cyclical,Leisure
MGA,MAGNA INTERNATIONAL INC,0000749098,Consumer Cyclical,Auto Parts
AVY,Avery Dennison Corp,0000008818,Consumer Cyclical,Packaging & Containers
BBY,BEST BUY CO INC,0000764478,Consumer Cyclical,Specialty Retail
YUMC,"Yum China Holdings, Inc.",0001673358,Consumer Cyclical,Restaurants
IHG,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,0000858446,Consumer Cyclical,Lodging
MGM,MGM Resorts International,0000789570,Consumer Cyclical,Resorts & Casinos
RIVN,"Rivian Automotive, Inc. / DE",0001874178,Consumer Cyclical,Auto Manufacturers
PKG,PACKAGING CORP OF AMERICA,0000075677,Consumer Cyclical,Packaging & Containers
DPZ,DOMINOS PIZZA INC,0001286681,Consumer Cyclical,Restaurants
WSM,WILLIAMS SONOMA INC,0000719955,Consumer Cyclical,Specialty Retail
H,Hyatt Hotels Corp,0001468174,Consumer Cyclical,Lodging
AMCR,Amcor plc,0001748790,Consumer Cyclical,Packaging & Containers
DKS,"DICK'S SPORTING GOODS, INC.",0001089063,Consumer Cyclical,Specialty Retail
BURL,"Burlington Stores, Inc.",0001579298,Consumer Cyclical,Apparel Retail
LKQ,LKQ CORP,0001065696,Consumer Cyclical,Auto Parts
VFS,VinFast Auto Ltd.,0001913510,Consumer Cyclical,Auto Manufacturers
NIO,NIO Inc.,0001736541,Consumer Cyclical,Auto Manufacturers
WYNN,WYNN RESORTS LTD,0001174922,Consumer Cyclical,Resorts & Casinos
IP,INTERNATIONAL PAPER CO /NEW/,0000051434,Consumer Cyclical,Packaging & Containers
KMX,CARMAX INC,0001170010,Consumer Cyclical,Auto & Truck Dealerships
FND,"Floor & Decor Holdings, Inc.",0001507079,Consumer Cyclical,Home Improvement Retail
RL,RALPH LAUREN CORP,0001037038,Consumer Cyclical,Apparel Manufacturing
WRK,WestRock Co,0001732845,Consumer Cyclical,Packaging & Containers
CASY,CASEYS GENERAL STORES INC,0000726958,Consumer Cyclical,Specialty Retail
TOL,"Toll Brothers, Inc.",0000794170,Consumer Cyclical,Residential Construction
HTHT,H World Group Ltd,0001483994,Consumer Cyclical,Lodging
FIVE,"FIVE BELOW, INC",0001177609,Consumer Cyclical,Specialty Retail
BBWI,"Bath & Body Works, Inc.",0000701985,Consumer Cyclical,Specialty Retail
TPR,"TAPESTRY, INC.",0001116132,Consumer Cyclical,Luxury Goods
PAG,"PENSKE AUTOMOTIVE GROUP, INC.",0001019849,Consumer Cyclical,Auto & Truck Dealerships
SCI,SERVICE CORP INTERNATIONAL,0000089089,Consumer Cyclical,Personal Services
CZR,"Caesars Entertainment, Inc.",0001590895,Consumer Cyclical,Resorts & Casinos
CVNA,CARVANA CO.,0001690820,Consumer Cyclical,Auto & Truck Dealerships
CHDN,Churchill Downs Inc,0000020212,Consumer Cyclical,Gambling
BIRK,Birkenstock Holding plc,0001977102,Consumer Cyclical,Footwear & Accessories
ONON,On Holding AG,0001858985,Consumer Cyclical,Footwear & Accessories
ALV,AUTOLIV INC,0001034670,Consumer Cyclical,Auto Parts
TXRH,"Texas Roadhouse, Inc.",0001289460,Consumer Cyclical,Restaurants
VIPS,Vipshop Holdings Ltd,0001529192,Consumer Cyclical,Internet Retail
SKX,SKECHERS USA INC,0001065837,Consumer Cyclical,Footwear & Accessories
RKUNY,"Rakuten Group, Inc.",0001294591,Consumer Cyclical,Internet Retail
CCK,"CROWN HOLDINGS, INC.",0001219601,Consumer Cyclical,Packaging & Containers
TPX,"TEMPUR SEALY INTERNATIONAL, INC.",0001206264,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ETSY,ETSY INC,0001370637,Consumer Cyclical,Internet Retail
WING,Wingstop Inc.,0001636222,Consumer Cyclical,Restaurants
MTN,VAIL RESORTS INC,0000812011,Consumer Cyclical,Resorts & Casinos
MUSA,Murphy USA Inc.,0001573516,Consumer Cyclical,Specialty Retail
GNTX,GENTEX CORP,0000355811,Consumer Cyclical,Auto Parts
LCID,"Lucid Group, Inc.",0001811210,Consumer Cyclical,Auto Manufacturers
XPEV,XPENG INC.,0001810997,Consumer Cyclical,Auto Manufacturers
LAD,LITHIA MOTORS INC,0001023128,Consumer Cyclical,Auto & Truck Dealerships
LEA,LEAR CORP,0000842162,Consumer Cyclical,Auto Parts
LNW,"Light & Wonder, Inc.",0000750004,Consumer Cyclical,Gambling
PVH,PVH CORP. /DE/,0000078239,Consumer Cyclical,Apparel Manufacturing
GPK,GRAPHIC PACKAGING HOLDING CO,0001408075,Consumer Cyclical,Packaging & Containers
GPS,GAP INC,0000039911,Consumer Cyclical,Apparel Retail
NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,Consumer Cyclical,Travel Services
BWA,BORGWARNER INC,0000908255,Consumer Cyclical,Auto Parts
AS,"Amer Sports, Inc.",0001988894,Consumer Cyclical,Leisure
CHWY,"Chewy, Inc.",0001766502,Consumer Cyclical,Internet Retail
LEVI,LEVI STRAUSS & CO,0000094845,Consumer Cyclical,Apparel Manufacturing
CART,Maplebear Inc.,0001579091,Consumer Cyclical,Internet Retail
MHK,MOHAWK INDUSTRIES INC,0000851968,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HAS,"HASBRO, INC.",0000046080,Consumer Cyclical,Leisure
SN,"SharkNinja, Inc.",0001957132,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GLBE,Global-E Online Ltd.,0001835963,Consumer Cyclical,Internet Retail
MAT,MATTEL INC /DE/,0000063276,Consumer Cyclical,Leisure
WH,"WYNDHAM HOTELS & RESORTS, INC.",0001722684,Consumer Cyclical,Lodging
BKGFY,Berkeley Group Holdings plc,0001447137,Consumer Cyclical,Residential Construction
BERY,"BERRY GLOBAL GROUP, INC.",0001378992,Consumer Cyclical,Packaging & Containers
BYD,BOYD GAMING CORP,0000906553,Consumer Cyclical,Resorts & Casinos
DDS,"DILLARD'S, INC.",0000028917,Consumer Cyclical,Department Stores
HRB,H&R BLOCK INC,0000012659,Consumer Cyclical,Personal Services
MMYT,MakeMyTrip Ltd,0001495153,Consumer Cyclical,Travel Services
CROX,"Crocs, Inc.",0001334036,Consumer Cyclical,Footwear & Accessories
THO,THOR INDUSTRIES INC,0000730263,Consumer Cyclical,Recreational Vehicles
AN,"AUTONATION, INC.",0000350698,Consumer Cyclical,Auto & Truck Dealerships
PLNT,"Planet Fitness, Inc.",0001637207,Consumer Cyclical,Leisure
LKNCY,Luckin Coffee Inc.,0001767582,Consumer Cyclical,Restaurants
W,Wayfair Inc.,0001616707,Consumer Cyclical,Internet Retail
CHH,CHOICE HOTELS INTERNATIONAL INC /DE,0001046311,Consumer Cyclical,Lodging
LNNGY,Li Ning Co. Ltd.,0001447629,Consumer Cyclical,Leisure
WHR,WHIRLPOOL CORP /DE/,0000106640,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
VFC,V F CORP,0000103379,Consumer Cyclical,Apparel Manufacturing
DUFRY,Dufry AG/ADR,0001546354,Consumer Cyclical,Specialty Retail
REYN,Reynolds Consumer Products Inc.,0001786431,Consumer Cyclical,Packaging & Containers
CAVA,"CAVA GROUP, INC.",0001639438,Consumer Cyclical,Restaurants
BC,BRUNSWICK CORP,0000014930,Consumer Cyclical,Recreational Vehicles
GIL,Gildan Activewear Inc.,0001061894,Consumer Cyclical,Apparel Manufacturing
IBP,"Installed Building Products, Inc.",0001580905,Consumer Cyclical,Residential Construction
NGKSY,"NGK Spark Plug Co., Ltd.",0001442655,Consumer Cyclical,Auto Parts
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,0001437578,Consumer Cyclical,Personal Services
TMHC,Taylor Morrison Home Corp,0001562476,Consumer Cyclical,Residential Construction
MTH,Meritage Homes CORP,0000833079,Consumer Cyclical,Residential Construction
SON,SONOCO PRODUCTS CO,0000091767,Consumer Cyclical,Packaging & Containers
ALSN,Allison Transmission Holdings Inc,0001411207,Consumer Cyclical,Auto Parts
CPRI,Capri Holdings Ltd,0001530721,Consumer Cyclical,Luxury Goods
