Ticker,Company Name,CIK,Sector,Industry
WMT,Walmart Inc.,0000104169,Consumer Defensive,Discount Stores
PG,PROCTER & GAMBLE Co,0000080424,Consumer Defensive,Household & Personal Products
COST,COSTCO WHOLESALE CORP /NEW,0000909832,Consumer Defensive,Discount Stores
KO,COCA COLA CO,0000021344,Consumer Defensive,Beverages - Non-Alcoholic
FMX,MEXICAN ECONOMIC DEVELOPMENT INC,0001061736,Consumer Defensive,Beverages - Brewers
PEP,PEPSICO INC,0000077476,Consumer Defensive,Beverages - Non-Alcoholic
PM,Philip Morris International Inc.,0001413329,Consumer Defensive,Tobacco
BUD,Anheuser-Busch InBev SA/NV,0001668717,Consumer Defensive,Beverages - Brewers
UL,UNILEVER PLC,0000217410,Consumer Defensive,Household & Personal Products
MDLZ,"Mondelez International, Inc.",0001103982,Consumer Defensive,Confectioners
DEO,DIAGEO PLC,0000835403,Consumer Defensive,Beverages - Wineries & Distilleries
BTI,British American Tobacco p.l.c.,0001303523,Consumer Defensive,Tobacco
MO,"ALTRIA GROUP, INC.",0000764180,Consumer Defensive,Tobacco
CL,COLGATE PALMOLIVE CO,0000021665,Consumer Defensive,Household & Personal Products
TGT,TARGET CORP,0000027419,Consumer Defensive,Discount Stores
MNST,Monster Beverage Corp,0000865752,Consumer Defensive,Beverages - Non-Alcoholic
EL,ESTEE LAUDER COMPANIES INC,0001001250,Consumer Defensive,Household & Personal Products
KHC,Kraft Heinz Co,0001637459,Consumer Defensive,Packaged Foods
STZ,"CONSTELLATION BRANDS, INC.",0000016918,Consumer Defensive,Beverages - Wineries & Distilleries
KDP,Keurig Dr Pepper Inc.,0001418135,Consumer Defensive,Beverages - Non-Alcoholic
HSY,HERSHEY CO,0000047111,Consumer Defensive,Confectioners
ABEV,AMBEV S.A.,0001565025,Consumer Defensive,Beverages - Brewers
KMB,KIMBERLY CLARK CORP,0000055785,Consumer Defensive,Household & Personal Products
SYY,SYSCO CORP,0000096021,Consumer Defensive,Food Distribution
KVUE,Kenvue Inc.,0001944048,Consumer Defensive,Household & Personal Products
GIS,GENERAL MILLS INC,0000040704,Consumer Defensive,Packaged Foods
SVNDY,SEVEN & I HOLDINGS CO LTD,0001359519,Consumer Defensive,Grocery Stores
KR,KROGER CO,0000056873,Consumer Defensive,Grocery Stores
CCEP,COCA-COLA EUROPACIFIC PARTNERS plc,0001650107,Consumer Defensive,Beverages - Non-Alcoholic
DLTR,"DOLLAR TREE, INC.",0000935703,Consumer Defensive,Discount Stores
DG,DOLLAR GENERAL CORP,0000029534,Consumer Defensive,Discount Stores
ADM,Archer-Daniels-Midland Co,0000007084,Consumer Defensive,Farm Products
BF-B,BROWN FORMAN CORP,0000014693,Consumer Defensive,Beverages - Wineries & Distilleries
CHD,CHURCH & DWIGHT CO INC /DE/,0000313927,Consumer Defensive,Household & Personal Products
KOF,COCA COLA FEMSA SAB DE CV,0000910631,Consumer Defensive,Beverages - Non-Alcoholic
TSN,"TYSON FOODS, INC.",0000100493,Consumer Defensive,Farm Products
CLX,CLOROX CO /DE/,0000021076,Consumer Defensive,Household & Personal Products
K,KELLANOVA,0000055067,Consumer Defensive,Packaged Foods
MKC,MCCORMICK & CO INC,0000063754,Consumer Defensive,Packaged Foods
HRL,HORMEL FOODS CORP /DE/,0000048465,Consumer Defensive,Packaged Foods
JRONY,Jeronimo Martins SGPS SA,0001438077,Consumer Defensive,Food Distribution
LW,"Lamb Weston Holdings, Inc.",0001679273,Consumer Defensive,Packaged Foods
EDU,New Oriental Education & Technology Group Inc.,0001372920,Consumer Defensive,Education & Training Services
SJM,J M SMUCKER Co,0000091419,Consumer Defensive,Packaged Foods
CELH,"Celsius Holdings, Inc.",0001341766,Consumer Defensive,Beverages - Non-Alcoholic
