Ticker,Company Name,CIK,Sector,Industry
XOM,EXXON MOBIL CORP,0000034088,Energy,Oil & Gas Integrated
CVX,CHEVRON CORP,0000093410,Energy,Oil & Gas Integrated
SHEL,Shell plc,0001306965,Energy,Oil & Gas Integrated
TTE,TotalEnergies SE,0000879764,Energy,Oil & Gas Integrated
COP,CONOCOPHILLIPS,0001163165,Energy,Oil & Gas E&P
PBR,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639,Energy,Oil & Gas Integrated
BP,BP PLC,0000313807,Energy,Oil & Gas Integrated
EQNR,EQUINOR ASA,0001140625,Energy,Oil & Gas Integrated
ENB,ENBRIDGE INC,0000895728,Energy,Oil & Gas Midstream
SLB,SCHLUMBERGER LIMITED/NV,0000087347,Energy,Oil & Gas Equipment & Services
CNQ,CANADIAN NATURAL RESOURCES LTD,0001017413,Energy,Oil & Gas E&P
EOG,EOG RESOURCES INC,0000821189,Energy,Oil & Gas E&P
PSX,Phillips 66,0001534701,Energy,Oil & Gas Refining & Marketing
MPC,Marathon Petroleum Corp,0001510295,Energy,Oil & Gas Refining & Marketing
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,0001061219,Energy,Oil & Gas Midstream
PXD,PIONEER NATURAL RESOURCES CO,0001038357,Energy,Oil & Gas E&P
OXY,OCCIDENTAL PETROLEUM CORP /DE/,0000797468,Energy,Oil & Gas E&P
E,ENI SPA,0001002242,Energy,Oil & Gas Integrated
VLO,VALERO ENERGY CORP/TX,0001035002,Energy,Oil & Gas Refining & Marketing
ET,Energy Transfer LP,0001276187,Energy,Oil & Gas Midstream
HES,HESS CORP,0000004447,Energy,Oil & Gas E&P
SU,SUNCOR ENERGY INC,0000311337,Energy,Oil & Gas Integrated
WMB,"WILLIAMS COMPANIES, INC.",0000107263,Energy,Oil & Gas Midstream
WDS,WOODSIDE ENERGY GROUP LTD,0000844551,Energy,Oil & Gas E&P
OKE,ONEOK INC /NEW/,0001039684,Energy,Oil & Gas Midstream
TRP,TC ENERGY CORP,0001232384,Energy,Oil & Gas Midstream
LNG,"Cheniere Energy, Inc.",0000003570,Energy,Oil & Gas Midstream
MPLX,MPLX LP,0001552000,Energy,Oil & Gas Midstream
KMI,"KINDER MORGAN, INC.",0001506307,Energy,Oil & Gas Midstream
IMO,IMPERIAL OIL LTD,0000049938,Energy,Oil & Gas Integrated
HAL,HALLIBURTON CO,0000045012,Energy,Oil & Gas Equipment & Services
CVE,CENOVUS ENERGY INC.,0001475260,Energy,Oil & Gas Integrated
BKR,Baker Hughes Co,0001701605,Energy,Oil & Gas Equipment & Services
FANG,"Diamondback Energy, Inc.",0001539838,Energy,Oil & Gas E&P
DVN,DEVON ENERGY CORP/DE,0001090012,Energy,Oil & Gas E&P
EC,ECOPETROL S.A.,0001444406,Energy,Oil & Gas Integrated
CQP,"Cheniere Energy Partners, L.P.",0001383650,Energy,Oil & Gas Midstream
CCJ,CAMECO CORP,0001009001,Energy,Uranium
TRGP,Targa Resources Corp.,0001389170,Energy,Oil & Gas Midstream
TS,TENARIS SA,0001190723,Energy,Oil & Gas Equipment & Services
PBA,PEMBINA PIPELINE CORP,0001546066,Energy,Oil & Gas Midstream
CTRA,Coterra Energy Inc.,0000858470,Energy,Oil & Gas E&P
EQT,EQT Corp,0000033213,Energy,Oil & Gas E&P
OMVKY,OMV AKTIENGESELLSCHAFT /FI,0000882602,Energy,Oil & Gas Integrated
MRO,MARATHON OIL CORP,0000101778,Energy,Oil & Gas E&P
GLPEY,"Galp Energia, SGPS, S.A.",0001385535,Energy,Oil & Gas Integrated
DINO,HF Sinclair Corp,0001915657,Energy,Oil & Gas Refining & Marketing
OVV,Ovintiv Inc.,0001792580,Energy,Oil & Gas E&P
TPL,Texas Pacific Land Corp,0001811074,Energy,Oil & Gas E&P
