Ticker,Company Name,CIK,Sector,Industry
BRK-B,BERKSHIRE HATHAWAY INC,0001067983,Financial Services,Insurance - Diversified
V,VISA INC.,0001403161,Financial Services,Credit Services
JPM,JPMORGAN CHASE & CO,0000019617,Financial Services,Banks - Diversified
MA,Mastercard Inc,0001141391,Financial Services,Credit Services
BAC,BANK OF AMERICA CORP /DE/,0000070858,Financial Services,Banks - Diversified
WFC,WELLS FARGO & COMPANY/MN,0000072971,Financial Services,Banks - Diversified
BX,Blackstone Inc.,0001393818,Financial Services,Asset Management
AXP,AMERICAN EXPRESS CO,0000004962,Financial Services,Credit Services
HSBC,HSBC HOLDINGS PLC,0001089113,Financial Services,Banks - Diversified
MS,MORGAN STANLEY,0000895421,Financial Services,Capital Markets
SPGI,S&P Global Inc.,0000064040,Financial Services,Financial Data & Stock Exchanges
HDB,HDFC BANK LTD,0001144967,Financial Services,Banks - Regional
RY,ROYAL BANK OF CANADA,0001000275,Financial Services,Banks - Diversified
GS,GOLDMAN SACHS GROUP INC,0000886982,Financial Services,Capital Markets
BLK,BlackRock Inc.,0001364742,Financial Services,Asset Management
SCHW,SCHWAB CHARLES CORP,0000316709,Financial Services,Capital Markets
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,0000067088,Financial Services,Banks - Diversified
PGR,PROGRESSIVE CORP/OH/,0000080661,Financial Services,Insurance - Property & Casualty
TD,TORONTO DOMINION BANK,0000947263,Financial Services,Banks - Diversified
C,CITIGROUP INC,0000831001,Financial Services,Banks - Diversified
CB,Chubb Ltd,0000896159,Financial Services,Insurance - Property & Casualty
MMC,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,Financial Services,Insurance Brokers
UBS,UBS Group AG,0001610520,Financial Services,Banks - Diversified
KKR,KKR & Co. Inc.,0001404912,Financial Services,Asset Management
IBN,ICICI BANK LTD,0001103838,Financial Services,Banks - Regional
ICE,"Intercontinental Exchange, Inc.",0001571949,Financial Services,Financial Data & Stock Exchanges
CME,CME GROUP INC.,0001156375,Financial Services,Financial Data & Stock Exchanges
MCO,MOODYS CORP /DE/,0001059556,Financial Services,Financial Data & Stock Exchanges
SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",0001022837,Financial Services,Banks - Diversified
ITUB,Itau Unibanco Holding S.A.,0001132597,Financial Services,Banks - Regional
BMO,BANK OF MONTREAL /CAN/,0000927971,Financial Services,Banks - Diversified
BN,BROOKFIELD Corp /ON/,0001001085,Financial Services,Asset Management
USB,US BANCORP \DE\,0000036104,Financial Services,Banks - Regional
SAN,"Banco Santander, S.A.",0000891478,Financial Services,Banks - Diversified
APO,"Apollo Global Management, Inc.",0001858681,Financial Services,Asset Management
AON,Aon plc,0000315293,Financial Services,Insurance Brokers
PYPL,"PayPal Holdings, Inc.",0001633917,Financial Services,Credit Services
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,Financial Services,Banks - Regional
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0000842180,Financial Services,Banks - Diversified
BNS,BANK OF NOVA SCOTIA,0000009631,Financial Services,Banks - Diversified
ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR,0001947559,Financial Services,Banks - Diversified
AJG,Arthur J. Gallagher & Co.,0000354190,Financial Services,Insurance Brokers
COF,CAPITAL ONE FINANCIAL CORP,0000927628,Financial Services,Credit Services
MET,METLIFE INC,0001099219,Financial Services,Insurance - Life
TRV,"TRAVELERS COMPANIES, INC.",0000086312,Financial Services,Insurance - Property & Casualty
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,Financial Services,Insurance - Diversified
TFC,TRUIST FINANCIAL CORP,0000092230,Financial Services,Banks - Regional
MSCI,MSCI Inc.,0001408198,Financial Services,Financial Data & Stock Exchanges
NU,Nu Holdings Ltd.,0001691493,Financial Services,Banks - Regional
MFG,MIZUHO FINANCIAL GROUP INC,0001335730,Financial Services,Banks - Regional
AFL,AFLAC INC,0000004977,Financial Services,Insurance - Life
ING,ING GROEP NV,0001039765,Financial Services,Banks - Diversified
ALL,ALLSTATE CORP,0000899051,Financial Services,Insurance - Property & Casualty
ARES,Ares Management Corp,0001176948,Financial Services,Asset Management
BSBR,Banco Santander (Brasil) S.A.,0001471055,Financial Services,Banks - Regional
BK,Bank of New York Mellon Corp,0001390777,Financial Services,Asset Management
CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,0001045520,Financial Services,Banks - Diversified
PPERY,PT Bank Mandiri (Persero) Tbk / ADR,0001461748,Financial Services,Banks - Regional
MFC,MANULIFE FINANCIAL CORP,0001086888,Financial Services,Insurance - Life
CRARY,CREDIT AGRICOLE S A,0001279967,Financial Services,Banks - Regional
IBKR,"Interactive Brokers Group, Inc.",0001381197,Financial Services,Capital Markets
AMP,AMERIPRISE FINANCIAL INC,0000820027,Financial Services,Asset Management
PRU,PRUDENTIAL FINANCIAL INC,0001137774,Financial Services,Insurance - Life
BDORY,BANCO DO BRASIL S.A.,0001433913,Financial Services,Banks - Regional
LYG,Lloyds Banking Group plc,0001160106,Financial Services,Banks - Regional
