Ticker,Company Name,CIK,Sector,Industry
LLY,ELI LILLY & Co,0000059478,Healthcare,Drug Manufacturers - General
NVO,NOVO NORDISK A S,0000353278,Healthcare,Biotechnology
UNH,UNITEDHEALTH GROUP INC,0000731766,Healthcare,Healthcare Plans
JNJ,JOHNSON & JOHNSON,0000200406,Healthcare,Drug Manufacturers - General
MRK,"Merck & Co., Inc.",0000310158,Healthcare,Drug Manufacturers - General
ABBV,AbbVie Inc.,0001551152,Healthcare,Drug Manufacturers - General
TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,Healthcare,Diagnostics & Research
NVS,NOVARTIS AG,0001114448,Healthcare,Drug Manufacturers - General
AZN,ASTRAZENECA PLC,0000901832,Healthcare,Drug Manufacturers - General
ABT,ABBOTT LABORATORIES,0000001800,Healthcare,Medical Devices
DHR,DANAHER CORP /DE/,0000313616,Healthcare,Diagnostics & Research
AMGN,AMGEN INC,0000318154,Healthcare,Drug Manufacturers - General
PFE,PFIZER INC,0000078003,Healthcare,Drug Manufacturers - General
ISRG,INTUITIVE SURGICAL INC,0001035267,Healthcare,Medical Instruments & Supplies
SYK,STRYKER CORP,0000310764,Healthcare,Medical Devices
ELV,"Elevance Health, Inc.",0001156039,Healthcare,Healthcare Plans
SNY,Sanofi,0001121404,Healthcare,Drug Manufacturers - General
MDT,Medtronic plc,0001613103,Healthcare,Medical Devices
VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320,Healthcare,Biotechnology
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,Healthcare,Biotechnology
BMY,BRISTOL MYERS SQUIBB CO,0000014272,Healthcare,Drug Manufacturers - General
CI,Cigna Group,0001739940,Healthcare,Healthcare Plans
CVS,CVS HEALTH Corp,0000064803,Healthcare,Healthcare Plans
CSLLY,CSL LTD,0001274152,Healthcare,Biotechnology
BSX,BOSTON SCIENTIFIC CORP,0000885725,Healthcare,Medical Devices
GILD,"GILEAD SCIENCES, INC.",0000882095,Healthcare,Drug Manufacturers - General
