Ticker,Company Name,CIK,Sector,Industry
LTMAY,LATAM AIRLINES GROUP S.A.,0001047716,Industrials,Airlines
CAT,CATERPILLAR INC,0000018230,Industrials,Farm & Heavy Construction Machinery
GE,GENERAL ELECTRIC CO,0000040545,Industrials,Specialty Industrial Machinery
UNP,UNION PACIFIC CORP,0000100885,Industrials,Railroads
EADSY,Airbus SE/ADR,0001378580,Industrials,Aerospace & Defense
BA,BOEING CO,0000012927,Industrials,Aerospace & Defense
HON,HONEYWELL INTERNATIONAL INC,0000773840,Industrials,Conglomerates
UPS,UNITED PARCEL SERVICE INC,0001090727,Industrials,Integrated Freight & Logistics
RTX,RTX Corp,0000101829,Industrials,Aerospace & Defense
ETN,Eaton Corp plc,0001551182,Industrials,Specialty Industrial Machinery
DE,DEERE & CO,0000315189,Industrials,Farm & Heavy Construction Machinery
LMT,LOCKHEED MARTIN CORP,0000936468,Industrials,Aerospace & Defense
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,Industrials,Staffing & Employment Services
CNI,CANADIAN NATIONAL RAILWAY CO,0000016868,Industrials,Railroads
ABBNY,ABB LTD,0001091587,Industrials,Electrical Equipment & Parts
CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,0000016875,Industrials,Railroads
ATLKY,ATLAS COPCO AB,0000748954,Industrials,Specialty Industrial Machinery
RELX,RELX PLC,0000929869,Industrials,Specialty Business Services
WM,WASTE MANAGEMENT INC,0000823768,Industrials,Waste Management
ITW,ILLINOIS TOOL WORKS INC,0000049826,Industrials,Specialty Industrial Machinery
GD,GENERAL DYNAMICS CORP,0000040533,Industrials,Aerospace & Defense
CSX,CSX CORP,0000277948,Industrials,Railroads
TRI,THOMSON REUTERS CORP /CAN/,0001075124,Industrials,Specialty Business Services
NOC,NORTHROP GRUMMAN CORP /DE/,0001133421,Industrials,Aerospace & Defense
PH,PARKER HANNIFIN CORP,0000076334,Industrials,Specialty Industrial Machinery
TDG,TransDigm Group INC,0001260221,Industrials,Aerospace & Defense
CTAS,CINTAS CORP,0000723254,Industrials,Specialty Business Services
TT,Trane Technologies plc,0001466258,Industrials,Building Products & Equipment
FDX,FEDEX CORP,0001048911,Industrials,Integrated Freight & Logistics
EMR,EMERSON ELECTRIC CO,0000032604,Industrials,Specialty Industrial Machinery
NSC,NORFOLK SOUTHERN CORP,0000702165,Industrials,Railroads
PCAR,PACCAR INC,0000075362,Industrials,Farm & Heavy Construction Machinery
RSG,"REPUBLIC SERVICES, INC.",0001060391,Industrials,Waste Management
CARR,CARRIER GLOBAL Corp,0001783180,Industrials,Building Products & Equipment
CPRT,COPART INC,0000900075,Industrials,Specialty Business Services
MMM,3M CO,0000066740,Industrials,Conglomerates
ODFL,"OLD DOMINION FREIGHT LINE, INC.",0000878927,Industrials,Trucking
GWW,"W.W. GRAINGER, INC.",0000277135,Industrials,Industrial Distribution
BAESY,BAE SYSTEMS PLC /FI/,0000895564,Industrials,Aerospace & Defense
PAYX,PAYCHEX INC,0000723531,Industrials,Staffing & Employment Services
URI,"UNITED RENTALS, INC.",0001067701,Industrials,Rental & Leasing Services
DKILY,Daikin Industries Ltd,0001446519,Industrials,Building Products & Equipment
WCN,"Waste Connections, Inc.",0001318220,Industrials,Waste Management
FERG,Ferguson plc,0001832433,Industrials,Industrial Distribution
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,Industrials,Aerospace & Defense
FAST,FASTENAL CO,0000815556,Industrials,Industrial Distribution
AME,AMETEK INC/,0001037868,Industrials,Specialty Industrial Machinery
JCI,Johnson Controls International plc,0000833444,Industrials,Building Products & Equipment
OTIS,Otis Worldwide Corp,0001781335,Industrials,Specialty Industrial Machinery
