Ticker,Company Name,CIK,Sector,Industry
PLD,"Prologis, Inc.",0001045609,Real Estate,REIT - Industrial
AMT,AMERICAN TOWER CORP /MA/,0001053507,Real Estate,REIT - Specialty
EQIX,EQUINIX INC,0001101239,Real Estate,REIT - Specialty
SPG,SIMON PROPERTY GROUP INC /DE/,0001063761,Real Estate,REIT - Retail
PSA,Public Storage,0001393311,Real Estate,REIT - Industrial
WELL,WELLTOWER INC.,0000766704,Real Estate,REIT - Healthcare Facilities
CCI,CROWN CASTLE INC.,0001051470,Real Estate,REIT - Specialty
DLR,"DIGITAL REALTY TRUST, INC.",0001297996,Real Estate,REIT - Specialty
O,REALTY INCOME CORP,0000726728,Real Estate,REIT - Retail
CSGP,"COSTAR GROUP, INC.",0001057352,Real Estate,Real Estate Services
EXR,Extra Space Storage Inc.,0001289490,Real Estate,REIT - Industrial
VICI,VICI PROPERTIES INC.,0001705696,Real Estate,REIT - Diversified
CBRE,"CBRE GROUP, INC.",0001138118,Real Estate,Real Estate Services
AVB,AVALONBAY COMMUNITIES INC,0000915912,Real Estate,REIT - Residential
WY,WEYERHAEUSER CO,0000106535,Real Estate,REIT - Specialty
SBAC,SBA COMMUNICATIONS CORP,0001034054,Real Estate,REIT - Specialty
EQR,EQUITY RESIDENTIAL,0000906107,Real Estate,REIT - Residential
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",0001035443,Real Estate,REIT - Office
INVH,Invitation Homes Inc.,0001687229,Real Estate,REIT - Residential
IRM,IRON MOUNTAIN INC,0001020569,Real Estate,REIT - Specialty
BEKE,KE Holdings Inc.,0001809587,Real Estate,Real Estate Services
VTR,"Ventas, Inc.",0000740260,Real Estate,REIT - Healthcare Facilities
SUI,SUN COMMUNITIES INC,0000912593,Real Estate,REIT - Residential
ESS,"ESSEX PROPERTY TRUST, INC.",0000920522,Real Estate,REIT - Residential
AMH,American Homes 4 Rent,0001562401,Real Estate,REIT - Residential
HST,"HOST HOTELS & RESORTS, INC.",0001070750,Real Estate,REIT - Hotel & Motel
KIM,KIMCO REALTY CORP,0000879101,Real Estate,REIT - Retail
WPC,W. P. Carey Inc.,0001025378,Real Estate,REIT - Diversified
ELS,EQUITY LIFESTYLE PROPERTIES INC,0000895417,Real Estate,REIT - Residential
HLDCY,HENDERSON LAND DEVELOPMENT COMPANY LTD /FI,0000811250,Real Estate,Real Estate - Diversified
UDR,"UDR, Inc.",0000074208,Real Estate,REIT - Residential
GLPI,"Gaming & Leisure Properties, Inc.",0001575965,Real Estate,REIT - Specialty
REXR,"Rexford Industrial Realty, Inc.",0001571283,Real Estate,REIT - Industrial
REG,REGENCY CENTERS CORP,0000910606,Real Estate,REIT - Retail
LAMR,LAMAR ADVERTISING CO/NEW,0001090425,Real Estate,REIT - Specialty
BXP,BOSTON PROPERTIES INC,0001037540,Real Estate,REIT - Office
CPT,CAMDEN PROPERTY TRUST,0000906345,Real Estate,REIT - Residential
CUBE,CubeSmart,0001298675,Real Estate,REIT - Industrial
PEAK,"HEALTHPEAK PROPERTIES, INC.",0000765880,Real Estate,REIT - Healthcare Facilities
NLY,ANNALY CAPITAL MANAGEMENT INC,0001043219,Real Estate,REIT - Mortgage
BPYPP,Brookfield Property Partners L.P.,0001545772,Real Estate,Real Estate Services
EGP,EASTGROUP PROPERTIES INC,0000049600,Real Estate,REIT - Industrial
JLL,JONES LANG LASALLE INC,0001037976,Real Estate,Real Estate Services
FRT,FEDERAL REALTY INVESTMENT TRUST,0000034903,Real Estate,REIT - Retail
COLD,AMERICOLD REALTY TRUST,0001455863,Real Estate,REIT—Industrial
OHI,OMEGA HEALTHCARE INVESTORS INC,0000888491,Real Estate,REIT—Healthcare Facilities
FSV,FirstService Corp,0001637810,Real Estate,Real Estate Services
NNN,"NNN REIT, INC.",0000751364,Real Estate,REIT—Retail
FR,FIRST INDUSTRIAL REALTY TRUST INC,0000921825,Real Estate,REIT—Industrial
HNGKY,HONGKONG LAND HOLDINGS LTD /FI,0000871464,Real Estate,Real Estate—Development
STAG,"STAG Industrial, Inc.",0001479094,Real Estate,REIT—Industrial
BRX,Brixmor Property Group Inc.,0001581068,Real Estate,REIT—Retail
RHP,"Ryman Hospitality Properties, Inc.",0001040829,Real Estate,REIT—Hotel & Motel
AGNC,AGNC Investment Corp.,0001423689,Real Estate,REIT—Mortgage
STWD,"STARWOOD PROPERTY TRUST, INC.",0001465128,Real Estate,REIT—Mortgage
HR,Healthcare Realty Trust Inc,0001360604,Real Estate,REIT—Healthcare Facilities
ADC,AGREE REALTY CORP,0000917251,Real Estate,REIT—Retail
CIGI,Colliers International Group Inc.,0000913353,Real Estate,Real Estate Services
VNO,VORNADO REALTY TRUST,0000899689,Real Estate,REIT—Office
TRNO,Terreno Realty Corp,0001476150,Real Estate,REIT—Industrial
NSA,National Storage Affiliates Trust,0001618563,Real Estate,REIT—Industrial
RYN,RAYONIER INC,0000052827,Real Estate,REIT—Specialty
RITM,Rithm Capital Corp.,0001556593,Real Estate,REIT—Mortgage
KRG,KITE REALTY GROUP TRUST,0001286043,Real Estate,REIT—Retail
AIRC,Apartment Income REIT Corp.,0001820877,Real Estate,REIT—Residential
PECO,"Phillips Edison & Company, Inc.",0001476204,Real Estate,REIT—Retail
KRC,KILROY REALTY CORP,0001025996,Real Estate,REIT—Office
HHH,Howard Hughes Holdings Inc.,0001981792,Real Estate,Real Estate—Diversified
EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",0001728951,Real Estate,REIT—Diversified
MAC,MACERICH CO,0000912242,Real Estate,REIT—Retail
APLE,"Apple Hospitality REIT, Inc.",0001418121,Real Estate,REIT—Hotel & Motel
RLJ,RLJ Lodging Trust,0001511337,Real Estate,REIT—Hotel & Motel
GRP-UN,GRANITE REAL ESTATE INVESTMENT TRUST,0001564538,Real Estate,REIT—Industrial
PCH,POTLATCHDELTIC CORP,0001338749,Real Estate,REIT—Specialty
CUZ,COUSINS PROPERTIES INC,0000025232,Real Estate,REIT—Office
IRT,"INDEPENDENCE REALTY TRUST, INC.",0001466085,Real Estate,REIT—Residential
VTMX,"Vesta Real Estate Corporation, S.A.B. de C.V.",0001969373,Real Estate,Real Estate—Development
DBRG,"DigitalBridge Group, Inc.",0001679688,Real Estate,Real Estate Services
EPR,EPR PROPERTIES,0001045450,Real Estate,REIT—Specialty
PK,Park Hotels & Resorts Inc.,0001617406,Real Estate,REIT—Hotel & Motel
JOE,ST JOE Co,0000745308,Real Estate,Real Estate—Diversified
BXMT,"BLACKSTONE MORTGAGE TRUST, INC.",0001061630,Real Estate,REIT—Mortgage
BNL,"Broadstone Net Lease, Inc.",0001424182,Real Estate,REIT—Diversified
SBRA,"Sabra Health Care REIT, Inc.",0001492298,Real Estate,REIT—Healthcare Facilities
TCN,Tricon Residential Inc.,0001584425,Real Estate,Real Estate Services
DOC,Physicians Realty Trust,0001574540,Real Estate,REIT—Healthcare Facilities
SLG,SL GREEN REALTY CORP,0001040971,Real Estate,REIT—Office
SITC,SITE Centers Corp.,0000894315,Real Estate,REIT—Retail
SKT,TANGER INC.,0000899715,Real Estate,REIT—Retail
DEI,Douglas Emmett Inc,0001364250,Real Estate,REIT—Office
ESRT,"Empire State Realty Trust, Inc.",0001541401,Real Estate,REIT—Diversified
CDP,COPT DEFENSE PROPERTIES,0000860546,Real Estate,REIT—Office
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",0001561894,Real Estate,REIT—Specialty
LXP,LXP Industrial Trust,0000910108,Real Estate,REIT—Industrial
HIW,"HIGHWOODS PROPERTIES, INC.",0000921082,Real Estate,REIT—Office
IIPR,INNOVATIVE INDUSTRIAL PROPERTIES INC,0001677576,Real Estate,REIT—Industrial
NMRK,"NEWMARK GROUP, INC.",0001690680,Real Estate,Real Estate Services
CTRE,"CareTrust REIT, Inc.",0001590717,Real Estate,REIT—Healthcare Facilities
ESBA,"Empire State Realty OP, L.P.",0001553079,Real Estate,REIT—Office
CWK,Cushman & Wakefield plc,0001628369,Real Estate,Real Estate Services
NHI,NATIONAL HEALTH INVESTORS INC,0000877860,Real Estate,REIT—Healthcare Facilities
ABR,ARBOR REALTY TRUST INC,0001253986,Real Estate,REIT—Mortgage
OPEN,Opendoor Technologies Inc.,0001801169,Real Estate,Real Estate Services
SHO,"Sunstone Hotel Investors, Inc.",0001295810,Real Estate,REIT—Hotel & Motel
UE,Urban Edge Properties,0001611547,Real Estate,REIT—Retail
OUT,OUTFRONT Media Inc.,0001579877,Real Estate,REIT—Specialty
FCPT,"Four Corners Property Trust, Inc.",0001650132,Real Estate,REIT—Retail
EQC,Equity Commonwealth,0000803649,Real Estate,REIT—Office
MPW,MEDICAL PROPERTIES TRUST INC,0001287865,Real Estate,REIT—Healthcare Facilities
DRH,DiamondRock Hospitality Co,0001298946,Real Estate,REIT—Hotel & Motel
GNL,"Global Net Lease, Inc.",0001526113,Real Estate,REIT—Diversified
EXPI,"EXP World Holdings, Inc.",0001495932,Real Estate,Real Estate Services
AKR,ACADIA REALTY TRUST,0000899629,Real Estate,REIT—Retail
PEB,Pebblebrook Hotel Trust,0001474098,Real Estate,REIT—Hotel & Motel
ROIC,RETAIL OPPORTUNITY INVESTMENTS CORP,0001407623,Real Estate,REIT—Retail
COMP,"Compass, Inc.",0001563190,Real Estate,Real Estate Services
AAT,"American Assets Trust, Inc.",0001500217,Real Estate,REIT—Diversified
IVT,InvenTrust Properties Corp.,0001307748,Real Estate,REIT—Retail
JBGS,JBG SMITH Properties,0001689796,Real Estate,REIT—Office
NXRT,"NexPoint Residential Trust, Inc.",0001620393,Real Estate,REIT—Residential
FOR,Forestar Group Inc.,0001406587,Real Estate,Real Estate—Development
RC,Ready Capital Corp,0001527590,Real Estate,REIT—Mortgage
VRE,"Veris Residential, Inc.",0000924901,Real Estate,REIT—Residential
ARI,"Apollo Commercial Real Estate Finance, Inc.",0001467760,Real Estate,REIT—Mortgage
SAFE,Safehold Inc.,0001095651,Real Estate,REIT—Diversified
MMI,"Marcus & Millichap, Inc.",0001578732,Real Estate,Real Estate Services
XHR,"Xenia Hotels & Resorts, Inc.",0001616000,Real Estate,REIT—Hotel & Motel
GTY,GETTY REALTY CORP /MD/,0001052752,Real Estate,REIT—Retail
NTST,NETSTREIT Corp.,0001798100,Real Estate,REIT—Retail
CMTG,"Claros Mortgage Trust, Inc.",0001666291,Real Estate,REIT—Mortgage
KW,"Kennedy-Wilson Holdings, Inc.",0001408100,Real Estate,Real Estate Services
LADR,Ladder Capital Corp,0001577670,Real Estate,REIT—Mortgage
TWO,TWO HARBORS INVESTMENT CORP.,0001465740,Real Estate,REIT—Mortgage
SVC,Service Properties Trust,0000945394,Real Estate,REIT—Hotel & Motel
ELME,Elme Communities,0000104894,Real Estate,REIT—Residential
LTC,LTC PROPERTIES INC,0000887905,Real Estate,REIT—Healthcare Facilities
ALEX,"Alexander & Baldwin, Inc.",0001545654,Real Estate,REIT—Retail
BFS,"SAUL CENTERS, INC.",0000907254,Real Estate,REIT—Retail
PMT,PennyMac Mortgage Investment Trust,0001464423,Real Estate,REIT—Mortgage
UNIT,Uniti Group Inc.,0001620280,Real Estate,REIT—Specialty
DEA,"Easterly Government Properties, Inc.",0001622194,Real Estate,REIT—Office
ALX,ALEXANDERS INC,0000003499,Real Estate,REIT—Retail
HPP,"Hudson Pacific Properties, Inc.",0001482512,Real Estate,REIT—Office
MFA,"MFA FINANCIAL, INC.",0001055160,Real Estate,REIT—Mortgage
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,0000922864,Real Estate,REIT—Residential
PGRE,"Paramount Group, Inc.",0001605607,Real Estate,REIT—Office
AHH,"Armada Hoffler Properties, Inc.",0001569187,Real Estate,REIT—Diversified
CIM,CHIMERA INVESTMENT CORP,0001409493,Real Estate,REIT—Mortgage
PLYM,"Plymouth Industrial REIT, Inc.",0001515816,Real Estate,REIT—Industrial
FBRT,"Franklin BSP Realty Trust, Inc.",0001562528,Real Estate,REIT—Mortgage
EFC,Ellington Financial Inc.,0001411342,Real Estate,REIT—Mortgage
UMH,"UMH PROPERTIES, INC.",0000752642,Real Estate,REIT—Residential
RDFN,Redfin Corp,0001382821,Real Estate,Real Estate Services
AHR,"American Healthcare REIT, Inc.",0001632970,Real Estate,REIT—Healthcare Facilities
ARR,"Armour Residential REIT, Inc.",0001428205,Real Estate,REIT—Mortgage
CSR,CENTERSPACE,0000798359,Real Estate,REIT—Residential
BRSP,"BrightSpire Capital, Inc.",0001717547,Real Estate,REIT—Mortgage
RWT,REDWOOD TRUST INC,0000930236,Real Estate,REIT—Mortgage
PDM,"Piedmont Office Realty Trust, Inc.",0001042776,Real Estate,REIT—Office
HOUS,Anywhere Real Estate Inc.,0001398987,Real Estate,Real Estate Services
