Ticker,Company Name,CIK,Sector,Industry
MSFT,MICROSOFT CORP,0000789019,Technology,Software - Infrastructure
AAPL,Apple Inc.,0000320193,Technology,Consumer Electronics
GOOGL,Alphabet Inc.,0001652044,Communication Services,Internet Content & Information
AMZN,AMAZON COM INC,0001018724,Consumer Cyclical,Internet Retail
NVDA,NVIDIA CORP,0001045810,Technology,Semiconductors
META,"Meta Platforms, Inc.",0001326801,Communication Services,Internet Content & Information
BRK-B,BERKSHIRE HATHAWAY INC,0001067983,Financial Services,Insurance - Diversified
LLY,ELI LILLY & Co,0000059478,Healthcare,Drug Manufacturers - General
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,Technology,Semiconductors
TSLA,"Tesla, Inc.",0001318605,Consumer Cyclical,Auto Manufacturers
AVGO,Broadcom Inc.,0001730168,Technology,Semiconductors
V,VISA INC.,0001403161,Financial Services,Credit Services
NVO,NOVO NORDISK A S,0000353278,Healthcare,Biotechnology
JPM,JPMORGAN CHASE & CO,0000019617,Financial Services,Banks - Diversified
UNH,UNITEDHEALTH GROUP INC,0000731766,Healthcare,Healthcare Plans
WMT,Walmart Inc.,0000104169,Consumer Defensive,Discount Stores
MA,Mastercard Inc,0001141391,Financial Services,Credit Services
XOM,EXXON MOBIL CORP,0000034088,Energy,Oil & Gas Integrated
JNJ,JOHNSON & JOHNSON,0000200406,Healthcare,Drug Manufacturers - General
PG,PROCTER & GAMBLE Co,0000080424,Consumer Defensive,Household & Personal Products
ASML,ASML HOLDING NV,0000937966,Technology,Semiconductor Equipment & Materials
HD,"HOME DEPOT, INC.",0000354950,Consumer Cyclical,Home Improvement Retail
LTMAY,LATAM AIRLINES GROUP S.A.,0001047716,Industrials,Airlines
COST,COSTCO WHOLESALE CORP /NEW,0000909832,Consumer Defensive,Discount Stores
ORCL,ORACLE CORP,0001341439,Technology,Software - Infrastructure
MRK,"Merck & Co., Inc.",0000310158,Healthcare,Drug Manufacturers - General
ABBV,AbbVie Inc.,0001551152,Healthcare,Drug Manufacturers - General
TM,TOYOTA MOTOR CORP/,0001094517,Consumer Cyclical,Auto Manufacturers
CVX,CHEVRON CORP,0000093410,Energy,Oil & Gas Integrated
CRM,"Salesforce, Inc.",0001108524,Technology,Software - Application
ADBE,ADOBE INC.,0000796343,Technology,Software - Infrastructure
AMD,ADVANCED MICRO DEVICES INC,0000002488,Technology,Semiconductors
BAC,BANK OF AMERICA CORP /DE/,0000070858,Financial Services,Banks - Diversified
KO,COCA COLA CO,0000021344,Consumer Defensive,Beverages - Non-Alcoholic
FMX,MEXICAN ECONOMIC DEVELOPMENT INC,0001061736,Consumer Defensive,Beverages - Brewers
NFLX,NETFLIX INC,0001065280,Communication Services,Entertainment
PEP,PEPSICO INC,0000077476,Consumer Defensive,Beverages - Non-Alcoholic
ACN,Accenture plc,0001467373,Technology,Information Technology Services
TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,Healthcare,Diagnostics & Research
SAP,SAP SE,0001000184,Technology,Software - Application
MCD,MCDONALDS CORP,0000063908,Consumer Cyclical,Restaurants
NVS,NOVARTIS AG,0001114448,Healthcare,Drug Manufacturers - General
SHEL,Shell plc,0001306965,Energy,Oil & Gas Integrated
DIS,Walt Disney Co,0001744489,Communication Services,Entertainment
CSCO,"CISCO SYSTEMS, INC.",0000858877,Technology,Communication Equipment
LIN,LINDE PLC,0001707925,Basic Materials,Specialty Chemicals
AZN,ASTRAZENECA PLC,0000901832,Healthcare,Drug Manufacturers - General
ABT,ABBOTT LABORATORIES,0000001800,Healthcare,Medical Devices
TMUS,"T-Mobile US, Inc.",0001283699,Communication Services,Telecom Services
BABA,Alibaba Group Holding Ltd,0001577552,Consumer Cyclical,Internet Retail
INTU,INTUIT INC.,0000896878,Technology,Software - Application
DHR,DANAHER CORP /DE/,0000313616,Healthcare,Diagnostics & Research
INTC,INTEL CORP,0000050863,Technology,Semiconductors
WFC,WELLS FARGO & COMPANY/MN,0000072971,Financial Services,Banks - Diversified
PDD,PDD Holdings Inc.,0001737806,Consumer Cyclical,Internet Retail
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,Technology,Information Technology Services
VZ,VERIZON COMMUNICATIONS INC,0000732712,Communication Services,Telecom Services
QCOM,QUALCOMM INC/DE,0000804328,Technology,Semiconductors
CAT,CATERPILLAR INC,0000018230,Industrials,Farm & Heavy Construction Machinery
NOW,"ServiceNow, Inc.",0001373715,Technology,Software - Application
CMCSA,COMCAST CORP,0001166691,Communication Services,Telecom Services
NKE,"NIKE, Inc.",0000320187,Consumer Cyclical,Footwear & Accessories
AMGN,AMGEN INC,0000318154,Healthcare,Drug Manufacturers - General
BX,Blackstone Inc.,0001393818,Financial Services,Asset Management
PFE,PFIZER INC,0000078003,Healthcare,Drug Manufacturers - General
TTE,TotalEnergies SE,0000879764,Energy,Oil & Gas Integrated
BHP,BHP Group Ltd,0000811809,Basic Materials,Other Industrial Metals & Mining
AXP,AMERICAN EXPRESS CO,0000004962,Financial Services,Credit Services
GE,GENERAL ELECTRIC CO,0000040545,Industrials,Specialty Industrial Machinery
UNP,UNION PACIFIC CORP,0000100885,Industrials,Railroads
HSBC,HSBC HOLDINGS PLC,0001089113,Financial Services,Banks - Diversified
UBER,"Uber Technologies, Inc",0001543151,Technology,Software - Application
TXN,TEXAS INSTRUMENTS INC,0000097476,Technology,Semiconductors
AMAT,APPLIED MATERIALS INC /DE,0000006951,Technology,Semiconductor Equipment & Materials
MS,MORGAN STANLEY,0000895421,Financial Services,Capital Markets
SPGI,S&P Global Inc.,0000064040,Financial Services,Financial Data & Stock Exchanges
PM,Philip Morris International Inc.,0001413329,Consumer Defensive,Tobacco
HDB,HDFC BANK LTD,0001144967,Financial Services,Banks - Regional
ISRG,INTUITIVE SURGICAL INC,0001035267,Healthcare,Medical Instruments & Supplies
RTNTF,RIO TINTO LTD,0000887028,Basic Materials,Other Industrial Metals & Mining
RY,ROYAL BANK OF CANADA,0001000275,Financial Services,Banks - Diversified
COP,CONOCOPHILLIPS,0001163165,Energy,Oil & Gas E&P
BKNG,Booking Holdings Inc.,0001075531,Consumer Cyclical,Travel Services
BUD,Anheuser-Busch InBev SA/NV,0001668717,Consumer Defensive,Beverages - Brewers
EADSY,Airbus SE/ADR,0001378580,Industrials,Aerospace & Defense
SYK,STRYKER CORP,0000310764,Healthcare,Medical Devices
UL,UNILEVER PLC,0000217410,Consumer Defensive,Household & Personal Products
BA,BOEING CO,0000012927,Industrials,Aerospace & Defense
HON,HONEYWELL INTERNATIONAL INC,0000773840,Industrials,Conglomerates
LOW,LOWES COMPANIES INC,0000060667,Consumer Cyclical,Home Improvement Retail
UPS,UNITED PARCEL SERVICE INC,0001090727,Industrials,Integrated Freight & Logistics
GS,GOLDMAN SACHS GROUP INC,0000886982,Financial Services,Capital Markets
PLD,"Prologis, Inc.",0001045609,Real Estate,REIT - Industrial
RTX,RTX Corp,0000101829,Industrials,Aerospace & Defense
T,AT&T INC.,0000732717,Communication Services,Telecom Services
ARM,ARM HOLDINGS PLC /UK,0001973239,Technology,Semiconductors
SONY,Sony Group Corp,0000313838,Technology,Consumer Electronics
ELV,"Elevance Health, Inc.",0001156039,Healthcare,Healthcare Plans
BLK,BlackRock Inc.,0001364742,Financial Services,Asset Management
SNY,Sanofi,0001121404,Healthcare,Drug Manufacturers - General
PANW,Palo Alto Networks Inc,0001327567,Technology,Software - Infrastructure
NEE,NEXTERA ENERGY INC,0000753308,Utilities,Utilities - Regulated Electric
SCHW,SCHWAB CHARLES CORP,0000316709,Financial Services,Capital Markets
MDT,Medtronic plc,0001613103,Healthcare,Medical Devices
LRCX,LAM RESEARCH CORP,0000707549,Technology,Semiconductor Equipment & Materials
SHOP,SHOPIFY INC.,0001594805,Technology,Software - Application
TJX,TJX COMPANIES INC /DE/,0000109198,Consumer Cyclical,Apparel Retail
PBR,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639,Energy,Oil & Gas Integrated
RIO,RIO TINTO PLC,0000863064,Basic Materials,Other Industrial Metals & Mining
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,0000067088,Financial Services,Banks - Diversified
VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320,Healthcare,Biotechnology
ETN,Eaton Corp plc,0001551182,Industrials,Specialty Industrial Machinery
SBUX,STARBUCKS CORP,0000829224,Consumer Cyclical,Restaurants
DE,DEERE & CO,0000315189,Industrials,Farm & Heavy Construction Machinery
PGR,PROGRESSIVE CORP/OH/,0000080661,Financial Services,Insurance - Property & Casualty
TD,TORONTO DOMINION BANK,0000947263,Financial Services,Banks - Diversified
C,CITIGROUP INC,0000831001,Financial Services,Banks - Diversified
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,Healthcare,Biotechnology
LMT,LOCKHEED MARTIN CORP,0000936468,Industrials,Aerospace & Defense
BP,BP PLC,0000313807,Energy,Oil & Gas Integrated
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,Industrials,Staffing & Employment Services
MDLZ,"Mondelez International, Inc.",0001103982,Consumer Defensive,Confectioners
CB,Chubb Ltd,0000896159,Financial Services,Insurance - Property & Casualty
BMY,BRISTOL MYERS SQUIBB CO,0000014272,Healthcare,Drug Manufacturers - General
CI,Cigna Group,0001739940,Healthcare,Healthcare Plans
MMC,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,Financial Services,Insurance Brokers
ADI,ANALOG DEVICES INC,0000006281,Technology,Semiconductors
CVS,CVS HEALTH Corp,0000064803,Healthcare,Healthcare Plans
ABNB,"Airbnb, Inc.",0001559720,Consumer Cyclical,Travel Services
CSLLY,CSL LTD,0001274152,Healthcare,Biotechnology
BSX,BOSTON SCIENTIFIC CORP,0000885725,Healthcare,Medical Devices
MU,MICRON TECHNOLOGY INC,0000723125,Technology,Semiconductors
TOELY,Tokyo Electron LTD,0001443276,Technology,Semiconductor Equipment & Materials
GILD,"GILEAD SCIENCES, INC.",0000882095,Healthcare,Drug Manufacturers - General
AMT,AMERICAN TOWER CORP /MA/,0001053507,Real Estate,REIT - Specialty
ZTS,Zoetis Inc.,0001555280,Healthcare,Drug Manufacturers - Specialty & Generic
CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI,0000948401,Consumer Cyclical,Luxury Goods
UBS,UBS Group AG,0001610520,Financial Services,Banks - Diversified
MELI,MERCADOLIBRE INC,0001099590,Consumer Cyclical,Internet Retail
SNPS,SYNOPSYS INC,0000883241,Technology,Software - Infrastructure
KKR,KKR & Co. Inc.,0001404912,Financial Services,Asset Management
FI,FISERV INC,0000798354,Technology,Information Technology Services
ANET,"Arista Networks, Inc.",0001596532,Technology,Computer Hardware
INFY,Infosys Ltd,0001067491,Technology,Information Technology Services
GSK,GSK plc,0001131399,Healthcare,Drug Manufacturers - General
KLAC,KLA CORP,0000319201,Technology,Semiconductor Equipment & Materials
CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,Technology,Software - Application
IBN,ICICI BANK LTD,0001103838,Financial Services,Banks - Regional
DEO,DIAGEO PLC,0000835403,Consumer Defensive,Beverages - Wineries & Distilleries
CNI,CANADIAN NATIONAL RAILWAY CO,0000016868,Industrials,Railroads
HCA,"HCA Healthcare, Inc.",0000860730,Healthcare,Medical Care Facilities
EQIX,EQUINIX INC,0001101239,Real Estate,REIT - Specialty
ABBNY,ABB LTD,0001091587,Industrials,Electrical Equipment & Parts
SHW,SHERWIN WILLIAMS CO,0000089800,Basic Materials,Specialty Chemicals
CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,0000016875,Industrials,Railroads
ATLKY,ATLAS COPCO AB,0000748954,Industrials,Specialty Industrial Machinery
SHECY,"Shin-Etsu Chemical Co., Ltd.",0001442651,Basic Materials,Chemicals
RELX,RELX PLC,0000929869,Industrials,Specialty Business Services
WDAY,"Workday, Inc.",0001327811,Technology,Software - Application
ICE,"Intercontinental Exchange, Inc.",0001571949,Financial Services,Financial Data & Stock Exchanges
CRWD,"CrowdStrike Holdings, Inc.",0001535527,Technology,Software - Infrastructure
EQNR,EQUINOR ASA,0001140625,Energy,Oil & Gas Integrated
WM,WASTE MANAGEMENT INC,0000823768,Industrials,Waste Management
ITW,ILLINOIS TOOL WORKS INC,0000049826,Industrials,Specialty Industrial Machinery
MBGYY,DAIMLER AG,0001067318,Consumer Cyclical,Auto Manufacturers
CME,CME GROUP INC.,0001156375,Financial Services,Financial Data & Stock Exchanges
GD,GENERAL DYNAMICS CORP,0000040533,Industrials,Aerospace & Defense
SNOW,Snowflake Inc.,0001640147,Technology,Software - Application
MAR,MARRIOTT INTERNATIONAL INC /MD/,0001048286,Consumer Cyclical,Lodging
CSX,CSX CORP,0000277948,Industrials,Railroads
MCO,MOODYS CORP /DE/,0001059556,Financial Services,Financial Data & Stock Exchanges
ENB,ENBRIDGE INC,0000895728,Energy,Oil & Gas Midstream
STLA,Stellantis N.V.,0001605484,Consumer Cyclical,Auto Manufacturers
SO,SOUTHERN CO,0000092122,Utilities,Utilities - Regulated Electric
CMG,CHIPOTLE MEXICAN GRILL INC,0001058090,Consumer Cyclical,Restaurants
DUK,Duke Energy CORP,0001326160,Utilities,Utilities - Regulated Electric
TRI,THOMSON REUTERS CORP /CAN/,0001075124,Industrials,Specialty Business Services
BTI,British American Tobacco p.l.c.,0001303523,Consumer Defensive,Tobacco
MO,"ALTRIA GROUP, INC.",0000764180,Consumer Defensive,Tobacco
BDX,BECTON DICKINSON & CO,0000010795,Healthcare,Medical Instruments & Supplies
RACE,Ferrari N.V.,0001648416,Consumer Cyclical,Auto Manufacturers
CL,COLGATE PALMOLIVE CO,0000021665,Consumer Defensive,Household & Personal Products
TGT,TARGET CORP,0000027419,Consumer Defensive,Discount Stores
NOC,NORTHROP GRUMMAN CORP /DE/,0001133421,Industrials,Aerospace & Defense
SLB,SCHLUMBERGER LIMITED/NV,0000087347,Energy,Oil & Gas Equipment & Services
NTES,"NetEase, Inc.",0001110646,Communication Services,Electronic Gaming & Multimedia
SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",0001022837,Financial Services,Banks - Diversified
ITUB,Itau Unibanco Holding S.A.,0001132597,Financial Services,Banks - Regional
BMO,BANK OF MONTREAL /CAN/,0000927971,Financial Services,Banks - Diversified
CNQ,CANADIAN NATURAL RESOURCES LTD,0001017413,Energy,Oil & Gas E&P
PH,PARKER HANNIFIN CORP,0000076334,Industrials,Specialty Industrial Machinery
EOG,EOG RESOURCES INC,0000821189,Energy,Oil & Gas E&P
MCK,MCKESSON CORP,0000927653,Healthcare,Medical Distribution
BN,BROOKFIELD Corp /ON/,0001001085,Financial Services,Asset Management
PSX,Phillips 66,0001534701,Energy,Oil & Gas Refining & Marketing
TDG,TransDigm Group INC,0001260221,Industrials,Aerospace & Defense
USB,US BANCORP \DE\,0000036104,Financial Services,Banks - Regional
SCCO,SOUTHERN COPPER CORP/,0001001838,Basic Materials,Copper
APH,AMPHENOL CORP /DE/,0000820313,Technology,Electronic Components
CTAS,CINTAS CORP,0000723254,Industrials,Specialty Business Services
MPC,Marathon Petroleum Corp,0001510295,Energy,Oil & Gas Refining & Marketing
MRVL,"Marvell Technology, Inc.",0001835632,Technology,Semiconductors
SAN,"Banco Santander, S.A.",0000891478,Financial Services,Banks - Diversified
GLNCY,Glencore plc/ADR,0001524684,Basic Materials,Other Industrial Metals & Mining
TT,Trane Technologies plc,0001466258,Industrials,Building Products & Equipment
APO,"Apollo Global Management, Inc.",0001858681,Financial Services,Asset Management
AON,Aon plc,0000315293,Financial Services,Insurance Brokers
PYPL,"PayPal Holdings, Inc.",0001633917,Financial Services,Credit Services
FDX,FEDEX CORP,0001048911,Industrials,Integrated Freight & Logistics
ORLY,O REILLY AUTOMOTIVE INC,0000898173,Consumer Cyclical,Specialty Retail
LULU,lululemon athletica inc.,0001397187,Consumer Cyclical,Apparel Retail
DELL,Dell Technologies Inc.,0001571996,Technology,Computer Hardware
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,Financial Services,Banks - Regional
EMR,EMERSON ELECTRIC CO,0000032604,Industrials,Specialty Industrial Machinery
NXPI,NXP Semiconductors N.V.,0001413447,Technology,Semiconductors
MNST,Monster Beverage Corp,0000865752,Consumer Defensive,Beverages - Non-Alcoholic
ROP,ROPER TECHNOLOGIES INC,0000882835,Technology,Software - Application
ECL,ECOLAB INC.,0000031462,Basic Materials,Specialty Chemicals
NSC,NORFOLK SOUTHERN CORP,0000702165,Industrials,Railroads
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0000842180,Financial Services,Banks - Diversified
VALE,Vale S.A.,0000917851,Basic Materials,Other Industrial Metals & Mining
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,0001061219,Energy,Oil & Gas Midstream
HMC,HONDA MOTOR CO LTD,0000715153,Consumer Cyclical,Auto Manufacturers
BNS,BANK OF NOVA SCOTIA,0000009631,Financial Services,Banks - Diversified
OLCLY,"Oriental Land Co., Ltd./ADR",0001545460,Consumer Cyclical,Leisure
ADSK,"Autodesk, Inc.",0000769397,Technology,Software - Application
PCAR,PACCAR INC,0000075362,Industrials,Farm & Heavy Construction Machinery
TEAM,Atlassian Corp,0001650372,Technology,Software - Application
FCX,FREEPORT-MCMORAN INC,0000831259,Basic Materials,Copper
RSG,"REPUBLIC SERVICES, INC.",0001060391,Industrials,Waste Management
AMX,AMERICA MOVIL SAB DE CV/,0001129137,Communication Services,Telecom Services
MSI,"Motorola Solutions, Inc.",0000068505,Technology,Communication Equipment
SPG,SIMON PROPERTY GROUP INC /DE/,0001063761,Real Estate,REIT - Retail
ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR,0001947559,Financial Services,Banks - Diversified
PLTR,Palantir Technologies Inc.,0001321655,Technology,Software - Infrastructure
PXD,PIONEER NATURAL RESOURCES CO,0001038357,Energy,Oil & Gas E&P
