Ticker,Company Name,CIK,Sector,Industry,Market Cap
MSFT,MICROSOFT CORP,0000789019,Technology,Software - Infrastructure,3029984870400
AAPL,Apple Inc.,0000320193,Technology,Consumer Electronics,2794906451968
GOOGL,Alphabet Inc.,0001652044,Communication Services,Internet Content & Information,1699416375296
AMZN,AMAZON COM INC,0001018724,Consumer Cyclical,Internet Retail,1799841382400
NVDA,NVIDIA CORP,0001045810,Technology,Semiconductors,1953475067904
META,"Meta Platforms, Inc.",0001326801,Communication Services,Internet Content & Information,1235099975680
BRK-B,BERKSHIRE HATHAWAY INC,0001067983,Financial Services,Insurance - Diversified,892704456704
LLY,ELI LILLY & Co,0000059478,Healthcare,Drug Manufacturers - General,720765911040
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,Technology,Semiconductors,662777561088
TSLA,"Tesla, Inc.",0001318605,Consumer Cyclical,Auto Manufacturers,643709730816
AVGO,Broadcom Inc.,0001730168,Technology,Semiconductors,597412216832
V,VISA INC.,0001403161,Financial Services,Credit Services,587361353728
NVO,NOVO NORDISK A S,0000353278,Healthcare,Biotechnology,544794673152
JPM,JPMORGAN CHASE & CO,0000019617,Financial Services,Banks - Diversified,530722586624
UNH,UNITEDHEALTH GROUP INC,0000731766,Healthcare,Healthcare Plans,459803328512
WMT,Walmart Inc.,0000104169,Consumer Defensive,Discount Stores,479503351808
MA,Mastercard Inc,0001141391,Financial Services,Credit Services,446006362112
XOM,EXXON MOBIL CORP,0000034088,Energy,Oil & Gas Integrated,413976756224
JNJ,JOHNSON & JOHNSON,0000200406,Healthcare,Drug Manufacturers - General,388438228992
PG,PROCTER & GAMBLE Co,0000080424,Consumer Defensive,Household & Personal Products,376402739200
ASML,ASML HOLDING NV,0000937966,Technology,Semiconductor Equipment & Materials,371693912064
HD,"HOME DEPOT, INC.",0000354950,Consumer Cyclical,Home Improvement Retail,375651696640
LTMAY,LATAM AIRLINES GROUP S.A.,0001047716,Industrials,Airlines,356618403840
COST,COSTCO WHOLESALE CORP /NEW,0000909832,Consumer Defensive,Discount Stores,332205817856
ORCL,ORACLE CORP,0001341439,Technology,Software - Infrastructure,307191808000
MRK,"Merck & Co., Inc.",0000310158,Healthcare,Drug Manufacturers - General,324507172864
ABBV,AbbVie Inc.,0001551152,Healthcare,Drug Manufacturers - General,314519977984
TM,TOYOTA MOTOR CORP/,0001094517,Consumer Cyclical,Auto Manufacturers,320080838656
CVX,CHEVRON CORP,0000093410,Energy,Oil & Gas Integrated,282527891456
CRM,"Salesforce, Inc.",0001108524,Technology,Software - Application,290351611904
ADBE,ADOBE INC.,0000796343,Technology,Software - Infrastructure,249894977536
AMD,ADVANCED MICRO DEVICES INC,0000002488,Technology,Semiconductors,285235412992
BAC,BANK OF AMERICA CORP /DE/,0000070858,Financial Services,Banks - Diversified,269363068928
KO,COCA COLA CO,0000021344,Consumer Defensive,Beverages - Non-Alcoholic,260005101568
FMX,MEXICAN ECONOMIC DEVELOPMENT INC,0001061736,Consumer Defensive,Beverages - Brewers,221974872064
NFLX,NETFLIX INC,0001065280,Communication Services,Entertainment,257669627904
PEP,PEPSICO INC,0000077476,Consumer Defensive,Beverages - Non-Alcoholic,229694734336
ACN,Accenture plc,0001467373,Technology,Information Technology Services,236823281664
TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,Healthcare,Diagnostics & Research,217779912704
SAP,SAP SE,0001000184,Technology,Software - Application,218102267904
MCD,MCDONALDS CORP,0000063908,Consumer Cyclical,Restaurants,213236400128
NVS,NOVARTIS AG,0001114448,Healthcare,Drug Manufacturers - General,209359781888
SHEL,Shell plc,0001306965,Energy,Oil & Gas Integrated,202622140416
DIS,Walt Disney Co,0001744489,Communication Services,Entertainment,203130388480
CSCO,"CISCO SYSTEMS, INC.",0000858877,Technology,Communication Equipment,194705293312
LIN,LINDE PLC,0001707925,Basic Materials,Specialty Chemicals,218840547328
AZN,ASTRAZENECA PLC,0000901832,Healthcare,Drug Manufacturers - General,203028381696
ABT,ABBOTT LABORATORIES,0000001800,Healthcare,Medical Devices,208108814336
TMUS,"T-Mobile US, Inc.",0001283699,Communication Services,Telecom Services,194314354688
BABA,Alibaba Group Holding Ltd,0001577552,Consumer Cyclical,Internet Retail,186737491968
INTU,INTUIT INC.,0000896878,Technology,Software - Application,184646156288
DHR,DANAHER CORP /DE/,0000313616,Healthcare,Diagnostics & Research,189082632192
INTC,INTEL CORP,0000050863,Technology,Semiconductors,177766252544
WFC,WELLS FARGO & COMPANY/MN,0000072971,Financial Services,Banks - Diversified,195811180544
PDD,PDD Holdings Inc.,0001737806,Consumer Cyclical,Internet Retail,166552043520
IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143,Technology,Information Technology Services,169400729600
VZ,VERIZON COMMUNICATIONS INC,0000732712,Communication Services,Telecom Services,168402042880
QCOM,QUALCOMM INC/DE,0000804328,Technology,Semiconductors,173984399360
CAT,CATERPILLAR INC,0000018230,Industrials,Farm & Heavy Construction Machinery,164290035712
NOW,"ServiceNow, Inc.",0001373715,Technology,Software - Application,156128002048
CMCSA,COMCAST CORP,0001166691,Communication Services,Telecom Services,167755874304
NKE,"NIKE, Inc.",0000320187,Consumer Cyclical,Footwear & Accessories,158284595200
AMGN,AMGEN INC,0000318154,Healthcare,Drug Manufacturers - General,148848820224
BX,Blackstone Inc.,0001393818,Financial Services,Asset Management,153107644416
PFE,PFIZER INC,0000078003,Healthcare,Drug Manufacturers - General,153163268096
TTE,TotalEnergies SE,0000879764,Energy,Oil & Gas Integrated,149376892928
BHP,BHP Group Ltd,0000811809,Basic Materials,Other Industrial Metals & Mining,144221454336
AXP,AMERICAN EXPRESS CO,0000004962,Financial Services,Credit Services,157847027712
GE,GENERAL ELECTRIC CO,0000040545,Industrials,Specialty Industrial Machinery,169202663424
UNP,UNION PACIFIC CORP,0000100885,Industrials,Railroads,155002519552
HSBC,HSBC HOLDINGS PLC,0001089113,Financial Services,Banks - Diversified,146650841088
UBER,"Uber Technologies, Inc",0001543151,Technology,Software - Application,161375191040
TXN,TEXAS INSTRUMENTS INC,0000097476,Technology,Semiconductors,148295778304
AMAT,APPLIED MATERIALS INC /DE,0000006951,Technology,Semiconductor Equipment & Materials,164490346496
MS,MORGAN STANLEY,0000895421,Financial Services,Capital Markets,140625051648
SPGI,S&P Global Inc.,0000064040,Financial Services,Financial Data & Stock Exchanges,135139950592
PM,Philip Morris International Inc.,0001413329,Consumer Defensive,Tobacco,139845599232
HDB,HDFC BANK LTD,0001144967,Financial Services,Banks - Regional,134969597952
ISRG,INTUITIVE SURGICAL INC,0001035267,Healthcare,Medical Instruments & Supplies,136219811840
RTNTF,RIO TINTO LTD,0000887028,Basic Materials,Other Industrial Metals & Mining,130646220800
RY,ROYAL BANK OF CANADA,0001000275,Financial Services,Banks - Diversified,136469471232
COP,CONOCOPHILLIPS,0001163165,Energy,Oil & Gas E&P,131544047616
BKNG,Booking Holdings Inc.,0001075531,Consumer Cyclical,Travel Services,119771750400
BUD,Anheuser-Busch InBev SA/NV,0001668717,Consumer Defensive,Beverages - Brewers,123912110080
EADSY,Airbus SE/ADR,0001378580,Industrials,Aerospace & Defense,130836873216
SYK,STRYKER CORP,0000310764,Healthcare,Medical Devices,133295841280
UL,UNILEVER PLC,0000217410,Consumer Defensive,Household & Personal Products,125179027456
BA,BOEING CO,0000012927,Industrials,Aerospace & Defense,126456569856
HON,HONEYWELL INTERNATIONAL INC,0000773840,Industrials,Conglomerates,128975511552
LOW,LOWES COMPANIES INC,0000060667,Consumer Cyclical,Home Improvement Retail,136796381184
UPS,UNITED PARCEL SERVICE INC,0001090727,Industrials,Integrated Freight & Logistics,125736468480
GS,GOLDMAN SACHS GROUP INC,0000886982,Financial Services,Capital Markets,127728132096
PLD,"Prologis, Inc.",0001045609,Real Estate,REIT - Industrial,124098125824
RTX,RTX Corp,0000101829,Industrials,Aerospace & Defense,119122395136
T,AT&T INC.,0000732717,Communication Services,Telecom Services,121418612736
ARM,ARM HOLDINGS PLC /UK,0001973239,Technology,Semiconductors,138348822528
SONY,Sony Group Corp,0000313838,Technology,Consumer Electronics,104972288000
ELV,"Elevance Health, Inc.",0001156039,Healthcare,Healthcare Plans,116932460544
BLK,BlackRock Inc.,0001364742,Financial Services,Asset Management,120644509696
SNY,Sanofi,0001121404,Healthcare,Drug Manufacturers - General,120653471744
PANW,Palo Alto Networks Inc,0001327567,Technology,Software - Infrastructure,101883117568
NEE,NEXTERA ENERGY INC,0000753308,Utilities,Utilities - Regulated Electric,112849575936
SCHW,SCHWAB CHARLES CORP,0000316709,Financial Services,Capital Markets,119870234624
MDT,Medtronic plc,0001613103,Healthcare,Medical Devices,110841757696
LRCX,LAM RESEARCH CORP,0000707549,Technology,Semiconductor Equipment & Materials,121072304128
SHOP,SHOPIFY INC.,0001594805,Technology,Software - Application,97324441600
