start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2009-06-30,3746000000.0,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2010-06-30,4939000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2011-06-30,11921000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2012-06-30,10713000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,LongTermDebtNoncurrent,USD,MSFT,789019
,2013-06-30,12601000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2014-06-30,20645000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,LongTermDebtNoncurrent,USD,MSFT,789019
,2015-06-30,27808000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2016-06-30,40783000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,LongTermDebtNoncurrent,USD,MSFT,789019
,2017-06-30,76073000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2018-06-30,72242000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2019-06-30,66662000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2020-06-30,59578000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2021-06-30,50074000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2022-06-30,47032000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,LongTermDebtNoncurrent,USD,MSFT,789019
,2023-06-30,41990000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,LongTermDebtNoncurrent,USD,MSFT,789019
