start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2010-06-30,39938000000.0,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,Liabilities,USD,MSFT,789019
,2011-06-30,51621000000.0,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,Liabilities,USD,MSFT,789019
,2012-06-30,54908000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,Liabilities,USD,MSFT,789019
,2013-06-30,63487000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,Liabilities,USD,MSFT,789019
,2014-06-30,82600000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Liabilities,USD,MSFT,789019
,2015-06-30,96140000000.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Liabilities,USD,MSFT,789019
,2016-06-30,121697000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,Liabilities,USD,MSFT,789019
,2017-06-30,168692000000.0,0001564590-17-014900,2017,FY,10-K,2017-08-02,,Liabilities,USD,MSFT,789019
,2018-06-30,176130000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,Liabilities,USD,MSFT,789019
,2019-06-30,184226000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,Liabilities,USD,MSFT,789019
,2020-06-30,183007000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,Liabilities,USD,MSFT,789019
,2021-06-30,191791000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,Liabilities,USD,MSFT,789019
,2022-06-30,198298000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,Liabilities,USD,MSFT,789019
,2023-06-30,205753000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,Liabilities,USD,MSFT,789019
