start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,0.258,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2008-07-01,2009-06-30,0.265,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2008-07-01,2009-06-30,0.265,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2009-09-30,0.25,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2009-12-31,0.25,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-10-01,2009-12-31,0.25,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2010-03-31,0.25,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2010-01-01,2010-03-31,0.25,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2010-06-30,0.25,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2010-06-30,0.25,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2009-07-01,2010-06-30,0.25,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2010-07-01,2010-09-30,0.25,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
2010-07-01,2010-09-30,0.25,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,EffectiveIncomeTaxRateContinuingOperations,pure,MSFT,0000789019
