end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2012-06-30,1231000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,LongTermDebtCurrent,USD,MSFT,0000789019
2012-06-30,1231000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2012-06-30,1231000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,LongTermDebtCurrent,USD,MSFT,0000789019
2012-06-30,1231000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,LongTermDebtCurrent,USD,MSFT,0000789019
2012-06-30,1231000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2012Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2012-09-30,2236000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2012Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2012-12-31,2241000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2012Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2013-03-31,2246000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2013Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2013-06-30,2999000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2013-09-30,2000000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2013Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2013-12-31,2000000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2013Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2014-03-31,2000000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2014Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-14-289961,2014,FY,10-K,2014-07-31,,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,LongTermDebtCurrent,USD,MSFT,0000789019
2014-06-30,0,0001193125-15-353706,2015,FY,8-K,2015-10-27,CY2014Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2014-09-30,1748000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2014Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2014-12-31,1749000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2014Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2015-03-31,2499000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2015Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-15-353706,2015,FY,8-K,2015-10-27,,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,,LongTermDebtCurrent,USD,MSFT,0000789019
2015-06-30,2499000000,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2015-09-30,750000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,CY2015Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2015-12-31,750000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,CY2015Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2016-03-31,0,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,CY2016Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2016-06-30,0,0001193125-16-662209,2016,FY,10-K,2016-07-28,,LongTermDebtCurrent,USD,MSFT,0000789019
2016-06-30,0,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2016-06-30,0,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,,LongTermDebtCurrent,USD,MSFT,0000789019
2016-06-30,0,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2016-12-31,599000000,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,CY2016Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2017-03-31,599000000,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,CY2017Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2017-06-30,1049000000,0001564590-17-014900,2017,FY,10-K,2017-08-02,,LongTermDebtCurrent,USD,MSFT,0000789019
2017-06-30,1049000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2017-06-30,1049000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,,LongTermDebtCurrent,USD,MSFT,0000789019
2017-06-30,1049000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2017-06-30,1049000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2017-09-30,1050000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,CY2017Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2017-12-31,3446000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,CY2017Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2018-03-31,3447000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,CY2018Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2018-06-30,3998000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,,LongTermDebtCurrent,USD,MSFT,0000789019
2018-06-30,3998000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2018-06-30,3998000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,,LongTermDebtCurrent,USD,MSFT,0000789019
