start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,22271000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,OperatingIncomeLoss,USD,MSFT,0000789019
2008-07-01,2008-09-30,5999000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2008Q3,OperatingIncomeLoss,USD,MSFT,0000789019
2008-07-01,2008-12-31,11938000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2008-10-01,2008-12-31,5939000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2008Q4,OperatingIncomeLoss,USD,MSFT,0000789019
2008-07-01,2009-03-31,16376000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-01-01,2009-03-31,4438000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2009Q1,OperatingIncomeLoss,USD,MSFT,0000789019
2008-07-01,2009-06-30,20363000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,OperatingIncomeLoss,USD,MSFT,0000789019
2008-07-01,2009-06-30,20363000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2009-09-30,4482000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2009-09-30,4482000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2009-12-31,12995000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2009-12-31,12995000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-10-01,2009-12-31,8513000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-10-01,2009-12-31,8513000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2010-03-31,18168000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2010-03-31,18168000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-01-01,2010-03-31,5173000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-01-01,2010-03-31,5173000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2010-06-30,24098000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2010-06-30,24098000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2009-07-01,2010-06-30,24098000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2010-09-30,7116000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2010-09-30,7116000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2010-12-31,15281000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2010-12-31,15281000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-10-01,2010-12-31,8165000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-10-01,2010-12-31,8165000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2010Q4,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-03-31,20990000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-03-31,20990000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-01-01,2011-03-31,5709000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-01-01,2011-03-31,5709000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2011Q1,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-06-30,27161000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-06-30,27161000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-06-30,27161000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,OperatingIncomeLoss,USD,MSFT,0000789019
2010-07-01,2011-06-30,27161000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2011-09-30,7203000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2011-09-30,7203000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2011Q3,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2011-12-31,15197000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2011-12-31,15197000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-10-01,2011-12-31,7994000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-10-01,2011-12-31,7994000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2011Q4,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-03-31,21571000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-03-31,21571000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,OperatingIncomeLoss,USD,MSFT,0000789019
2012-01-01,2012-03-31,6374000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,OperatingIncomeLoss,USD,MSFT,0000789019
2012-01-01,2012-03-31,6374000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2012Q1,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-06-30,21763000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-06-30,21763000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-06-30,21763000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,OperatingIncomeLoss,USD,MSFT,0000789019
2011-07-01,2012-06-30,21763000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,OperatingIncomeLoss,USD,MSFT,0000789019
