start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,9328000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-07-01,2008-09-30,9084000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2008Q3,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-07-01,2008-12-31,8994000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-10-01,2008-12-31,8903000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2008Q4,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-07-01,2009-03-31,8960000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-01-01,2009-03-31,8891000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2009Q1,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-07-01,2009-06-30,8945000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2008-07-01,2009-06-30,8945000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2009-09-30,8914000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2009-09-30,8914000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2009-12-31,8885000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2009-12-31,8885000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-10-01,2009-12-31,8856000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-10-01,2009-12-31,8856000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2010-03-31,8846000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
