start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2016-01-01,2016-12-31,1103172000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2016-01-01,2016-12-31,1103172000.0,0000726728-19-000038,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-01-01,2017-03-31,298025000.0,0001104659-18-031721,2018,Q1,10-Q,2018-05-09,CY2017Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-01-01,2017-06-30,598195000.0,0000726728-18-000087,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-04-01,2017-06-30,300170000.0,0000726728-18-000087,2018,Q2,10-Q,2018-08-02,CY2017Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-01-01,2017-09-30,905115000.0,0000726728-18-000108,2018,Q3,10-Q,2018-11-01,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-07-01,2017-09-30,306920000.0,0000726728-18-000108,2018,Q3,10-Q,2018-11-01,CY2017Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-01-01,2017-12-31,1215768000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2017-01-01,2017-12-31,1215768000.0,0000726728-19-000038,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-01-01,2018-03-31,318295000.0,0001104659-18-031721,2018,Q1,10-Q,2018-05-09,CY2018Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-01-01,2018-06-30,647181000.0,0000726728-18-000087,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-04-01,2018-06-30,328886000.0,0000726728-18-000087,2018,Q2,10-Q,2018-08-02,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-01-01,2018-09-30,985262000.0,0000726728-18-000108,2018,Q3,10-Q,2018-11-01,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-07-01,2018-09-30,338081000.0,0000726728-18-000108,2018,Q3,10-Q,2018-11-01,CY2018Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-01-01,2018-12-31,1327838000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2018-01-01,2018-12-31,1327838000.0,0000726728-19-000038,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,0000726728
2008-01-01,2008-12-31,325041000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2008,Revenues,USD,O,0000726728
2009-01-01,2009-06-30,163767000.0,0000726728-10-000060,2010,Q2,10-Q,2010-07-29,,Revenues,USD,O,0000726728
2009-04-01,2009-06-30,81301000.0,0000726728-10-000060,2010,Q2,10-Q,2010-07-29,CY2009Q2,Revenues,USD,O,0000726728
2009-01-01,2009-09-30,244547000.0,0000726728-10-000077,2010,Q3,10-Q,2010-10-28,,Revenues,USD,O,0000726728
2009-07-01,2009-09-30,81463000.0,0000726728-10-000077,2010,Q3,10-Q,2010-10-28,CY2009Q3,Revenues,USD,O,0000726728
2009-01-01,2009-12-31,325245000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,Revenues,USD,O,0000726728
2009-01-01,2009-12-31,322550000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,0000726728
2009-01-01,2009-12-31,319459000.0,0001104659-12-066514,2011,FY,8-K,2012-10-01,,Revenues,USD,O,0000726728
2009-01-01,2009-12-31,318589000.0,0001104659-12-073262,2011,FY,8-K,2012-11-01,CY2009,Revenues,USD,O,0000726728
2010-01-01,2010-03-31,82618000.0,0000726728-11-000034,2011,Q1,10-Q,2011-04-28,CY2010Q1,Revenues,USD,O,0000726728
2010-01-01,2010-06-30,166654000.0,0000726728-10-000060,2010,Q2,10-Q,2010-07-29,,Revenues,USD,O,0000726728
2010-01-01,2010-06-30,164915000.0,0000726728-11-000052,2011,Q2,10-Q,2011-08-01,,Revenues,USD,O,0000726728
2010-04-01,2010-06-30,83466000.0,0000726728-10-000060,2010,Q2,10-Q,2010-07-29,,Revenues,USD,O,0000726728
2010-04-01,2010-06-30,82397000.0,0000726728-11-000052,2011,Q2,10-Q,2011-08-01,CY2010Q2,Revenues,USD,O,0000726728
2010-01-01,2010-09-30,253223000.0,0000726728-10-000077,2010,Q3,10-Q,2010-10-28,,Revenues,USD,O,0000726728
2010-01-01,2010-09-30,251622000.0,0000726728-11-000070,2011,Q3,10-Q,2011-10-28,,Revenues,USD,O,0000726728
2010-07-01,2010-09-30,87173000.0,0000726728-10-000077,2010,Q3,10-Q,2010-10-28,,Revenues,USD,O,0000726728
2010-07-01,2010-09-30,86833000.0,0000726728-11-000070,2011,Q3,10-Q,2011-10-28,CY2010Q3,Revenues,USD,O,0000726728
2010-01-01,2010-12-31,345009000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,Revenues,USD,O,0000726728
2010-01-01,2010-12-31,343492000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,0000726728
2010-01-01,2010-12-31,340451000.0,0001104659-12-066514,2011,FY,8-K,2012-10-01,,Revenues,USD,O,0000726728
2010-01-01,2010-12-31,339642000.0,0001104659-12-073262,2011,FY,8-K,2012-11-01,CY2010,Revenues,USD,O,0000726728
2011-01-01,2011-03-31,97756000.0,0000726728-11-000034,2011,Q1,10-Q,2011-04-28,,Revenues,USD,O,0000726728
2011-01-01,2011-03-31,97284000.0,0000726728-12-000036,2012,Q1,10-Q,2012-04-27,CY2011Q1,Revenues,USD,O,0000726728
2011-01-01,2011-06-30,200354000.0,0000726728-11-000052,2011,Q2,10-Q,2011-08-01,,Revenues,USD,O,0000726728
2011-04-01,2011-06-30,102626000.0,0000726728-11-000052,2011,Q2,10-Q,2011-08-01,CY2011Q2,Revenues,USD,O,0000726728
2011-01-01,2011-09-30,307632000.0,0000726728-11-000070,2011,Q3,10-Q,2011-10-28,,Revenues,USD,O,0000726728
2011-07-01,2011-09-30,107296000.0,0000726728-11-000070,2011,Q3,10-Q,2011-10-28,CY2011Q3,Revenues,USD,O,0000726728
2011-01-01,2011-12-31,421059000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,0000726728
2011-01-01,2011-12-31,417963000.0,0001104659-12-066514,2011,FY,8-K,2012-10-01,,Revenues,USD,O,0000726728
2011-01-01,2011-12-31,416730000.0,0001104659-12-073262,2011,FY,8-K,2012-11-01,CY2011,Revenues,USD,O,0000726728
2012-01-01,2012-03-31,114723000.0,0000726728-12-000036,2012,Q1,10-Q,2012-04-27,CY2012Q1,Revenues,USD,O,0000726728
2017-01-01,2017-12-31,1215768000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2017,Revenues,USD,O,0000726728
2018-01-01,2018-03-31,318295000.0,0000726728-19-000049,2019,Q1,10-Q,2019-05-02,,Revenues,USD,O,0000726728
2018-01-01,2018-03-31,318295000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q1,Revenues,USD,O,0000726728
2018-01-01,2018-06-30,647181000.0,0000726728-19-000079,2019,Q2,10-Q,2019-08-06,,Revenues,USD,O,0000726728
2018-04-01,2018-06-30,328886000.0,0000726728-19-000079,2019,Q2,10-Q,2019-08-06,,Revenues,USD,O,0000726728
2018-04-01,2018-06-30,328886000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q2,Revenues,USD,O,0000726728
2018-01-01,2018-09-30,985262000.0,0000726728-19-000094,2019,Q3,10-Q,2019-11-05,,Revenues,USD,O,0000726728
2018-07-01,2018-09-30,338081000.0,0000726728-19-000094,2019,Q3,10-Q,2019-11-05,,Revenues,USD,O,0000726728
2018-07-01,2018-09-30,338081000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q3,Revenues,USD,O,0000726728
2018-01-01,2018-12-31,1327838000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,0000726728
2018-01-01,2018-12-31,1327838000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2018,Revenues,USD,O,0000726728
2018-10-01,2018-12-31,342576000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q4,Revenues,USD,O,0000726728
2019-01-01,2019-03-31,354365000.0,0000726728-19-000049,2019,Q1,10-Q,2019-05-02,,Revenues,USD,O,0000726728
2019-01-01,2019-03-31,354365000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,0000726728
2019-01-01,2019-03-31,354365000.0,0000726728-20-000042,2020,Q1,10-Q,2020-05-05,,Revenues,USD,O,0000726728
2019-01-01,2019-03-31,354365000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2019Q1,Revenues,USD,O,0000726728
2019-01-01,2019-06-30,719815000.0,0000726728-19-000079,2019,Q2,10-Q,2019-08-06,,Revenues,USD,O,0000726728
2019-01-01,2019-06-30,719815000.0,0000726728-20-000077,2020,Q2,10-Q,2020-08-04,,Revenues,USD,O,0000726728
2019-04-01,2019-06-30,365450000.0,0000726728-19-000079,2019,Q2,10-Q,2019-08-06,,Revenues,USD,O,0000726728
2019-04-01,2019-06-30,365450000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,0000726728
2019-04-01,2019-06-30,365450000.0,0000726728-20-000077,2020,Q2,10-Q,2020-08-04,,Revenues,USD,O,0000726728
2019-04-01,2019-06-30,365450000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2019Q2,Revenues,USD,O,0000726728
