start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2008-01-01,2008-12-31,325041000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2008,Revenues,USD,O,726728
2009-01-01,2009-12-31,322550000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,726728
2009-01-01,2009-12-31,325245000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,Revenues,USD,O,726728
2010-01-01,2010-12-31,333437000.0,0001104659-13-010950,2012,FY,10-K,2013-02-14,CY2010,RealEstateRevenueNet,USD,O,726728
2010-01-01,2010-12-31,343492000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,726728
2010-01-01,2010-12-31,345009000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,Revenues,USD,O,726728
2011-01-01,2011-12-31,410252000.0,0001104659-13-010950,2012,FY,10-K,2013-02-14,,RealEstateRevenueNet,USD,O,726728
2011-01-01,2011-12-31,412360000.0,0001104659-14-010697,2013,FY,10-K,2014-02-14,CY2011,RealEstateRevenueNet,USD,O,726728
2011-01-01,2011-12-31,421059000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,Revenues,USD,O,726728
2012-01-01,2012-12-31,475510000.0,0001104659-13-010950,2012,FY,10-K,2013-02-14,,RealEstateRevenueNet,USD,O,726728
2012-01-01,2012-12-31,482847000.0,0001104659-14-010697,2013,FY,10-K,2014-02-14,,RealEstateRevenueNet,USD,O,726728
2012-01-01,2012-12-31,484581000.0,0001104659-15-011630,2014,FY,10-K,2015-02-18,CY2012,RealEstateRevenueNet,USD,O,726728
2013-01-01,2013-12-31,778375000.0,0001104659-14-010697,2013,FY,10-K,2014-02-14,,RealEstateRevenueNet,USD,O,726728
2013-01-01,2013-12-31,780209000.0,0001104659-16-095923,2015,FY,10-K,2016-02-11,CY2013,RealEstateRevenueNet,USD,O,726728
2014-01-01,2014-12-31,933505000.0,0001104659-17-011170,2016,FY,10-K,2017-02-23,CY2014,RealEstateRevenueNet,USD,O,726728
2015-01-01,2015-12-31,1023285000.0,0001104659-18-011376,2017,FY,10-K,2018-02-22,CY2015,RealEstateRevenueNet,USD,O,726728
2016-01-01,2016-12-31,1103172000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,726728
2017-01-01,2017-12-31,1215768000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,726728
2018-01-01,2018-03-31,318295000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q1,Revenues,USD,O,726728
2018-04-01,2018-06-30,328886000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q2,Revenues,USD,O,726728
2018-07-01,2018-09-30,338081000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q3,Revenues,USD,O,726728
2018-10-01,2018-12-31,342576000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2018Q4,Revenues,USD,O,726728
2018-01-01,2018-12-31,1327838000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,O,726728
2019-01-01,2019-03-31,354365000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,726728
2019-04-01,2019-06-30,365450000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,726728
2019-07-01,2019-09-30,374247000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,726728
2019-10-01,2019-12-31,397529000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,726728
2019-01-01,2019-12-31,1488163000.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,CY2019,Revenues,USD,O,726728
2019-01-01,2019-12-31,1491591000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,,Revenues,USD,O,726728
2020-01-01,2020-03-31,414341000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,,Revenues,USD,O,726728
2020-04-01,2020-06-30,414636000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,,Revenues,USD,O,726728
2020-07-01,2020-09-30,404572000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,,Revenues,USD,O,726728
2020-10-01,2020-12-31,418076000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2020Q4,Revenues,USD,O,726728
2020-01-01,2020-12-31,1647087000.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,,Revenues,USD,O,726728
2020-01-01,2020-12-31,1651625000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,,Revenues,USD,O,726728
2021-01-01,2021-12-31,2080463000.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,,Revenues,USD,O,726728
2022-01-01,2022-12-31,3343681000.0,0000726728-23-000044,2022,FY,10-K,2023-02-22,,Revenues,USD,O,726728
2023-01-01,2023-12-31,4078993000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2023,Revenues,USD,O,726728
