start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2008-01-01,2008-12-31,89104000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2008,DepreciationDepletionAndAmortization,USD,O,726728
2009-01-01,2009-12-31,90519000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,DepreciationDepletionAndAmortization,USD,O,726728
2010-01-01,2010-12-31,95513000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,,DepreciationDepletionAndAmortization,USD,O,726728
2011-01-01,2011-12-31,121751000.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,DepreciationDepletionAndAmortization,USD,O,726728
2012-01-01,2012-12-31,149597000.0,0001104659-13-010950,2012,FY,10-K,2013-02-14,,DepreciationDepletionAndAmortization,USD,O,726728
2013-01-01,2013-12-31,306769000.0,0001104659-16-095923,2015,FY,10-K,2016-02-11,CY2013,DepreciationDepletionAndAmortization,USD,O,726728
2014-01-01,2014-12-31,374661000.0,0001104659-17-011170,2016,FY,10-K,2017-02-23,CY2014,DepreciationDepletionAndAmortization,USD,O,726728
2015-01-01,2015-12-31,409215000.0,0001104659-18-011376,2017,FY,10-K,2018-02-22,CY2015,DepreciationDepletionAndAmortization,USD,O,726728
2016-01-01,2016-12-31,449943000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2016,DepreciationDepletionAndAmortization,USD,O,726728
2017-01-01,2017-12-31,498788000.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2017,DepreciationDepletionAndAmortization,USD,O,726728
2018-01-01,2018-12-31,539780000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2018,DepreciationDepletionAndAmortization,USD,O,726728
2019-01-01,2019-12-31,593961000.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,CY2019,DepreciationDepletionAndAmortization,USD,O,726728
2020-01-01,2020-12-31,677038000.0,0000726728-23-000044,2022,FY,10-K,2023-02-22,CY2020,DepreciationDepletionAndAmortization,USD,O,726728
2021-01-01,2021-12-31,897835000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2021,DepreciationDepletionAndAmortization,USD,O,726728
2022-01-01,2022-12-31,1670389000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2022,DepreciationDepletionAndAmortization,USD,O,726728
2023-01-01,2023-12-31,1895177000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2023,DepreciationDepletionAndAmortization,USD,O,726728
