start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2010-01-01,2010-12-31,1.01,0001104659-13-010950,2012,FY,10-K,2013-02-14,CY2010,EarningsPerShareBasic,USD/shares,O,726728
2011-01-01,2011-12-31,1.05,0001104659-14-010697,2013,FY,10-K,2014-02-14,CY2011,EarningsPerShareBasic,USD/shares,O,726728
2012-01-01,2012-12-31,0.86,0001104659-14-010697,2013,FY,10-K,2014-02-14,CY2012,EarningsPerShareBasic,USD/shares,O,726728
2013-01-01,2013-12-31,1.06,0001104659-14-010697,2013,FY,10-K,2014-02-14,CY2013,EarningsPerShareBasic,USD/shares,O,726728
2018-01-01,2018-12-31,1.26,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2018,EarningsPerShareBasic,USD/shares,O,726728
2019-01-01,2019-12-31,1.38,0000726728-22-000046,2021,FY,10-K,2022-02-23,CY2019,EarningsPerShareBasic,USD/shares,O,726728
2020-01-01,2020-12-31,1.15,0000726728-23-000044,2022,FY,10-K,2023-02-22,CY2020,EarningsPerShareBasic,USD/shares,O,726728
2021-01-01,2021-12-31,0.87,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2021,EarningsPerShareBasic,USD/shares,O,726728
2022-01-01,2022-12-31,1.42,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2022,EarningsPerShareBasic,USD/shares,O,726728
2023-01-01,2023-12-31,1.26,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2023,EarningsPerShareBasic,USD/shares,O,726728
