start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2008-01-01,2008-12-31,-236000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2008,GainLossOnSaleOfProperties,USD,O,726728
2009-01-01,2009-12-31,-15000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2009,GainLossOnSaleOfProperties,USD,O,726728
2010-01-01,2010-12-31,-271000.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2010,GainLossOnSaleOfProperties,USD,O,726728
2015-01-01,2015-12-31,22200000.0,0001104659-18-011376,2017,FY,10-K,2018-02-22,CY2015,GainLossOnSaleOfProperties,USD,O,726728
2016-01-01,2016-12-31,22000000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2016,GainLossOnSaleOfProperties,USD,O,726728
2017-01-01,2017-12-31,40900000.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,,GainLossOnSaleOfProperties,USD,O,726728
2018-01-01,2018-12-31,24643000.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2018,GainLossOnSaleOfProperties,USD,O,726728
2019-01-01,2019-12-31,29996000.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,CY2019,GainLossOnSaleOfProperties,USD,O,726728
2020-01-01,2020-12-31,76232000.0,0000726728-23-000044,2022,FY,10-K,2023-02-22,CY2020,GainLossOnSaleOfProperties,USD,O,726728
2021-01-01,2021-12-31,55798000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2021,GainLossOnSaleOfProperties,USD,O,726728
2022-01-01,2022-12-31,102957000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2022,GainLossOnSaleOfProperties,USD,O,726728
2023-01-01,2023-12-31,25667000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2023,GainLossOnSaleOfProperties,USD,O,726728
