start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2011-04-21,2011-06-30,10719000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2011-07-01,2011-09-30,14841000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,CY2011Q3,RealEstateRevenueNet,USD,STAG,1479094
2011-10-01,2011-12-31,16552000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,CY2011Q4,RealEstateRevenueNet,USD,STAG,1479094
2011-04-21,2011-12-31,41116000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,,RealEstateRevenueNet,USD,STAG,1479094
2011-04-21,2011-12-31,42112000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2011-04-20,2011-12-31,44871000.0,0001047469-12-002371,2011,FY,10-K,2012-03-09,,RealEstateRevenueNet,USD,STAG,1479094
2012-01-01,2012-03-31,17181000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2012Q1,RealEstateRevenueNet,USD,STAG,1479094
2012-01-01,2012-03-31,17540000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2012-04-01,2012-06-30,19116000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2012Q2,RealEstateRevenueNet,USD,STAG,1479094
2012-04-01,2012-06-30,19475000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2012-07-01,2012-09-30,20878000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2012Q3,RealEstateRevenueNet,USD,STAG,1479094
2012-07-01,2012-09-30,21236000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2012-10-01,2012-12-31,26877000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2012Q4,RealEstateRevenueNet,USD,STAG,1479094
2012-10-01,2012-12-31,27236000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2012-01-01,2012-12-31,84052000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2012,RealEstateRevenueNet,USD,STAG,1479094
2012-01-01,2012-12-31,85487000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2013-01-01,2013-03-31,29988000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2013Q1,RealEstateRevenueNet,USD,STAG,1479094
2013-04-01,2013-06-30,31842000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2013Q2,RealEstateRevenueNet,USD,STAG,1479094
2013-07-01,2013-09-30,34644000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2013Q3,RealEstateRevenueNet,USD,STAG,1479094
2013-10-01,2013-12-31,37418000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2013Q4,RealEstateRevenueNet,USD,STAG,1479094
2013-01-01,2013-12-31,133893000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2014-01-01,2014-03-31,39743000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2014-04-01,2014-06-30,41682000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2014-07-01,2014-09-30,42358000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2014-10-01,2014-12-31,50033000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2014-01-01,2014-12-31,173816000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,,RealEstateRevenueNet,USD,STAG,1479094
2015-01-01,2015-03-31,50989000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,RealEstateRevenueNet,USD,STAG,1479094
2015-04-01,2015-06-30,52836000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,RealEstateRevenueNet,USD,STAG,1479094
2015-07-01,2015-09-30,55921000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,RealEstateRevenueNet,USD,STAG,1479094
2015-10-01,2015-12-31,58887000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,CY2015Q4,RealEstateRevenueNet,USD,STAG,1479094
2015-01-01,2015-12-31,218633000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2015,RealEstateRevenueNet,USD,STAG,1479094
2016-01-01,2016-12-31,250243000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2016,Revenues,USD,STAG,1479094
2017-01-01,2017-12-31,301087000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,,Revenues,USD,STAG,1479094
2018-01-01,2018-12-31,350993000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,,Revenues,USD,STAG,1479094
2019-01-01,2019-12-31,405950000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,,Revenues,USD,STAG,1479094
2020-01-01,2020-12-31,483411000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,,Revenues,USD,STAG,1479094
2021-01-01,2021-12-31,562159000.0,0001479094-22-000006,2021,FY,10-K,2022-02-16,,Revenues,USD,STAG,1479094
2022-01-01,2022-12-31,657345000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,,Revenues,USD,STAG,1479094
2023-01-01,2023-12-31,707835000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,Revenues,USD,STAG,1479094
