start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2013-01-01,2013-12-31,5305000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,CY2013,GainLossOnSaleOfPropertyPlantEquipment,USD,STAG,1479094
2014-01-01,2014-12-31,2799000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2015-01-01,2015-12-31,4986000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2016-01-01,2016-12-31,61823000.0,0001479094-17-000005,2016,FY,10-K,2017-02-16,,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2017-01-01,2017-12-31,24242000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2018-01-01,2018-12-31,72211000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2019-01-01,2019-12-31,7392000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2019,GainLossOnSaleOfPropertiesBeforeApplicableIncomeTaxes,USD,STAG,1479094
2020-01-01,2020-12-31,135733000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2020,GainLossOnSaleOfPropertyPlantEquipment,USD,STAG,1479094
2021-01-01,2021-12-31,97980000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2021,GainLossOnSaleOfPropertyPlantEquipment,USD,STAG,1479094
2022-01-01,2022-12-31,57487000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022,GainLossOnSaleOfPropertyPlantEquipment,USD,STAG,1479094
2023-01-01,2023-12-31,54100000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,GainLossOnSaleOfPropertyPlantEquipment,USD,STAG,1479094
