start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2012-01-01,2012-12-31,85487000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,,RealEstateRevenueNet,USD,STAG,1479094
2013-01-01,2013-12-31,133893000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,,RealEstateRevenueNet,USD,STAG,1479094
2014-01-01,2014-12-31,173816000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,RealEstateRevenueNet,USD,STAG,1479094
2015-01-01,2015-12-31,218633000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,RealEstateRevenueNet,USD,STAG,1479094
2016-01-01,2016-12-31,250243000.0,0001479094-17-000005,2016,FY,10-K,2017-02-16,,RealEstateRevenueNet,USD,STAG,1479094
2017-01-01,2017-12-31,301087000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2017,RealEstateRevenueNet,USD,STAG,1479094
2018-01-01,2018-12-31,350993000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2018,Revenues,USD,STAG,1479094
2019-01-01,2019-12-31,405950000.0,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2019,Revenues,USD,STAG,1479094
2020-01-01,2020-12-31,483411000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2020,Revenues,USD,STAG,1479094
2021-01-01,2021-12-31,562159000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2021,Revenues,USD,STAG,1479094
2022-01-01,2022-12-31,657345000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022,Revenues,USD,STAG,1479094
2023-01-01,2023-12-31,707835000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,Revenues,USD,STAG,1479094
