start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2016-01-01,2016-12-31,13370000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-01-01,2017-03-31,3402000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-01-01,2017-06-30,7095000000.0,0001564590-18-018753,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-04-01,2017-06-30,3693000000.0,0001564590-18-018753,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-04-01,2017-06-30,3693000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-01-01,2017-09-30,11211000000.0,0001564590-18-026405,2018,Q3,10-Q,2018-11-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-07-01,2017-09-30,4116000000.0,0001564590-18-026405,2018,Q3,10-Q,2018-11-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-07-01,2017-09-30,4116000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-01-01,2017-12-31,14961000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-01-01,2017-12-31,14961000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2017-10-01,2017-12-31,3750000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q4,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-03-31,3789000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-03-31,3789000000.0,0001564590-19-014051,2019,Q1,10-Q,2019-04-30,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-03-31,3789000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-06-30,7806000000.0,0001564590-18-018753,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-06-30,7806000000.0,0001564590-19-027328,2019,Q2,10-Q,2019-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-04-01,2018-06-30,4017000000.0,0001564590-18-018753,2018,Q2,10-Q,2018-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-04-01,2018-06-30,4017000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-04-01,2018-06-30,4017000000.0,0001564590-19-027328,2019,Q2,10-Q,2019-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-04-01,2018-06-30,4017000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-09-30,12067000000.0,0001564590-18-026405,2018,Q3,10-Q,2018-11-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-09-30,12067000000.0,0000097476-19-000009,2019,Q3,10-Q,2019-10-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-07-01,2018-09-30,4261000000.0,0001564590-18-026405,2018,Q3,10-Q,2018-11-02,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-07-01,2018-09-30,4261000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-07-01,2018-09-30,4261000000.0,0000097476-19-000009,2019,Q3,10-Q,2019-10-31,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-07-01,2018-09-30,4261000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-12-31,15784000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-12-31,15784000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-01-01,2018-12-31,15784000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-10-01,2018-12-31,3717000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2018-10-01,2018-12-31,3717000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q4,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2019-01-01,2019-03-31,3594000000.0,0001564590-19-014051,2019,Q1,10-Q,2019-04-30,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
2019-01-01,2019-03-31,3594000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,0000097476
