end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2009-06-30,77888000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,Assets,USD,MSFT,0000789019
2009-06-30,77888000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,Assets,USD,MSFT,0000789019
2009-06-30,77888000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,Assets,USD,MSFT,0000789019
2009-06-30,77888000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,Assets,USD,MSFT,0000789019
2009-09-30,81612000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2009Q3I,Assets,USD,MSFT,0000789019
2009-12-31,82096000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2009Q4I,Assets,USD,MSFT,0000789019
2010-03-31,84910000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2010Q1I,Assets,USD,MSFT,0000789019
2010-06-30,86113000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,Assets,USD,MSFT,0000789019
2010-06-30,86113000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,Assets,USD,MSFT,0000789019
2010-06-30,86113000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,Assets,USD,MSFT,0000789019
2010-06-30,86113000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,Assets,USD,MSFT,0000789019
2010-06-30,86113000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,Assets,USD,MSFT,0000789019
2010-09-30,91540000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2010Q3I,Assets,USD,MSFT,0000789019
2010-12-31,92306000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2010Q4I,Assets,USD,MSFT,0000789019
2011-03-31,99727000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2011Q1I,Assets,USD,MSFT,0000789019
2011-06-30,108704000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,Assets,USD,MSFT,0000789019
2011-06-30,108704000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,Assets,USD,MSFT,0000789019
2011-06-30,108704000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,Assets,USD,MSFT,0000789019
2011-06-30,108704000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,Assets,USD,MSFT,0000789019
2011-06-30,108704000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,Assets,USD,MSFT,0000789019
2011-09-30,107415000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2011Q3I,Assets,USD,MSFT,0000789019
2011-12-31,112243000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2011Q4I,Assets,USD,MSFT,0000789019
2012-03-31,118010000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2012Q1I,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,Assets,USD,MSFT,0000789019
2012-06-30,121271000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2012Q2I,Assets,USD,MSFT,0000789019
2012-09-30,121876000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2012Q3I,Assets,USD,MSFT,0000789019
2012-12-31,128683000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2012Q4I,Assets,USD,MSFT,0000789019
2013-03-31,134105000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2013Q1I,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,Assets,USD,MSFT,0000789019
2013-06-30,142431000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,Assets,USD,MSFT,0000789019
2013-09-30,142348000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2013Q3I,Assets,USD,MSFT,0000789019
