end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2009-06-30,31447000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2009-06-30,31447000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2009-06-30,31447000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2009-06-30,31447000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2009-09-30,36728000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2009Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2009-12-31,36099000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2009Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-03-31,39666000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2010Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-06-30,36788000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-06-30,36788000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-06-30,36788000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-06-30,36788000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-06-30,36788000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-09-30,44173000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2010Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2010-12-31,41252000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2010Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-03-31,50150000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2011Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-06-30,52772000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-06-30,52772000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-06-30,52772000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-06-30,52772000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-06-30,52772000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-09-30,57403000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2011Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2011-12-31,51736000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2011Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-03-31,59529000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2012Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-06-30,63040000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2012Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-09-30,66644000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2012Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2012-12-31,68312000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2012Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-03-31,74483000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2013Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-06-30,77022000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-09-30,80672000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2013Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2013-12-31,83944000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2013Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-03-31,88425000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2014Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-06-30,85709000000,0001193125-15-353706,2015,FY,8-K,2015-10-27,CY2014Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-09-30,89193000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2014Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2014-12-31,90249000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2014Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-03-31,95438000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2015Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-15-353706,2015,FY,8-K,2015-10-27,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-06-30,96526000000,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-09-30,99355000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,CY2015Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2015-12-31,102640000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,CY2015Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-03-31,105552000000,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,CY2016Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-06-30,113240000000,0001193125-16-662209,2016,FY,10-K,2016-07-28,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-06-30,113240000000,0001193125-16-742796,2017,Q1,10-Q,2016-10-20,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-06-30,113240000000,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-06-30,113240000000,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-06-30,113240000000,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q2I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-09-30,136932000000,0001193125-16-742796,2017,Q1,10-Q,2016-10-20,CY2016Q3I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2016-12-31,122781000000,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,CY2016Q4I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2017-03-31,126018000000,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,CY2017Q1I,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
2017-06-30,132981000000,0001564590-17-014900,2017,FY,10-K,2017-08-02,,CashCashEquivalentsAndShortTermInvestments,USD,MSFT,0000789019
