start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,0.44,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2008-09-30,0.13,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2008-09-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q3,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2008-12-31,0.26,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-10-01,2008-12-31,0.13,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-10-01,2008-12-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q4,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2009-03-31,0.39,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-01-01,2009-03-31,0.13,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-01-01,2009-03-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q1,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2009-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2008-07-01,2009-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-04-01,2009-06-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q3,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-12-31,0.26,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2009-12-31,0.26,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.13,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.13,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.13,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q4,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2010-03-31,0.39,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2010-03-31,0.39,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.13,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.13,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,0.52,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,CommonStockDividendsPerShareDeclared,USD/shares,MSFT,0000789019
