start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2007-09-30,0.46,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q3,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2007-10-01,2007-12-31,0.5,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q4,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-01-01,2008-03-31,0.47,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q1,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2007-07-01,2008-06-30,1.9,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-04-01,2008-06-30,0.46,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q2,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2008-09-30,0.48,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2008-09-30,0.48,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q3,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2008-12-31,0.95,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-10-01,2008-12-31,0.47,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-10-01,2008-12-31,0.47,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q4,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2009-03-31,1.29,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-01-01,2009-03-31,0.33,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-01-01,2009-03-31,0.33,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q1,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2009-06-30,1.63,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2008-07-01,2009-06-30,1.63,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-04-01,2009-06-30,0.34,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.4,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.4,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.4,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-09-30,0.4,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q3,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-12-31,1.15,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2009-12-31,1.15,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.75,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.75,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.75,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-10-01,2009-12-31,0.75,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q4,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2010-03-31,1.61,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2010-03-31,1.61,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.46,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.46,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.46,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-01-01,2010-03-31,0.46,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,2.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,2.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2009-07-01,2010-06-30,2.13,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-04-01,2010-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-04-01,2010-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2,EarningsPerShareBasic,USD/shares,MSFT,0000789019
2010-07-01,2010-09-30,0.63,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,EarningsPerShareBasic,USD/shares,MSFT,0000789019
