start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2007-09-30,11087000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q3,GrossProfit,USD,MSFT,0000789019
2007-10-01,2007-12-31,12824000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q4,GrossProfit,USD,MSFT,0000789019
2008-01-01,2008-03-31,11940000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q1,GrossProfit,USD,MSFT,0000789019
2007-07-01,2008-06-30,48822000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,GrossProfit,USD,MSFT,0000789019
2008-04-01,2008-06-30,12971000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q2,GrossProfit,USD,MSFT,0000789019
2008-07-01,2008-09-30,12213000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q3,GrossProfit,USD,MSFT,0000789019
2008-10-01,2008-12-31,12722000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q4,GrossProfit,USD,MSFT,0000789019
2009-01-01,2009-03-31,10834000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q1,GrossProfit,USD,MSFT,0000789019
2008-07-01,2009-06-30,46282000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009,GrossProfit,USD,MSFT,0000789019
2009-04-01,2009-06-30,10513000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2,GrossProfit,USD,MSFT,0000789019
2009-07-01,2009-09-30,10078000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,GrossProfit,USD,MSFT,0000789019
2009-07-01,2009-09-30,10078000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q3,GrossProfit,USD,MSFT,0000789019
2009-10-01,2009-12-31,15394000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,GrossProfit,USD,MSFT,0000789019
2009-10-01,2009-12-31,15394000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q4,GrossProfit,USD,MSFT,0000789019
2010-01-01,2010-03-31,11748000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,GrossProfit,USD,MSFT,0000789019
2010-01-01,2010-03-31,11748000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,GrossProfit,USD,MSFT,0000789019
2009-07-01,2010-06-30,50089000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,GrossProfit,USD,MSFT,0000789019
2009-07-01,2010-06-30,50089000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010,GrossProfit,USD,MSFT,0000789019
2010-04-01,2010-06-30,12869000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,GrossProfit,USD,MSFT,0000789019
2010-04-01,2010-06-30,12869000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2,GrossProfit,USD,MSFT,0000789019
2010-07-01,2010-09-30,13056000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,GrossProfit,USD,MSFT,0000789019
2010-07-01,2010-09-30,13056000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q3,GrossProfit,USD,MSFT,0000789019
2010-10-01,2010-12-31,15120000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,GrossProfit,USD,MSFT,0000789019
2010-10-01,2010-12-31,15120000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q4,GrossProfit,USD,MSFT,0000789019
2011-01-01,2011-03-31,12531000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,GrossProfit,USD,MSFT,0000789019
2011-01-01,2011-03-31,12531000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q1,GrossProfit,USD,MSFT,0000789019
2010-07-01,2011-06-30,54366000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,GrossProfit,USD,MSFT,0000789019
2010-07-01,2011-06-30,54366000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,GrossProfit,USD,MSFT,0000789019
2010-07-01,2011-06-30,54366000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,GrossProfit,USD,MSFT,0000789019
2010-07-01,2011-06-30,54366000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,GrossProfit,USD,MSFT,0000789019
2011-04-01,2011-06-30,13659000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,GrossProfit,USD,MSFT,0000789019
