start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,21612000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-07-01,2008-09-30,3370000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2008Q3,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-07-01,2008-12-31,9152000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-10-01,2008-12-31,5782000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2008Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-07-01,2009-03-31,15196000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-01-01,2009-03-31,6044000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2009Q1,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-07-01,2009-06-30,19037000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2008-07-01,2009-06-30,19037000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2009-09-30,6107000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2009-09-30,6107000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2009-12-31,11076000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2009-12-31,11076000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-10-01,2009-12-31,4969000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-10-01,2009-12-31,4969000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2010-03-31,18469000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2010-03-31,18469000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-01-01,2010-03-31,7393000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-01-01,2010-03-31,7393000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2010-06-30,24073000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2010-06-30,24073000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2009-07-01,2010-06-30,24073000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2010-09-30,8194000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2010-09-30,8194000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2010-12-31,12380000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2010-12-31,12380000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-10-01,2010-12-31,4186000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-10-01,2010-12-31,4186000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2010Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2011-03-31,21052000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2011-03-31,21052000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-01-01,2011-03-31,8672000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-01-01,2011-03-31,8672000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2011Q1,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2011-06-30,26994000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2011-06-30,26994000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2010-07-01,2011-06-30,26994000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,CY2011,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2011-09-30,8493000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2011-09-30,8493000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2011Q3,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2011-12-31,14355000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2011-12-31,14355000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-10-01,2011-12-31,5862000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-10-01,2011-12-31,5862000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2011Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2012-03-31,23949000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2012-03-31,23949000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-01-01,2012-03-31,9594000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-01-01,2012-03-31,9594000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2012Q1,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2012-06-30,31626000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2011-07-01,2012-06-30,31626000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,CY2012,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-07-01,2012-09-30,8484000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2012Q3,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-07-01,2012-12-31,13264000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-10-01,2012-12-31,4780000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2012Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-07-01,2013-03-31,22930000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2013-01-01,2013-03-31,9666000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2013Q1,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2012-07-01,2013-06-30,28833000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,CY2013,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2015-07-01,2016-06-30,33325000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2016-07-01,2016-12-31,17842000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2016-10-01,2016-12-31,6293000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,CY2016Q4,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
2016-07-01,2017-03-31,28502000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,,NetCashProvidedByUsedInOperatingActivities,USD,MSFT,0000789019
