start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2007-09-30,4289000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q3,NetIncomeLoss,USD,MSFT,0000789019
2007-10-01,2007-12-31,4707000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2007Q4,NetIncomeLoss,USD,MSFT,0000789019
2008-01-01,2008-03-31,4388000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q1,NetIncomeLoss,USD,MSFT,0000789019
2007-07-01,2008-06-30,17681000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,NetIncomeLoss,USD,MSFT,0000789019
2008-04-01,2008-06-30,4297000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q2,NetIncomeLoss,USD,MSFT,0000789019
2008-07-01,2008-09-30,4373000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,NetIncomeLoss,USD,MSFT,0000789019
2008-07-01,2008-09-30,4373000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q3,NetIncomeLoss,USD,MSFT,0000789019
2008-07-01,2008-12-31,8547000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,NetIncomeLoss,USD,MSFT,0000789019
2008-10-01,2008-12-31,4174000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,NetIncomeLoss,USD,MSFT,0000789019
2008-10-01,2008-12-31,4174000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q4,NetIncomeLoss,USD,MSFT,0000789019
2008-07-01,2009-03-31,11524000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,NetIncomeLoss,USD,MSFT,0000789019
2009-01-01,2009-03-31,2977000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,NetIncomeLoss,USD,MSFT,0000789019
2009-01-01,2009-03-31,2977000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q1,NetIncomeLoss,USD,MSFT,0000789019
