start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2010-07-01,2011-06-30,27205000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,OperatingExpenses,USD,MSFT,0000789019
2010-07-01,2011-06-30,27205000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2011-09-30,6392000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2011Q3,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2011-12-31,13645000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,OperatingExpenses,USD,MSFT,0000789019
2011-10-01,2011-12-31,7253000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2011Q4,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2012-03-31,20726000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,OperatingExpenses,USD,MSFT,0000789019
2012-01-01,2012-03-31,7081000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2012Q1,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2012-06-30,34430000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2012-06-30,34430000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,OperatingExpenses,USD,MSFT,0000789019
2011-07-01,2012-06-30,34430000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2012-09-30,6532000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,CY2012Q3,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2012-09-30,6532000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2012-12-31,14525000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2012-12-31,14525000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,OperatingExpenses,USD,MSFT,0000789019
2012-10-01,2012-12-31,7993000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2012Q4,OperatingExpenses,USD,MSFT,0000789019
2012-10-01,2012-12-31,7993000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-03-31,22615000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-03-31,22615000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,OperatingExpenses,USD,MSFT,0000789019
2013-01-01,2013-03-31,8090000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2013Q1,OperatingExpenses,USD,MSFT,0000789019
2013-01-01,2013-03-31,8090000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-06-30,30700000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,CY2013,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-06-30,30836000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-06-30,30836000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,OperatingExpenses,USD,MSFT,0000789019
2012-07-01,2013-06-30,30836000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2013-09-30,7050000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2013Q3,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2013-09-30,7081000000,0001193125-13-409855,2014,Q1,10-Q,2013-10-24,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2013-12-31,15278000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2013-12-31,15347000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,OperatingExpenses,USD,MSFT,0000789019
2013-10-01,2013-12-31,8228000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2013Q4,OperatingExpenses,USD,MSFT,0000789019
2013-10-01,2013-12-31,8266000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2014-03-31,22729000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2014-03-31,22835000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,OperatingExpenses,USD,MSFT,0000789019
2014-01-01,2014-03-31,7451000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2014Q1,OperatingExpenses,USD,MSFT,0000789019
2014-01-01,2014-03-31,7488000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,,OperatingExpenses,USD,MSFT,0000789019
2013-07-01,2014-06-30,31996000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,CY2014,OperatingExpenses,USD,MSFT,0000789019
