end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2017-06-30,5372000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2017-06-30,5372000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2017-06-30,5372000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2017-06-30,5372000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2017-09-30,5768000000,0001564590-17-020171,2018,Q1,10-Q,2017-10-26,CY2017Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2017-12-31,5640000000,0001564590-18-001129,2018,Q2,10-Q,2018-01-31,CY2017Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-03-31,5751000000,0001564590-18-009307,2018,Q3,10-Q,2018-04-26,CY2018Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-06-30,5568000000,0001564590-18-019062,2018,FY,10-K,2018-08-03,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-06-30,5568000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-06-30,5568000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-06-30,5568000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-06-30,5568000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-09-30,5652000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,CY2018Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2018-12-31,5683000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,CY2018Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-03-31,5972000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,CY2019Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-06-30,6188000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
