start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-07-01,2008-06-30,3182000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-07-01,2008-09-30,778000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,CY2008Q3,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-07-01,2008-12-31,1620000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-10-01,2008-12-31,842000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,CY2008Q4,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-07-01,2009-03-31,2252000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-01-01,2009-03-31,632000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,CY2009Q1,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-07-01,2009-06-30,3119000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2008-07-01,2009-06-30,3119000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2009-09-30,435000000,0001193125-09-212454,2010,Q1,10-Q,2009-10-23,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2009-09-30,435000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,CY2009Q3,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2009-12-31,811000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2009-12-31,811000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-10-01,2009-12-31,376000000,0001193125-10-015598,2010,Q2,10-Q,2010-01-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-10-01,2009-12-31,376000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,CY2009Q4,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2010-03-31,1219000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2010-03-31,1219000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-01-01,2010-03-31,408000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-01-01,2010-03-31,408000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2010-06-30,1977000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2010-06-30,1977000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2009-07-01,2010-06-30,1977000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2010-09-30,564000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2010-09-30,564000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2010-12-31,1055000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2010-12-31,1055000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-10-01,2010-12-31,491000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-10-01,2010-12-31,491000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2010Q4,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-03-31,1713000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-03-31,1713000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-01-01,2011-03-31,658000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-01-01,2011-03-31,658000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2011Q1,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-06-30,2355000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-06-30,2355000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-06-30,2355000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2010-07-01,2011-06-30,2355000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2011-09-30,436000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2011-09-30,436000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,CY2011Q3,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2011-12-31,934000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2011-12-31,934000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-10-01,2011-12-31,498000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-10-01,2011-12-31,498000000,0001193125-13-022207,2013,Q2,10-Q,2013-01-24,CY2011Q4,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-03-31,1683000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-03-31,1683000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2012-01-01,2012-03-31,749000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2012-01-01,2012-03-31,749000000,0001193125-13-160748,2013,Q3,10-Q,2013-04-18,CY2012Q1,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-06-30,2305000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-06-30,2305000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-06-30,2305000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2011-07-01,2012-06-30,2305000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
2012-07-01,2012-09-30,603000000,0001193125-12-427209,2013,Q1,10-Q,2012-10-18,,PaymentsToAcquirePropertyPlantAndEquipment,USD,MSFT,0000789019
