start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2008-07-01,2009-06-30,58437000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,SalesRevenueNet,USD,MSFT,0000789019
2009-07-01,2009-09-30,12920000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q3,SalesRevenueNet,USD,MSFT,0000789019
2009-10-01,2009-12-31,19022000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q4,SalesRevenueNet,USD,MSFT,0000789019
2009-07-01,2010-03-31,46445000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,SalesRevenueNet,USD,MSFT,0000789019
2010-01-01,2010-03-31,14503000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,SalesRevenueNet,USD,MSFT,0000789019
2010-01-01,2010-03-31,14503000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,SalesRevenueNet,USD,MSFT,0000789019
2009-07-01,2010-06-30,62484000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,SalesRevenueNet,USD,MSFT,0000789019
2009-07-01,2010-06-30,62484000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,SalesRevenueNet,USD,MSFT,0000789019
2010-04-01,2010-06-30,16039000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2,SalesRevenueNet,USD,MSFT,0000789019
2010-07-01,2010-09-30,16195000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q3,SalesRevenueNet,USD,MSFT,0000789019
2010-07-01,2010-09-30,16195000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,,SalesRevenueNet,USD,MSFT,0000789019
2010-07-01,2010-09-30,16195000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,SalesRevenueNet,USD,MSFT,0000789019
2010-07-01,2010-12-31,36148000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,SalesRevenueNet,USD,MSFT,0000789019
