start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2012-06-30,1231000000.0,0001193125-13-310206,2013,FY,10-K,2013-07-30,,LongTermDebtCurrent,USD,MSFT,789019
,2013-06-30,2999000000.0,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2014-06-30,0.0,0001193125-15-272806,2015,FY,10-K,2015-07-31,,LongTermDebtCurrent,USD,MSFT,789019
,2015-06-30,2499000000.0,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2016-06-30,0.0,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2017-06-30,1049000000.0,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2018-06-30,3998000000.0,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2019-06-30,5516000000.0,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2020-06-30,3749000000.0,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2021-06-30,8072000000.0,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2022-06-30,2749000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,LongTermDebtCurrent,USD,MSFT,789019
,2023-06-30,5247000000.0,0000950170-23-035122,2023,FY,10-K,2023-07-27,,LongTermDebtCurrent,USD,MSFT,789019
