start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2008-01-01,2008-12-31,101178191.0,0000726728-11-000013,2010,FY,10-K,2011-02-10,CY2008,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2009-01-01,2009-12-31,103577507.0,0001140361-12-007480,2011,FY,10-K,2012-02-13,,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2010-01-01,2010-12-31,105869637.0,0001104659-13-010950,2012,FY,10-K,2013-02-14,CY2010,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2011-01-01,2011-12-31,126142696.0,0001104659-14-010697,2013,FY,10-K,2014-02-14,CY2011,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2012-01-01,2012-12-31,132817472.0,0001104659-15-011630,2014,FY,10-K,2015-02-18,CY2012,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2013-01-01,2013-12-31,191754857.0,0001104659-16-095923,2015,FY,10-K,2016-02-11,CY2013,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2014-01-01,2014-12-31,218390885.0,0001104659-17-011170,2016,FY,10-K,2017-02-23,CY2014,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2015-01-01,2015-12-31,235767932.0,0001104659-18-011376,2017,FY,10-K,2018-02-22,CY2015,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2016-01-01,2016-12-31,255066500.0,0000726728-19-000041,2018,FY,10-K/A,2019-03-01,CY2016,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2017-01-01,2017-12-31,273465680.0,0000726728-20-000033,2019,FY,10-K,2020-02-24,CY2017,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2018-01-01,2018-12-31,289427430.0,0000726728-21-000043,2020,FY,10-K,2021-02-23,CY2018,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2019-01-01,2019-12-31,315837012.0,0000726728-22-000046,2021,FY,10-K,2022-02-23,CY2019,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2020-01-01,2020-12-31,345280126.0,0000726728-23-000044,2022,FY,10-K,2023-02-22,CY2020,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2021-01-01,2021-12-31,414535283.0,0000726728-23-000044,2022,FY,10-K,2023-02-22,,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2022-01-01,2022-12-31,611766000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2022,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
2023-01-01,2023-12-31,692298000.0,0000726728-24-000047,2023,FY,10-K,2024-02-21,CY2023,WeightedAverageNumberOfSharesOutstandingBasic,shares,O,726728
