start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2014-01-01,2014-12-31,-0.28,0001479094-17-000005,2016,FY,10-K,2017-02-16,CY2014,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2015-01-01,2015-12-31,-0.58,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2015,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2016-01-01,2016-12-31,0.29,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2016,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2017-01-01,2017-12-31,0.24,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2017,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2018-01-01,2018-12-31,0.8,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2018,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2019-01-01,2019-12-31,0.35,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2019,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2020-01-01,2020-12-31,1.32,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2020,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2021-01-01,2021-12-31,1.15,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2021,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2022-01-01,2022-12-31,1.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
2023-01-01,2023-12-31,1.07,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,IncomeLossFromContinuingOperationsPerBasicShare,USD/shares,STAG,1479094
