start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
,2011-12-31,314605000.0,0001047469-13-002284,2012,FY,10-K,2013-03-06,CY2011Q4I,Liabilities,USD,STAG,1479094
,2012-12-31,515664000.0,0001047469-14-001398,2013,FY,10-K,2014-02-26,CY2012Q4I,Liabilities,USD,STAG,1479094
,2013-12-31,595717000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2013Q4I,Liabilities,USD,STAG,1479094
,2014-12-31,737793000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,CY2014Q4I,Liabilities,USD,STAG,1479094
,2015-12-31,1050857000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,,Liabilities,USD,STAG,1479094
,2016-12-31,1119230000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2016Q4I,Liabilities,USD,STAG,1479094
,2017-12-31,1270360000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2017Q4I,Liabilities,USD,STAG,1479094
,2018-12-31,1432900000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2018Q4I,Liabilities,USD,STAG,1479094
,2019-12-31,1800754000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2019Q4I,Liabilities,USD,STAG,1479094
,2020-12-31,1921594000.0,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2020Q4I,Liabilities,USD,STAG,1479094
,2021-12-31,2439662000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2021Q4I,Liabilities,USD,STAG,1479094
,2022-12-31,2726807000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022Q4I,Liabilities,USD,STAG,1479094
,2023-12-31,2837647000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023Q4I,Liabilities,USD,STAG,1479094
