start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2012-01-01,2012-12-31,-6479000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2012,NetIncomeLoss,USD,STAG,1479094
2013-01-01,2013-12-31,5522000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,CY2013,NetIncomeLoss,USD,STAG,1479094
2014-01-01,2014-12-31,-3693000.0,0001479094-17-000005,2016,FY,10-K,2017-02-16,CY2014,NetIncomeLoss,USD,STAG,1479094
2015-01-01,2015-12-31,-27383000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2015,NetIncomeLoss,USD,STAG,1479094
2016-01-01,2016-12-31,34519000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2016,NetIncomeLoss,USD,STAG,1479094
2017-01-01,2017-12-31,31259000.0,0001479094-20-000006,2019,FY,10-K,2020-02-12,CY2017,NetIncomeLoss,USD,STAG,1479094
2018-01-01,2018-12-31,92926000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2018,NetIncomeLoss,USD,STAG,1479094
2019-01-01,2019-12-31,49281000.0,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2019,NetIncomeLoss,USD,STAG,1479094
2020-01-01,2020-12-31,202147000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2020,NetIncomeLoss,USD,STAG,1479094
2021-01-01,2021-12-31,192334000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2021,NetIncomeLoss,USD,STAG,1479094
2022-01-01,2022-12-31,178326000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022,NetIncomeLoss,USD,STAG,1479094
2023-01-01,2023-12-31,192845000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,NetIncomeLoss,USD,STAG,1479094
