start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2012-01-01,2012-12-31,48011000.0,0001558370-15-000135,2014,FY,10-K,2015-02-23,CY2012,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2013-01-01,2013-12-31,82687000.0,0001479094-16-000006,2015,FY,10-K,2016-02-25,CY2013,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2014-01-01,2014-12-31,96676000.0,0001479094-17-000005,2016,FY,10-K,2017-02-16,CY2014,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2015-01-01,2015-12-31,121707000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,CY2015,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2016-01-01,2016-12-31,135788000.0,0001479094-19-000006,2018,FY,10-K,2019-02-13,CY2016,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2017-01-01,2017-12-31,162562000.0,0001479094-18-000009,2017,FY,10-K,2018-02-15,,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2018-01-01,2018-12-31,197769000.0,0001479094-21-000007,2020,FY,10-K,2021-02-10,CY2018,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2019-01-01,2019-12-31,233357000.0,0001479094-22-000006,2021,FY,10-K,2022-02-16,CY2019,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2020-01-01,2020-12-31,293922000.0,0001479094-23-000005,2022,FY,10-K,2023-02-15,CY2020,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2021-01-01,2021-12-31,336154000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2021,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2022-01-01,2022-12-31,387931000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2022,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
2023-01-01,2023-12-31,391092000.0,0001479094-24-000007,2023,FY,10-K,2024-02-13,CY2023,NetCashProvidedByUsedInOperatingActivities,USD,STAG,1479094
