start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2007-01-01,2007-12-31,13835000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2007,SalesRevenueNet,USD,TXN,97476
,2008-12-31,11923000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,CY2008Q4I,Assets,USD,TXN,97476
2008-01-01,2008-12-31,12501000000.0,0001140361-10-007923,2009,FY,10-K,2010-02-23,,SalesRevenueNet,USD,TXN,97476
2009-01-01,2009-12-31,10427000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2009,SalesRevenueNet,USD,TXN,97476
,2009-12-31,12119000000.0,0001140361-11-012312,2010,FY,10-K,2011-02-25,CY2009Q4I,Assets,USD,TXN,97476
,2010-12-31,13401000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,CY2010Q4I,Assets,USD,TXN,97476
2010-01-01,2010-12-31,13966000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,,SalesRevenueNet,USD,TXN,97476
2011-01-01,2011-12-31,13735000000.0,0000097476-12-000010,2011,FY,10-K,2012-02-24,,SalesRevenueNet,USD,TXN,97476
,2011-12-31,20497000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,Assets,USD,TXN,97476
2012-01-01,2012-12-31,12825000000.0,0000097476-13-000009,2012,FY,10-K,2013-02-22,,SalesRevenueNet,USD,TXN,97476
,2012-12-31,20021000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,CY2012Q4I,Assets,USD,TXN,97476
2013-01-01,2013-03-31,2885000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q1,SalesRevenueNet,USD,TXN,97476
2013-04-01,2013-06-30,3047000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q2,SalesRevenueNet,USD,TXN,97476
2013-07-01,2013-09-30,3244000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q3,SalesRevenueNet,USD,TXN,97476
2013-10-01,2013-12-31,3028000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q4,SalesRevenueNet,USD,TXN,97476
2013-01-01,2013-12-31,12205000000.0,0000097476-14-000007,2013,FY,10-K,2014-02-24,,SalesRevenueNet,USD,TXN,97476
,2013-12-31,18938000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,CY2013Q4I,Assets,USD,TXN,97476
2014-01-01,2014-03-31,2983000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
2014-04-01,2014-06-30,3292000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
2014-07-01,2014-09-30,3501000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
2014-10-01,2014-12-31,3269000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
2014-01-01,2014-12-31,13045000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,SalesRevenueNet,USD,TXN,97476
,2014-12-31,17722000000.0,0000097476-15-000003,2014,FY,10-K,2015-02-24,,Assets,USD,TXN,97476
2015-01-01,2015-03-31,3150000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
2015-04-01,2015-06-30,3232000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
2015-07-01,2015-09-30,3429000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
2015-10-01,2015-12-31,3189000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
2015-01-01,2015-12-31,13000000000.0,0001564590-16-013126,2015,FY,10-K,2016-02-24,,SalesRevenueNet,USD,TXN,97476
,2015-12-31,16230000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2015Q4I,Assets,USD,TXN,97476
2016-01-01,2016-03-31,3008000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
2016-04-01,2016-06-30,3273000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
2016-07-01,2016-09-30,3675000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
2016-10-01,2016-12-31,3414000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
2016-01-01,2016-12-31,13370000000.0,0001564590-17-002142,2016,FY,10-K,2017-02-23,,SalesRevenueNet,USD,TXN,97476
,2016-12-31,16431000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2016Q4I,Assets,USD,TXN,97476
2017-01-01,2017-03-31,3402000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,,SalesRevenueNet,USD,TXN,97476
2017-04-01,2017-06-30,3693000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2017Q2,SalesRevenueNet,USD,TXN,97476
2017-07-01,2017-09-30,4116000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2017Q3,SalesRevenueNet,USD,TXN,97476
2017-10-01,2017-12-31,3750000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2017Q4,SalesRevenueNet,USD,TXN,97476
2017-01-01,2017-12-31,14961000000.0,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2017,SalesRevenueNet,USD,TXN,97476
,2017-12-31,17642000000.0,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2017Q4I,Assets,USD,TXN,97476
2018-01-01,2018-03-31,3789000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2018-04-01,2018-06-30,4017000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2018-07-01,2018-09-30,4261000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q3,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2018-10-01,2018-12-31,3717000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q4,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2018-01-01,2018-12-31,15784000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
,2018-12-31,17137000000.0,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2018Q4I,Assets,USD,TXN,97476
2019-01-01,2019-03-31,3594000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2019Q1,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
2019-04-01,2019-06-30,3668000000.0,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2019Q2,RevenueFromContractWithCustomerExcludingAssessedTax,USD,TXN,97476
