start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2014-01-01,2014-12-31,0.272,0001564590-17-002142,2016,FY,10-K,2017-02-23,CY2014,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2015-01-01,2015-12-31,0.292,0001564590-18-002832,2017,FY,10-K,2018-02-22,CY2015,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2016-01-01,2016-12-31,0.271,0001564590-19-003839,2018,FY,10-K,2019-02-22,CY2016,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2017-01-01,2017-12-31,0.394,0000097476-20-000009,2019,FY,10-K,2020-02-20,CY2017,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2018-01-01,2018-12-31,0.165,0000097476-21-000006,2020,FY,10-K,2021-02-05,CY2018,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2019-01-01,2019-12-31,0.124,0000097476-22-000009,2021,FY,10-K,2022-02-04,CY2019,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2020-01-01,2020-12-31,0.07,0000097476-23-000007,2022,FY,10-K,2023-02-03,CY2020,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2021-01-01,2021-12-31,0.129,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2021,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2022-01-01,2022-12-31,0.128,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2022,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
2023-01-01,2023-12-31,0.122,0000097476-24-000007,2023,FY,10-K,2024-02-02,CY2023,EffectiveIncomeTaxRateContinuingOperations,pure,TXN,97476
